time,Brooklyn,pts.away,score,pts.home,Denver
2:49.0,B. Lopez misses 2-pt shot from 10 ft,,76-62,,
2:47.0,,,76-62,,Defensive rebound by J. Lauvergne
2:38.0,,,76-62,,J. Nelson misses 2-pt shot from 9 ft
2:36.0,Defensive rebound by B. Lopez,,76-62,,
2:17.0,A. Anderson makes 2-pt shot from 3 ft (assist by D. Morris),2,78-62,,
2:05.0,,,78-65,3,E. Green makes 3-pt shot from 25 ft (assist by J. Lauvergne)
1:39.0,A. Anderson makes 3-pt shot from 24 ft (assist by D. Morris),3,81-65,,
1:22.0,,,81-65,,W. Barton misses 2-pt shot from 2 ft
1:21.0,Defensive rebound by A. Anderson,,81-65,,
1:05.0,B. Lopez makes 2-pt shot from 14 ft,2,83-65,,
0:46.0,,,83-65,,Shooting foul by T. Young (drawn by W. Barton)
0:46.0,,,83-66,1,W. Barton makes free throw 1 of 2
0:46.0,,,83-66,,K. Faried enters the game for D. Gallinari
0:46.0,,,83-67,1,W. Barton makes free throw 2 of 2
0:32.0,B. Lopez makes 2-pt shot from 2 ft (assist by D. Morris),2,85-67,,
0:15.0,,,85-67,,Turnover by E. Green (step out of bounds)
0:06.0,Turnover by D. Morris (bad pass; steal by J. Lauvergne),,85-67,,
0:01.0,,,85-67,,K. Faried misses 2-pt shot from 5 ft
0:00.0,,,85-67,,Offensive rebound by W. Barton
0:00.0,,,85-69,2,W. Barton makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,T. Young misses 2-pt shot from 5 ft,,85-69,,
11:39.0,Offensive rebound by D. Morris,,85-69,,
11:37.0,A. Anderson misses 3-pt shot from 24 ft,,85-69,,
11:36.0,,,85-69,,Defensive rebound by K. Faried
11:22.0,,,85-69,,E. Green misses 2-pt shot from 20 ft
11:21.0,,,85-69,,Offensive rebound by K. Faried
11:19.0,,,85-69,,K. Faried misses 2-pt shot from 1 ft
11:17.0,,,85-69,,Offensive rebound by J. Nurkic
11:17.0,,,85-71,2,J. Nurkic makes 2-pt shot from 1 ft
10:54.0,T. Young misses 2-pt shot from 5 ft,,85-71,,
10:53.0,Offensive rebound by B. Lopez,,85-71,,
10:52.0,Shooting foul by K. Faried (drawn by B. Lopez),,85-71,,
10:52.0,B. Lopez makes free throw 1 of 2,1,86-71,,
10:52.0,B. Lopez makes free throw 2 of 2,1,87-71,,
10:33.0,,,87-71,,Offensive foul by K. Faried
10:33.0,,,87-71,,Turnover by K. Faried (offensive foul)
10:33.0,,,87-71,,R. Foye enters the game for J. Nelson
10:22.0,M. Brown makes 2-pt shot from 11 ft,2,89-71,,
10:12.0,,,89-73,2,J. Nurkic makes 2-pt shot from 1 ft (assist by R. Foye)
9:48.0,M. Brown misses 2-pt shot from 4 ft,,89-73,,
9:47.0,Offensive rebound by Team,,89-73,,
9:32.0,D. Morris makes 2-pt shot at rim,2,91-73,,
9:15.0,,,91-73,,J. Nurkic misses 2-pt shot at rim (block by T. Young)
