time,Charlotte,pts.away,score,pts.home,Indiana
6:20.0,,,73-77,,I. Mahinmi misses 2-pt shot at rim (block by J. Maxiell)
6:17.0,Defensive rebound by J. Maxiell,,73-77,,
6:10.0,B. Roberts misses 2-pt shot at rim (block by L. Allen),,73-77,,
6:08.0,Offensive rebound by J. Maxiell,,73-77,,
6:06.0,J. Maxiell makes 2-pt shot at rim,2,75-77,,
6:01.0,,,75-77,,Indiana full timeout
6:01.0,,,75-77,,L. Scola enters the game for R. Stuckey
6:01.0,,,75-77,,R. Hibbert enters the game for L. Allen
6:01.0,,,75-77,,C. Copeland enters the game for I. Mahinmi
5:45.0,,,75-79,2,R. Hibbert makes 2-pt shot from 19 ft (assist by A. Price)
5:23.0,,,75-79,,Shooting block foul by L. Scola (drawn by L. Stephenson)
5:23.0,L. Stephenson makes free throw 1 of 2,1,76-79,,
5:23.0,L. Stephenson makes free throw 2 of 2,1,77-79,,
5:07.0,,,77-79,,Turnover by S. Hill (lost ball; steal by A. Jefferson)
5:07.0,,,77-79,,Personal foul by A. Price (drawn by K. Walker)
5:07.0,,,77-79,,D. Sloan enters the game for A. Price
4:55.0,A. Jefferson misses 2-pt shot from 16 ft,,77-79,,
4:54.0,Offensive rebound by J. Maxiell,,77-79,,
4:43.0,K. Walker misses 2-pt shot from 18 ft,,77-79,,
4:42.0,,,77-79,,Defensive rebound by D. Sloan
4:23.0,,,77-79,,C. Copeland misses 3-pt shot from 26 ft
4:22.0,Defensive rebound by A. Jefferson,,77-79,,
4:09.0,J. Maxiell makes 2-pt shot from 10 ft (assist by L. Stephenson),2,79-79,,
3:51.0,,,79-81,2,S. Hill makes 2-pt shot from 14 ft (assist by C. Copeland)
3:36.0,J. Maxiell makes 2-pt shot from 16 ft (assist by K. Walker),2,81-81,,
3:20.0,,,81-81,,R. Hibbert misses 2-pt shot from 8 ft
3:19.0,Defensive rebound by L. Stephenson,,81-81,,
3:01.0,A. Jefferson makes 2-pt shot from 8 ft (assist by L. Stephenson),2,83-81,,
2:50.0,Personal foul by J. Maxiell (drawn by D. Sloan),,83-81,,
2:50.0,Charlotte full timeout,,83-81,,
2:50.0,,,83-81,,R. Stuckey enters the game for C. Copeland
2:37.0,,,83-81,,Shooting foul by K. Walker (drawn by D. Sloan)
2:37.0,,,83-82,1,D. Sloan makes free throw 1 of 2
2:37.0,,,83-83,1,D. Sloan makes free throw 2 of 2
2:15.0,K. Walker makes 3-pt shot from 25 ft,3,86-83,,
1:56.0,,,86-83,,R. Hibbert misses 2-pt shot from 14 ft
1:54.0,Defensive rebound by L. Stephenson,,86-83,,
1:37.0,K. Walker misses 2-pt shot from 12 ft,,86-83,,
1:35.0,,,86-83,,Defensive rebound by D. Sloan
1:28.0,,,86-85,2,L. Scola makes 2-pt shot from 4 ft (assist by D. Sloan)
1:28.0,,,86-85,,Shooting foul by A. Jefferson (drawn by L. Scola)
1:28.0,,,86-86,1,L. Scola makes free throw 1 of 1
1:05.0,L. Stephenson misses 3-pt shot from 26 ft,,86-86,,
1:04.0,,,86-86,,Defensive rebound by D. Sloan
0:44.0,,,86-86,,S. Hill misses 2-pt shot from 18 ft
0:43.0,Defensive rebound by J. Maxiell,,86-86,,
