time,Indiana,pts.away,score,pts.home,Toronto
0:00.0,,,72-80,,J. Johnson misses 3-pt shot from 26 ft
0:00.0,,,72-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Shooting foul by P. Patterson (drawn by L. Scola),,72-80,,
11:42.0,L. Scola makes free throw 1 of 2,1,73-80,,
11:42.0,L. Scola makes free throw 2 of 2,1,74-80,,
11:32.0,,,74-82,2,T. Hansbrough makes 2-pt shot from 3 ft (assist by G. Vasquez)
11:32.0,Shooting block foul by L. Allen (drawn by T. Hansbrough),,74-82,,
11:32.0,,,74-82,,T. Hansbrough misses free throw 1 of 1
11:31.0,,,74-82,,Offensive rebound by T. Hansbrough
11:14.0,,,74-82,,G. Vasquez misses 3-pt shot from 26 ft
11:13.0,Defensive rebound by D. Rudez,,74-82,,
10:58.0,D. Rudez misses 3-pt shot from 26 ft,,74-82,,
10:57.0,,,74-82,,Defensive rebound by J. Johnson
10:45.0,,,74-84,2,G. Vasquez makes 2-pt shot from 4 ft
10:24.0,S. Hill misses 3-pt shot from 25 ft,,74-84,,
10:23.0,,,74-84,,Defensive rebound by P. Patterson
10:17.0,,,74-86,2,G. Vasquez makes 2-pt shot from 6 ft (assist by P. Patterson)
10:16.0,Indiana full timeout,,74-86,,
10:16.0,,,74-86,,A. Johnson enters the game for P. Patterson
10:01.0,L. Allen misses 2-pt shot from 17 ft,,74-86,,
10:00.0,,,74-86,,Defensive rebound by L. Williams
9:52.0,,,74-89,3,G. Vasquez makes 3-pt shot from 25 ft (assist by L. Williams)
9:30.0,S. Hill makes 2-pt shot from 1 ft (assist by D. Sloan),2,76-89,,
9:13.0,,,76-91,2,L. Williams makes 2-pt shot from 2 ft (assist by A. Johnson)
8:59.0,Turnover by L. Allen (bad pass),,76-91,,
8:49.0,Personal foul by L. Scola (drawn by A. Johnson),,76-91,,
8:39.0,,,76-91,,L. Williams misses 2-pt shot from 20 ft
8:38.0,Defensive rebound by L. Scola,,76-91,,
8:20.0,D. Sloan misses 2-pt shot from 3 ft (block by G. Vasquez),,76-91,,
8:20.0,Offensive rebound by Team,,76-91,,
8:08.0,,,76-91,,G. Vasquez misses 2-pt shot from 20 ft
8:07.0,Defensive rebound by D. Sloan,,76-91,,
8:01.0,L. Scola misses 2-pt shot from 2 ft,,76-91,,
8:00.0,Offensive rebound by L. Allen,,76-91,,
7:55.0,L. Allen makes 2-pt shot from 1 ft,2,78-91,,
7:42.0,,,78-93,2,J. Johnson makes 2-pt shot from 2 ft
