time,Houston,pts.away,score,pts.home,Brooklyn
4:24.0,Defensive rebound by D. Motiejunas,,75-62,,
4:21.0,Turnover by D. Motiejunas (bad pass),,75-62,,
3:59.0,,,75-62,,J. Johnson misses 3-pt shot from 23 ft
3:58.0,,,75-62,,Offensive rebound by B. Bogdanovic
3:57.0,,,75-62,,Shooting foul by C. Brewer (drawn by B. Bogdanovic)
3:57.0,,,75-63,1,B. Bogdanovic makes free throw 1 of 2
3:57.0,,,75-63,,C. Jefferson enters the game for M. Plumlee
3:57.0,,,75-64,1,B. Bogdanovic makes free throw 2 of 2
3:37.0,J. Harden makes 2-pt shot from 12 ft,2,77-64,,
3:21.0,,,77-64,,Turnover by B. Lopez (bad pass; steal by C. Brewer)
3:20.0,,,77-64,,Personal foul by B. Bogdanovic (drawn by C. Brewer)
3:20.0,D. Howard enters the game for D. Motiejunas,,77-64,,
3:08.0,Shooting foul by C. Jefferson (drawn by J. Harden),,77-64,,
3:08.0,J. Harden makes free throw 1 of 2,1,78-64,,
3:08.0,J. Harden makes free throw 2 of 2,1,79-64,,
2:44.0,,,79-64,,J. Johnson misses 2-pt shot from 17 ft
2:43.0,,,79-64,,Offensive rebound by B. Lopez
2:42.0,,,79-66,2,B. Lopez makes 2-pt shot from 1 ft
2:21.0,C. Brewer misses 3-pt shot from 23 ft,,79-66,,
2:18.0,Offensive rebound by C. Brewer,,79-66,,
2:15.0,J. Smith makes 3-pt shot from 25 ft (assist by C. Brewer),3,82-66,,
1:58.0,,,82-66,,C. Jefferson misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by J. Harden,,82-66,,
1:34.0,Shooting foul by B. Bogdanovic (drawn by C. Brewer),,82-66,,
1:34.0,Houston full timeout,,82-66,,
1:34.0,,,82-66,,A. Anderson enters the game for J. Johnson
1:34.0,,,82-66,,D. Morris enters the game for B. Bogdanovic
1:34.0,C. Brewer misses free throw 1 of 2,,82-66,,
1:34.0,Offensive rebound by Team,,82-66,,
1:34.0,C. Brewer makes free throw 2 of 2,1,83-66,,
1:22.0,,,83-66,,J. Jack misses 2-pt shot from 20 ft
1:21.0,Defensive rebound by Team,,83-66,,
1:02.0,D. Howard misses 2-pt shot from 7 ft,,83-66,,
1:01.0,,,83-66,,Defensive rebound by J. Jack
0:50.0,,,83-68,2,A. Anderson makes 2-pt shot from 10 ft
0:31.0,J. Harden makes 3-pt shot from 24 ft,3,86-68,,
0:13.0,,,86-70,2,J. Jack makes 2-pt shot from 17 ft
0:02.0,J. Harden misses 2-pt shot from 2 ft,,86-70,,
0:01.0,,,86-70,,Defensive rebound by B. Lopez
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Terry makes 3-pt shot from 24 ft (assist by C. Brewer),3,89-70,,
11:29.0,,,89-70,,C. Jefferson misses 3-pt shot from 22 ft
11:28.0,Defensive rebound by D. Motiejunas,,89-70,,
11:15.0,J. Smith misses 3-pt shot from 24 ft,,89-70,,
11:14.0,,,89-70,,Defensive rebound by A. Anderson
11:08.0,,,89-70,,A. Anderson misses 3-pt shot from 24 ft
11:07.0,,,89-70,,Offensive rebound by D. Morris
11:02.0,,,89-72,2,D. Morris makes 2-pt shot at rim
10:48.0,,,89-72,,Personal foul by A. Anderson (drawn by K. Papanikolaou)
10:39.0,D. Motiejunas makes 2-pt shot from 8 ft,2,91-72,,
10:30.0,,,91-72,,Shooting foul by J. Smith (drawn by M. Plumlee)
10:30.0,Violation by K. Papanikolaou (lane),,91-72,,
10:30.0,,,91-73,1,M. Plumlee makes free throw 1 of 2
10:30.0,,,91-74,1,M. Plumlee makes free throw 2 of 2
10:11.0,K. Papanikolaou makes 3-pt shot from 24 ft (assist by J. Smith),3,94-74,,
10:00.0,,,94-74,,D. Morris misses 2-pt shot from 21 ft
9:59.0,Defensive rebound by C. Brewer,,94-74,,
9:49.0,J. Terry makes 3-pt shot from 23 ft (assist by J. Smith),3,97-74,,
9:29.0,,,97-74,,Offensive charge foul by M. Plumlee
9:29.0,,,97-74,,Turnover by M. Plumlee (offensive foul)
9:14.0,C. Brewer misses 3-pt shot from 25 ft,,97-74,,
9:14.0,,,97-74,,Defensive rebound by D. Morris
9:11.0,Personal foul by K. Papanikolaou (drawn by D. Morris),,97-74,,
9:03.0,,,97-74,,J. Jack misses 2-pt shot from 17 ft
9:02.0,Defensive rebound by J. Smith,,97-74,,
8:54.0,J. Terry misses 3-pt shot from 24 ft,,97-74,,
8:53.0,,,97-74,,Defensive rebound by C. Jefferson
8:52.0,,,97-74,,Brooklyn full timeout
8:52.0,,,97-74,,B. Bogdanovic enters the game for C. Jefferson
8:52.0,,,97-74,,S. Karasev enters the game for J. Jack
8:52.0,,,97-74,,C. Jefferson enters the game for A. Anderson
8:44.0,,,97-76,2,D. Morris makes 2-pt shot at rim
8:44.0,,,97-76,,Shooting foul by J. Terry (drawn by D. Morris)
8:44.0,,,97-77,1,D. Morris makes free throw 1 of 1
8:25.0,J. Smith misses 2-pt shot from 3 ft,,97-77,,
8:24.0,,,97-77,,Defensive rebound by M. Plumlee
8:00.0,,,97-77,,S. Karasev misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by K. Papanikolaou,,97-77,,
7:45.0,K. Papanikolaou misses 2-pt shot from 2 ft,,97-77,,
7:44.0,,,97-77,,Defensive rebound by M. Plumlee
7:38.0,,,97-77,,D. Morris misses 2-pt shot from 2 ft
7:37.0,,,97-77,,Offensive rebound by M. Plumlee
7:36.0,,,97-79,2,M. Plumlee makes 2-pt shot from 1 ft
7:18.0,D. Motiejunas makes 2-pt shot from 6 ft (assist by J. Terry),2,99-79,,
7:00.0,,,99-79,,C. Jefferson misses 2-pt shot from 15 ft
6:59.0,Defensive rebound by D. Motiejunas,,99-79,,
6:53.0,Turnover by J. Smith (bad pass; steal by S. Karasev),,99-79,,
6:48.0,,,99-79,,S. Karasev misses 2-pt shot from 1 ft (block by J. Smith)
6:46.0,Defensive rebound by J. Smith,,99-79,,
6:40.0,J. Terry makes 3-pt shot from 24 ft (assist by J. Smith),3,102-79,,
6:17.0,,,102-81,2,B. Bogdanovic makes 2-pt shot from 20 ft
6:06.0,J. Smith makes 2-pt shot from 2 ft (assist by J. Terry),2,104-81,,
5:58.0,,,104-81,,Brooklyn full timeout
5:58.0,Official timeout,,104-81,,
5:58.0,P. Beverley enters the game for J. Terry,,104-81,,
5:58.0,,,104-81,,J. Jack enters the game for D. Morris
5:58.0,,,104-81,,J. Johnson enters the game for M. Plumlee
5:40.0,,,104-84,3,J. Johnson makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
5:15.0,P. Beverley misses 3-pt shot from 25 ft,,104-84,,
5:15.0,,,104-84,,Defensive rebound by J. Johnson
5:01.0,,,104-84,,Shooting foul by J. Smith (drawn by C. Jefferson)
5:01.0,,,104-85,1,C. Jefferson makes free throw 1 of 2
5:01.0,,,104-86,1,C. Jefferson makes free throw 2 of 2
4:48.0,J. Smith misses 2-pt shot from 20 ft,,104-86,,
4:46.0,,,104-86,,Defensive rebound by J. Jack
4:39.0,,,104-89,3,J. Johnson makes 3-pt shot from 25 ft (assist by J. Jack)
4:24.0,Turnover by P. Beverley (lost ball; steal by S. Karasev),,104-89,,
4:16.0,,,104-89,,C. Jefferson misses 2-pt shot from 2 ft
4:15.0,Defensive rebound by P. Beverley,,104-89,,
4:06.0,C. Brewer misses 2-pt shot from 2 ft (block by C. Jefferson),,104-89,,
4:04.0,Offensive rebound by J. Smith,,104-89,,
4:01.0,J. Smith misses 2-pt shot from 3 ft,,104-89,,
4:00.0,Offensive rebound by Team,,104-89,,
3:55.0,K. Papanikolaou makes 2-pt shot from 3 ft,2,106-89,,
3:38.0,,,106-91,2,C. Jefferson makes 2-pt shot from 5 ft
3:24.0,Shooting foul by B. Bogdanovic (drawn by D. Motiejunas),,106-91,,
3:24.0,D. Motiejunas misses free throw 1 of 2,,106-91,,
3:24.0,Offensive rebound by Team,,106-91,,
3:24.0,A. Shved enters the game for P. Beverley,,106-91,,
3:24.0,J. Dorsey enters the game for J. Smith,,106-91,,
3:24.0,D. Motiejunas makes free throw 2 of 2,1,107-91,,
3:15.0,,,107-91,,Turnover by C. Jefferson (lost ball; steal by K. Papanikolaou)
3:10.0,C. Brewer makes 2-pt shot from 1 ft,2,109-91,,
2:49.0,,,109-91,,J. Jack misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by J. Dorsey,,109-91,,
2:37.0,C. Brewer misses 3-pt shot from 22 ft,,109-91,,
2:35.0,,,109-91,,Defensive rebound by C. Jefferson
