time,Milwaukee,pts.away,score,pts.home,Indiana
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,E. Ilyasova makes 2-pt shot from 19 ft (assist by T. Ennis),2,76-82,,
11:28.0,,,76-82,,L. Scola misses 2-pt shot from 3 ft
11:26.0,,,76-82,,Offensive rebound by L. Scola
11:26.0,,,76-84,2,L. Scola makes 2-pt shot at rim
11:00.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,76-84,,
10:58.0,,,76-84,,Defensive rebound by C. Watson
10:48.0,,,76-86,2,R. Stuckey makes 2-pt shot from 1 ft
10:32.0,Turnover by T. Ennis (lost ball; steal by C. Watson),,76-86,,
10:17.0,,,76-86,,L. Scola misses 2-pt shot from 19 ft
10:16.0,Defensive rebound by J. Henson,,76-86,,
10:10.0,G. Antetokounmpo makes 2-pt shot from 4 ft,2,78-86,,
10:10.0,,,78-86,,Shooting block foul by D. Rudez (drawn by G. Antetokounmpo)
10:10.0,G. Antetokounmpo misses free throw 1 of 1,,78-86,,
10:09.0,,,78-86,,Defensive rebound by L. Scola
9:52.0,,,78-86,,R. Stuckey misses 2-pt shot from 9 ft
9:51.0,Defensive rebound by J. Henson,,78-86,,
9:46.0,G. Antetokounmpo makes 2-pt shot from 10 ft,2,80-86,,
9:46.0,,,80-86,,Shooting block foul by D. Rudez (drawn by G. Antetokounmpo)
9:46.0,,,80-86,,S. Hill enters the game for D. Rudez
9:46.0,G. Antetokounmpo makes free throw 1 of 1,1,81-86,,
9:23.0,,,81-88,2,S. Hill makes 2-pt shot from 7 ft
9:06.0,Jump ball: G. Antetokounmpo vs. S. Hill (C. Johnson gains possession),,,,Jump ball: G. Antetokounmpo vs. S. Hill (C. Johnson gains possession)
8:55.0,T. Ennis misses 2-pt shot from 17 ft,,81-88,,
8:54.0,Offensive rebound by E. Ilyasova,,81-88,,
8:51.0,E. Ilyasova makes 2-pt shot at rim,2,83-88,,
8:33.0,,,83-88,,L. Scola misses 2-pt shot from 19 ft
8:31.0,Defensive rebound by T. Ennis,,83-88,,
8:19.0,Turnover by G. Antetokounmpo (lost ball; steal by R. Stuckey),,83-88,,
8:15.0,,,83-88,,Turnover by C. Watson (lost ball; steal by C. Johnson)
7:55.0,Turnover by J. Henson (3 sec),,83-88,,
7:55.0,Official timeout,,83-88,,
7:55.0,Z. Pachulia enters the game for J. Henson,,83-88,,
7:55.0,K. Middleton enters the game for C. Johnson,,83-88,,
7:40.0,,,83-88,,C. Watson misses 3-pt shot from 22 ft (block by T. Ennis)
7:37.0,Defensive rebound by E. Ilyasova,,83-88,,
