time,Golden State,pts.away,score,pts.home,Detroit
5:00.0,L. Barbosa enters the game for K. Thompson,,74-55,,
4:42.0,,,74-58,3,B. Jennings makes 3-pt shot from 25 ft
4:23.0,Turnover by D. Green (lost ball; steal by K. Caldwell-Pope),,74-58,,
4:18.0,,,74-60,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by J. Smith)
4:13.0,Golden State full timeout,,74-60,,
4:13.0,S. Livingston enters the game for D. Green,,74-60,,
4:13.0,H. Barnes enters the game for S. Curry,,74-60,,
4:01.0,H. Barnes misses 3-pt shot from 28 ft,,74-60,,
3:59.0,,,74-60,,Defensive rebound by G. Monroe
3:50.0,,,74-60,,B. Jennings misses 3-pt shot from 27 ft
3:50.0,Defensive rebound by Team,,74-60,,
3:50.0,,,74-60,,Loose ball foul by G. Monroe (drawn by A. Bogut)
3:32.0,L. Barbosa makes 2-pt shot from 16 ft,2,76-60,,
3:09.0,,,76-60,,J. Smith misses 2-pt shot from 21 ft
3:08.0,Defensive rebound by A. Iguodala,,76-60,,
2:49.0,H. Barnes makes 2-pt shot from 16 ft,2,78-60,,
2:32.0,M. Speights enters the game for A. Bogut,,78-60,,
2:23.0,,,78-62,2,G. Monroe makes 2-pt shot at rim (assist by B. Jennings)
2:11.0,A. Iguodala misses 3-pt shot from 26 ft,,78-62,,
2:11.0,,,78-62,,Defensive rebound by Team
2:11.0,,,78-62,,C. Butler enters the game for K. Singler
1:58.0,,,78-65,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by J. Smith)
1:40.0,M. Speights misses 2-pt shot from 15 ft,,78-65,,
1:39.0,,,78-65,,Defensive rebound by J. Smith
1:33.0,,,78-65,,Turnover by J. Smith (bad pass; steal by H. Barnes)
1:27.0,L. Barbosa makes 2-pt shot at rim (assist by H. Barnes),2,80-65,,
1:03.0,,,80-67,2,K. Caldwell-Pope makes 2-pt shot from 15 ft (assist by B. Jennings)
0:52.0,H. Barnes misses 3-pt shot from 24 ft,,80-67,,
0:51.0,,,80-67,,Defensive rebound by C. Butler
0:32.0,,,80-70,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Jennings)
0:25.0,M. Speights makes 2-pt shot from 1 ft (assist by S. Livingston),2,82-70,,
0:03.0,,,82-70,,Shooting foul by L. Barbosa (drawn by K. Caldwell-Pope)
0:03.0,,,82-70,,K. Caldwell-Pope misses free throw 1 of 3
0:03.0,,,82-70,,Offensive rebound by Team
0:03.0,,,82-70,,K. Caldwell-Pope misses free throw 2 of 3
0:03.0,,,82-70,,Offensive rebound by Team
0:03.0,,,82-71,1,K. Caldwell-Pope makes free throw 3 of 3
0:01.0,M. Speights misses 3-pt shot from 41 ft,,82-71,,
0:00.0,Offensive rebound by Team,,82-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Shooting foul by C. Butler (drawn by A. Iguodala),,82-71,,
11:47.0,A. Iguodala makes free throw 1 of 2,1,83-71,,
11:47.0,A. Iguodala makes free throw 2 of 2,1,84-71,,
11:39.0,Personal foul by S. Livingston (drawn by K. Caldwell-Pope),,84-71,,
