time,Minnesota,pts.away,score,pts.home,New Orleans
4:17.0,C. Budinger enters the game for Z. LaVine,,57-68,,
4:17.0,R. Hummel enters the game for J. Hamilton,,57-68,,
4:17.0,,,57-68,,D. Cunningham enters the game for Q. Pondexter
4:04.0,Turnover by R. Hummel (bad pass; steal by A. Davis),,57-68,,
4:00.0,,,57-68,,Turnover by T. Evans (bad pass)
3:47.0,C. Budinger misses 3-pt shot from 25 ft,,57-68,,
3:42.0,Offensive rebound by Team,,57-68,,
3:42.0,,,57-68,,N. Cole enters the game for T. Evans
3:33.0,Shooting foul by O. Asik (drawn by A. Wiggins),,57-68,,
3:33.0,A. Wiggins misses free throw 1 of 2,,57-68,,
3:33.0,Offensive rebound by Team,,57-68,,
3:33.0,A. Wiggins makes free throw 2 of 2,1,58-68,,
3:21.0,,,58-70,2,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon)
3:21.0,,,58-70,,Shooting foul by R. Hummel (drawn by O. Asik)
3:21.0,,,58-71,1,O. Asik makes free throw 1 of 1
3:06.0,L. Brown makes 2-pt shot from 7 ft,2,60-71,,
2:47.0,,,60-71,,N. Cole misses 3-pt shot from 24 ft
2:46.0,,,60-71,,Offensive rebound by D. Cunningham
2:34.0,,,60-71,,Shooting foul by A. Wiggins (drawn by A. Davis)
2:34.0,,,60-71,,New Orleans full timeout
2:34.0,,,60-72,1,A. Davis makes free throw 1 of 2
2:34.0,,,60-73,1,A. Davis makes free throw 2 of 2
2:15.0,C. Budinger makes 2-pt shot from 2 ft,2,62-73,,
2:15.0,Shooting foul by E. Gordon (drawn by C. Budinger),,62-73,,
2:15.0,C. Budinger makes free throw 1 of 1,1,63-73,,
1:58.0,,,63-75,2,N. Cole makes 2-pt shot from 19 ft (assist by A. Davis)
1:34.0,A. Payne misses 2-pt shot from 12 ft,,63-75,,
1:33.0,,,63-75,,Defensive rebound by A. Davis
1:19.0,,,63-77,2,E. Gordon makes 2-pt shot from 20 ft (assist by N. Cole)
1:03.0,A. Wiggins makes 2-pt shot from 1 ft,2,65-77,,
