time,Indiana,pts.away,score,pts.home,Memphis
9:35.0,G. Hill makes 2-pt shot at rim,2,45-54,,
9:19.0,,,45-56,2,M. Gasol makes 2-pt shot from 1 ft
9:19.0,,,45-56,,Shooting foul by D. West (drawn by M. Gasol)
9:19.0,,,45-57,1,M. Gasol makes free throw 1 of 1
9:07.0,G. Hill misses 3-pt shot from 24 ft,,45-57,,
9:06.0,Offensive rebound by D. West,,45-57,,
8:57.0,Shooting foul by M. Gasol (drawn by R. Hibbert),,45-57,,
8:57.0,R. Hibbert misses free throw 1 of 2,,45-57,,
8:57.0,Offensive rebound by Team,,45-57,,
8:57.0,R. Hibbert makes free throw 2 of 2,1,46-57,,
8:43.0,Personal foul by D. West (drawn by M. Gasol),,46-57,,
8:29.0,,,46-59,2,Z. Randolph makes 2-pt shot from 19 ft
8:10.0,Turnover by R. Hibbert (lost ball; steal by B. Udrih),,46-59,,
7:47.0,,,46-59,,M. Gasol misses 2-pt shot from 6 ft
7:45.0,,,46-59,,Offensive rebound by M. Gasol
7:32.0,Personal foul by R. Hibbert (drawn by Z. Randolph),,46-59,,
7:26.0,,,46-59,,Turnover by J. Green (lost ball; steal by R. Hibbert)
7:15.0,C. Miles makes 2-pt shot at rim,2,48-59,,
7:15.0,Shooting foul by J. Green (drawn by C. Miles),,48-59,,
7:15.0,C. Miles makes free throw 1 of 1,1,49-59,,
7:03.0,,,49-61,2,B. Udrih makes 2-pt shot from 12 ft
6:46.0,Shooting foul by M. Gasol (drawn by D. West),,49-61,,
6:46.0,D. West makes free throw 1 of 2,1,50-61,,
6:46.0,D. West makes free throw 2 of 2,1,51-61,,
6:29.0,,,51-63,2,M. Gasol makes 2-pt shot from 5 ft
6:10.0,G. Hill makes 2-pt shot from 6 ft (assist by D. West),2,53-63,,
5:45.0,,,53-65,2,Z. Randolph makes 2-pt shot from 1 ft
5:17.0,Turnover by Team (shot clock),,53-65,,
5:17.0,,,53-65,,Memphis full timeout
5:17.0,P. George enters the game for S. Hill,,53-65,,
4:59.0,,,53-65,,Turnover by Z. Randolph (bad pass; steal by C. Miles)
4:52.0,Turnover by D. West (bad pass),,53-65,,
4:36.0,,,53-65,,C. Lee misses 2-pt shot from 13 ft
4:34.0,Defensive rebound by P. George,,53-65,,
4:19.0,C. Miles misses 3-pt shot from 22 ft,,53-65,,
4:19.0,,,53-65,,Defensive rebound by Z. Randolph
3:54.0,,,53-65,,J. Green misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by G. Hill,,53-65,,
3:42.0,G. Hill makes 2-pt shot from 17 ft,2,55-65,,
3:20.0,,,55-65,,Turnover by Z. Randolph (lost ball)
3:20.0,,,55-65,,V. Carter enters the game for J. Green
3:20.0,,,55-65,,N. Calathes enters the game for B. Udrih
3:20.0,I. Mahinmi enters the game for R. Hibbert,,55-65,,
3:20.0,R. Stuckey enters the game for C. Miles,,55-65,,
3:01.0,P. George misses 2-pt shot from 19 ft,,55-65,,
2:59.0,,,55-65,,Defensive rebound by M. Gasol
2:46.0,,,55-67,2,Z. Randolph makes 2-pt shot from 5 ft
2:34.0,Indiana full timeout,,55-67,,
2:21.0,D. West makes 2-pt shot from 14 ft (assist by P. George),2,57-67,,
2:02.0,,,57-67,,V. Carter misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by G. Hill,,57-67,,
1:55.0,P. George misses 3-pt shot from 23 ft,,57-67,,
1:53.0,Offensive rebound by G. Hill,,57-67,,
1:50.0,G. Hill makes 3-pt shot from 24 ft (assist by R. Stuckey),3,60-67,,
1:27.0,Personal foul by P. George (drawn by M. Gasol),,60-67,,
1:27.0,,,60-68,1,M. Gasol makes free throw 1 of 2
1:27.0,,,60-68,,M. Gasol misses free throw 2 of 2
1:26.0,Defensive rebound by D. West,,60-68,,
1:11.0,R. Stuckey misses 2-pt shot from 10 ft,,60-68,,
1:10.0,Offensive rebound by I. Mahinmi,,60-68,,
1:10.0,I. Mahinmi misses 2-pt shot at rim,,60-68,,
1:06.0,Offensive rebound by I. Mahinmi,,60-68,,
1:02.0,G. Hill misses 3-pt shot from 24 ft,,60-68,,
1:01.0,,,60-68,,Defensive rebound by M. Gasol
0:51.0,Personal foul by I. Mahinmi (drawn by Z. Randolph),,60-68,,
0:51.0,,,60-69,1,Z. Randolph makes free throw 1 of 2
0:51.0,L. Scola enters the game for D. West,,60-69,,
0:51.0,,,60-69,,J. Adams enters the game for C. Lee
0:51.0,,,60-70,1,Z. Randolph makes free throw 2 of 2
0:34.0,Turnover by P. George (lost ball),,60-70,,
0:17.0,,,60-72,2,M. Gasol makes 2-pt shot from 1 ft (assist by V. Carter)
0:17.0,,,60-72,,Shooting foul by G. Hill (drawn by M. Gasol)
0:17.0,C. Miles enters the game for I. Mahinmi,,60-72,,
0:17.0,,,60-72,,J. Green enters the game for Z. Randolph
0:17.0,,,60-73,1,M. Gasol makes free throw 1 of 1
0:02.0,Shooting foul by J. Green (drawn by L. Scola),,60-73,,
0:02.0,L. Scola makes free throw 1 of 2,1,61-73,,
0:02.0,I. Mahinmi enters the game for C. Miles,,61-73,,
0:02.0,L. Scola misses free throw 2 of 2,,61-73,,
0:01.0,,,61-73,,Defensive rebound by J. Adams
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal foul by I. Mahinmi (drawn by K. Koufos),,61-73,,
11:48.0,Personal foul by P. George (drawn by M. Gasol),,61-73,,
