time,New York,pts.away,score,pts.home,Philadelphia
1:49.0,,,72-61,1,M. Thomas makes free throw 1 of 2
1:49.0,S. Larkin enters the game for L. Galloway,,72-61,,
1:49.0,J. Smith enters the game for A. Stoudemire,,72-61,,
1:49.0,,,72-62,1,M. Thomas makes free throw 2 of 2
1:37.0,T. Hardaway makes 2-pt shot from 18 ft (assist by C. Anthony),2,74-62,,
1:15.0,,,74-62,,K. McDaniels misses 2-pt shot from 15 ft
1:13.0,Defensive rebound by J. Smith,,74-62,,
1:00.0,T. Hardaway misses 3-pt shot from 25 ft,,74-62,,
0:58.0,,,74-62,,Defensive rebound by M. Thomas
0:45.0,,,74-62,,K. McDaniels misses 2-pt shot from 19 ft
0:44.0,Defensive rebound by T. Hardaway,,74-62,,
0:34.0,J. Smith misses 2-pt shot from 2 ft,,74-62,,
0:32.0,,,74-62,,Defensive rebound by H. Thompson
0:20.0,,,74-62,,J. Sampson misses 3-pt shot from 24 ft
0:19.0,Defensive rebound by J. Smith,,74-62,,
0:04.0,L. Thomas misses 2-pt shot from 1 ft,,74-62,,
0:02.0,,,74-62,,Defensive rebound by M. Thomas
0:00.0,,,74-62,,H. Thompson misses 3-pt shot from 37 ft
0:00.0,,,74-62,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,74-64,2,R. Covington makes 2-pt shot from 4 ft
11:28.0,T. Hardaway misses 2-pt shot from 7 ft (block by R. Covington),,74-64,,
11:28.0,Offensive rebound by Team,,74-64,,
11:25.0,T. Hardaway makes 2-pt shot from 18 ft (assist by T. Wear),2,76-64,,
11:00.0,,,76-66,2,M. Carter-Williams makes 2-pt shot from 14 ft
10:35.0,T. Wear misses 2-pt shot from 12 ft,,76-66,,
10:33.0,,,76-66,,Defensive rebound by J. Grant
10:21.0,,,76-66,,H. Sims misses 2-pt shot from 10 ft
10:19.0,,,76-66,,Offensive rebound by H. Sims
10:14.0,,,76-69,3,H. Thompson makes 3-pt shot from 23 ft (assist by J. Grant)
9:56.0,L. Thomas misses 2-pt shot from 13 ft,,76-69,,
9:54.0,Offensive rebound by A. Stoudemire,,76-69,,
9:50.0,Turnover by A. Stoudemire (bad pass; steal by M. Carter-Williams),,76-69,,
9:48.0,,,76-69,,Turnover by R. Covington (traveling)
9:34.0,T. Hardaway makes 2-pt shot at rim (assist by S. Larkin),2,78-69,,
9:20.0,,,78-69,,Shooting foul by S. Larkin (drawn by M. Carter-Williams)
9:20.0,,,78-70,1,M. Carter-Williams makes free throw 1 of 2
9:20.0,,,78-71,1,M. Carter-Williams makes free throw 2 of 2
9:09.0,S. Larkin misses 2-pt shot at rim,,78-71,,
9:07.0,Offensive rebound by A. Stoudemire,,78-71,,
9:04.0,Turnover by A. Stoudemire (traveling),,78-71,,
8:49.0,,,78-71,,H. Sims misses 2-pt shot from 19 ft
8:47.0,Defensive rebound by L. Thomas,,78-71,,
8:27.0,S. Larkin misses 3-pt shot from 25 ft (block by J. Grant),,78-71,,
8:26.0,,,78-71,,Defensive rebound by Team
8:26.0,Official timeout,,78-71,,
8:26.0,L. Galloway enters the game for S. Larkin,,78-71,,
8:26.0,C. Anthony enters the game for T. Wear,,78-71,,
8:07.0,,,78-73,2,M. Carter-Williams makes 2-pt shot from 7 ft (assist by H. Sims)
7:51.0,L. Thomas misses 2-pt shot from 2 ft (block by J. Grant),,78-73,,
7:50.0,,,78-73,,Defensive rebound by H. Sims
7:34.0,,,78-73,,R. Covington misses 2-pt shot from 5 ft
7:33.0,,,78-73,,Offensive rebound by H. Sims
7:33.0,,,78-73,,H. Sims misses 2-pt shot at rim
7:30.0,Defensive rebound by L. Thomas,,78-73,,
7:18.0,L. Galloway misses 2-pt shot at rim,,78-73,,
7:17.0,,,78-73,,Defensive rebound by H. Sims
7:11.0,,,78-75,2,M. Carter-Williams makes 2-pt shot at rim
7:07.0,New York full timeout,,78-75,,
7:07.0,J. Calderon enters the game for T. Hardaway,,78-75,,
7:07.0,J. Smith enters the game for A. Stoudemire,,78-75,,
6:50.0,C. Anthony makes 2-pt shot from 18 ft,2,80-75,,
6:31.0,,,80-75,,M. Carter-Williams misses 2-pt shot from 5 ft (block by J. Smith)
