time,Miami,pts.away,score,pts.home,Cleveland
10:30.0,,,74-93,,Offensive foul by I. Shumpert
10:30.0,,,74-93,,Turnover by I. Shumpert (offensive foul)
10:16.0,L. Deng misses 3-pt shot from 25 ft,,74-93,,
10:15.0,,,74-93,,Defensive rebound by T. Thompson
10:07.0,,,74-93,,L. James misses 2-pt shot from 1 ft
10:06.0,,,74-93,,Offensive rebound by T. Thompson
10:04.0,,,74-93,,Turnover by T. Thompson (lost ball; steal by H. Whiteside)
9:59.0,L. Deng makes 2-pt shot at rim (assist by M. Chalmers),2,76-93,,
9:58.0,,,76-93,,Cleveland full timeout
9:37.0,,,76-93,,I. Shumpert misses 3-pt shot from 24 ft
9:34.0,Defensive rebound by L. Deng,,76-93,,
9:27.0,Turnover by G. Dragic (bad pass; steal by I. Shumpert),,76-93,,
9:19.0,,,76-96,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by J. Smith)
9:00.0,H. Whiteside misses 2-pt shot from 4 ft (block by L. James),,76-96,,
9:00.0,,,76-96,,Defensive rebound by Team
9:00.0,,,76-96,,K. Irving enters the game for J. Smith
9:00.0,Jump ball: L. James vs. H. Whiteside (K. Irving gains possession),,,,Jump ball: L. James vs. H. Whiteside (K. Irving gains possession)
8:39.0,Personal foul by G. Dragic (drawn by M. Dellavedova),,76-96,,
8:33.0,,,76-96,,K. Irving misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by H. Whiteside,,76-96,,
8:25.0,J. Ennis misses 3-pt shot from 24 ft,,76-96,,
8:24.0,,,76-96,,Defensive rebound by L. James
8:04.0,,,76-99,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by L. James)
8:03.0,Miami full timeout,,76-99,,
7:39.0,H. Whiteside makes 2-pt shot from 4 ft,2,78-99,,
7:39.0,Shooting foul by L. James (drawn by H. Whiteside),,78-99,,
7:39.0,H. Whiteside misses free throw 1 of 1,,78-99,,
7:37.0,,,78-99,,Defensive rebound by L. James
7:15.0,,,78-99,,K. Irving misses 2-pt shot from 15 ft
