time,San Antonio,pts.away,score,pts.home,Washington
4:24.0,T. Parker misses 2-pt shot from 3 ft (block by B. Beal),,87-92,,
4:24.0,Offensive rebound by Team,,87-92,,
4:24.0,Official timeout,,87-92,,
4:24.0,,,87-92,,J. Wall enters the game for A. Miller
4:24.0,,,87-92,,N. Hilario enters the game for K. Humphries
4:24.0,T. Duncan enters the game for T. Parker,,87-92,,
4:24.0,T. Splitter enters the game for B. Diaw,,87-92,,
4:24.0,C. Joseph enters the game for P. Mills,,87-92,,
4:24.0,M. Ginobili enters the game for J. Ayres,,87-92,,
4:17.0,C. Joseph misses 2-pt shot from 3 ft,,87-92,,
4:16.0,Offensive rebound by T. Duncan,,87-92,,
4:13.0,T. Duncan misses 2-pt shot from 4 ft,,87-92,,
4:12.0,Offensive rebound by C. Joseph,,87-92,,
4:09.0,D. Green misses 3-pt shot from 25 ft,,87-92,,
4:08.0,,,87-92,,Defensive rebound by K. Seraphin
3:53.0,,,87-92,,N. Hilario misses 2-pt shot from 2 ft (block by T. Splitter)
3:53.0,Defensive rebound by Team,,87-92,,
3:33.0,C. Joseph misses 2-pt shot from 8 ft,,87-92,,
3:32.0,,,87-92,,Defensive rebound by K. Seraphin
3:13.0,,,87-92,,K. Seraphin misses 2-pt shot from 14 ft
3:12.0,Defensive rebound by T. Duncan,,87-92,,
3:00.0,T. Splitter makes 2-pt shot from 9 ft (assist by M. Ginobili),2,89-92,,
2:48.0,,,89-92,,Shooting foul by T. Splitter (drawn by B. Beal)
2:48.0,,,89-92,,Washington full timeout
2:48.0,,,89-92,,P. Pierce enters the game for R. Butler
2:48.0,T. Parker enters the game for C. Joseph,,89-92,,
2:48.0,,,89-92,,B. Beal misses free throw 1 of 2
2:48.0,,,89-92,,Offensive rebound by Team
2:48.0,,,89-93,1,B. Beal makes free throw 2 of 2
2:35.0,Turnover by M. Ginobili (bad pass; steal by N. Hilario),,89-93,,
2:16.0,,,89-95,2,B. Beal makes 2-pt shot from 9 ft (assist by P. Pierce)
2:03.0,,,89-95,,Personal foul by B. Beal (drawn by M. Ginobili)
1:55.0,Turnover by M. Ginobili (bad pass),,89-95,,
1:55.0,M. Bonner enters the game for T. Splitter,,89-95,,
1:42.0,,,89-95,,Offensive foul by P. Pierce
1:42.0,,,89-95,,Turnover by P. Pierce (offensive foul)
1:36.0,M. Bonner misses 2-pt shot from 6 ft,,89-95,,
1:35.0,,,89-95,,Defensive rebound by N. Hilario
1:16.0,,,89-97,2,N. Hilario makes 2-pt shot from 1 ft
1:03.0,Turnover by M. Ginobili (bad pass; steal by B. Beal),,89-97,,
0:46.0,,,89-99,2,K. Seraphin makes 2-pt shot from 1 ft (assist by J. Wall)
0:38.0,T. Parker misses 2-pt shot from 3 ft,,89-99,,
