time,San Antonio,pts.away,score,pts.home,Portland
5:24.0,,,54-60,2,L. Aldridge makes 2-pt shot at rim
4:56.0,B. Diaw makes 2-pt shot from 2 ft,2,56-60,,
4:40.0,Personal foul by C. Joseph (drawn by D. Lillard),,56-60,,
4:40.0,M. Belinelli enters the game for D. Green,,56-60,,
4:40.0,,,56-60,,S. Blake enters the game for W. Matthews
4:32.0,,,56-60,,N. Batum misses 3-pt shot from 22 ft
4:30.0,,,56-60,,Offensive rebound by L. Aldridge
4:22.0,,,56-60,,Shooting foul by C. Joseph (drawn by C. Kaman)
4:22.0,,,56-60,,C. Kaman misses free throw 1 of 2
4:22.0,,,56-60,,Offensive rebound by Team
4:22.0,K. Anderson enters the game for K. Leonard,,56-60,,
4:22.0,,,56-60,,A. Crabbe enters the game for N. Batum
4:22.0,,,56-61,1,C. Kaman makes free throw 2 of 2
4:11.0,C. Joseph misses 2-pt shot from 16 ft,,56-61,,
4:11.0,,,56-61,,Defensive rebound by A. Crabbe
4:02.0,,,56-61,,D. Lillard misses 2-pt shot from 1 ft
4:01.0,,,56-61,,Offensive rebound by D. Lillard
4:01.0,,,56-63,2,D. Lillard makes 2-pt shot from 1 ft
3:43.0,K. Anderson makes 2-pt shot from 1 ft (assist by B. Diaw),2,58-63,,
3:43.0,Shooting foul by C. Kaman (drawn by K. Anderson),,58-63,,
3:43.0,K. Anderson makes free throw 1 of 1,1,59-63,,
3:30.0,Personal foul by B. Diaw (drawn by L. Aldridge),,59-63,,
3:30.0,D. Green enters the game for C. Joseph,,59-63,,
3:22.0,,,59-63,,Shooting foul by D. Green (drawn by D. Lillard)
3:22.0,,,59-64,1,D. Lillard makes free throw 1 of 2
3:22.0,,,59-65,1,D. Lillard makes free throw 2 of 2
3:12.0,Shooting foul by A. Crabbe (drawn by K. Anderson),,59-65,,
3:12.0,K. Anderson makes free throw 1 of 2,1,60-65,,
3:12.0,K. Anderson misses free throw 2 of 2,,60-65,,
3:10.0,,,60-65,,Defensive rebound by L. Aldridge
2:57.0,,,60-67,2,D. Lillard makes 2-pt shot from 1 ft
2:41.0,D. Green misses 2-pt shot from 17 ft,,60-67,,
2:40.0,,,60-67,,Defensive rebound by C. Kaman
2:26.0,,,60-69,2,A. Crabbe makes 2-pt shot from 2 ft (assist by D. Lillard)
2:26.0,,,60-69,,Shooting foul by B. Diaw (drawn by A. Crabbe)
2:26.0,,,60-69,,Portland full timeout
2:26.0,,,60-69,,W. Matthews enters the game for D. Lillard
2:26.0,,,60-70,1,A. Crabbe makes free throw 1 of 1
2:14.0,M. Belinelli makes 2-pt shot from 1 ft,2,62-70,,
1:55.0,,,62-70,,S. Blake misses 3-pt shot from 24 ft
1:54.0,,,62-70,,Offensive rebound by C. Kaman
1:47.0,,,62-70,,A. Crabbe misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by K. Anderson,,62-70,,
1:39.0,,,62-70,,Personal foul by W. Matthews (drawn by B. Diaw)
1:39.0,B. Diaw makes free throw 1 of 2,1,63-70,,
1:39.0,B. Diaw misses free throw 2 of 2,,63-70,,
1:38.0,,,63-70,,Defensive rebound by C. Kaman
1:22.0,,,63-72,2,W. Matthews makes 2-pt shot at rim (assist by S. Blake)
1:04.0,K. Anderson makes 2-pt shot from 19 ft (assist by J. Ayres),2,65-72,,
0:44.0,,,65-72,,W. Matthews misses 2-pt shot from 16 ft
0:44.0,,,65-72,,Offensive rebound by L. Aldridge
0:40.0,,,65-74,2,L. Aldridge makes 2-pt shot from 2 ft
0:33.0,B. Diaw makes 3-pt shot from 24 ft (assist by M. Belinelli),3,68-74,,
0:16.0,,,68-76,2,L. Aldridge makes 2-pt shot from 8 ft
0:03.0,M. Belinelli misses 2-pt shot from 20 ft,,68-76,,
0:03.0,,,68-76,,Defensive rebound by L. Aldridge
0:01.0,,,68-76,,Turnover by L. Aldridge (traveling)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,K. Anderson makes 2-pt shot from 2 ft,2,70-76,,
11:29.0,,,70-78,2,C. Kaman makes 2-pt shot from 8 ft
11:11.0,Offensive foul by K. Anderson,,70-78,,
11:11.0,Turnover by K. Anderson (offensive foul),,70-78,,
10:58.0,,,70-80,2,S. Blake makes 2-pt shot from 18 ft
10:48.0,,,70-80,,Personal foul by A. Crabbe (drawn by K. Anderson)
10:48.0,,,70-80,,N. Batum enters the game for A. Crabbe
10:37.0,K. Anderson makes 2-pt shot from 7 ft,2,72-80,,
10:27.0,Personal foul by A. Baynes (drawn by W. Matthews),,72-80,,
10:16.0,,,72-82,2,J. Freeland makes 2-pt shot from 5 ft
9:58.0,K. Anderson makes 2-pt shot from 2 ft,2,74-82,,
9:44.0,,,74-84,2,W. Matthews makes 2-pt shot from 5 ft
9:28.0,A. Baynes makes 2-pt shot from 6 ft,2,76-84,,
9:16.0,,,76-86,2,C. Kaman makes 2-pt shot from 17 ft (assist by S. Blake)
8:59.0,Shooting foul by C. Kaman (drawn by A. Baynes),,76-86,,
8:59.0,Official timeout,,76-86,,
8:59.0,,,76-86,,D. Lillard enters the game for W. Matthews
8:59.0,,,76-86,,T. Robinson enters the game for C. Kaman
8:59.0,K. Leonard enters the game for M. Belinelli,,76-86,,
8:59.0,A. Baynes misses free throw 1 of 2,,76-86,,
8:59.0,Offensive rebound by Team,,76-86,,
8:59.0,A. Baynes makes free throw 2 of 2,1,77-86,,
8:42.0,,,77-86,,D. Lillard misses 2-pt shot at rim
8:41.0,,,77-86,,Offensive rebound by D. Lillard
8:39.0,,,77-89,3,D. Lillard makes 3-pt shot from 25 ft
8:30.0,,,77-89,,Personal foul by D. Lillard (drawn by C. Joseph)
8:17.0,K. Anderson makes 2-pt shot from 12 ft,2,79-89,,
8:03.0,,,79-89,,N. Batum misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by K. Leonard,,79-89,,
7:55.0,Shooting foul by T. Robinson (drawn by K. Leonard),,79-89,,
7:55.0,K. Leonard makes free throw 1 of 2,1,80-89,,
7:55.0,K. Leonard makes free throw 2 of 2,1,81-89,,
7:42.0,Personal foul by K. Anderson (drawn by J. Freeland),,81-89,,
7:36.0,,,81-91,2,J. Freeland makes 2-pt shot from 20 ft (assist by N. Batum)
7:12.0,C. Joseph makes 2-pt shot from 5 ft (assist by K. Anderson),2,83-91,,
6:45.0,,,83-91,,J. Freeland misses 2-pt shot from 18 ft
6:43.0,Defensive rebound by K. Anderson,,83-91,,
6:34.0,Turnover by K. Leonard (bad pass),,83-91,,
6:34.0,,,83-91,,W. Matthews enters the game for S. Blake
6:34.0,,,83-91,,L. Aldridge enters the game for J. Freeland
6:24.0,,,83-91,,D. Lillard misses 3-pt shot from 24 ft
6:23.0,Defensive rebound by M. Bonner,,83-91,,
6:15.0,Shooting foul by N. Batum (drawn by K. Anderson),,83-91,,
6:15.0,K. Anderson misses free throw 1 of 2,,83-91,,
6:15.0,Offensive rebound by Team,,83-91,,
6:15.0,B. Diaw enters the game for M. Bonner,,83-91,,
6:15.0,K. Anderson makes free throw 2 of 2,1,84-91,,
6:07.0,,,84-91,,Offensive foul by T. Robinson
6:07.0,,,84-91,,Turnover by T. Robinson (offensive foul)
5:51.0,C. Joseph misses 2-pt shot from 11 ft,,84-91,,
5:49.0,,,84-91,,Defensive rebound by L. Aldridge
5:37.0,,,84-93,2,L. Aldridge makes 2-pt shot from 9 ft
