time,LA Clippers,pts.away,score,pts.home,San Antonio
0:00.0,J. Crawford misses 3-pt shot from 48 ft,,81-76,,
0:00.0,Offensive rebound by Team,,81-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,81-76,,D. Green misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by B. Griffin,,81-76,,
11:27.0,B. Griffin makes 2-pt shot from 12 ft (assist by J. Crawford),2,83-76,,
11:09.0,,,83-76,,Turnover by T. Duncan (lost ball; steal by B. Griffin)
11:04.0,A. Rivers makes 2-pt shot at rim (assist by J. Redick),2,85-76,,
10:43.0,,,85-76,,Shooting foul by B. Griffin (drawn by T. Duncan)
10:43.0,,,85-77,1,T. Duncan makes free throw 1 of 2
10:43.0,,,85-78,1,T. Duncan makes free throw 2 of 2
10:31.0,,,85-78,,Personal foul by B. Diaw (drawn by B. Griffin)
10:29.0,J. Crawford makes 2-pt shot from 18 ft (assist by G. Davis),2,87-78,,
10:29.0,Shooting foul by M. Ginobili (drawn by J. Crawford),,87-78,,
10:29.0,J. Crawford makes free throw 1 of 1,1,88-78,,
10:16.0,,,88-80,2,T. Parker makes 2-pt shot from 8 ft
10:08.0,A. Rivers makes 2-pt shot from 2 ft,2,90-80,,
10:08.0,Shooting foul by T. Duncan (drawn by A. Rivers),,90-80,,
10:08.0,,,90-80,,K. Leonard enters the game for M. Ginobili
10:08.0,A. Rivers makes free throw 1 of 1,1,91-80,,
9:56.0,,,91-80,,Shooting foul by A. Rivers (drawn by T. Parker)
9:56.0,,,91-80,,T. Parker misses free throw 1 of 2
9:56.0,,,91-80,,Offensive rebound by Team
9:56.0,,,91-80,,T. Parker misses free throw 2 of 2
9:55.0,Defensive rebound by B. Griffin,,91-80,,
9:42.0,J. Crawford makes 2-pt shot from 12 ft,2,93-80,,
9:29.0,,,93-82,2,T. Parker makes 2-pt shot from 3 ft
9:15.0,J. Crawford misses 2-pt shot from 20 ft,,93-82,,
9:14.0,,,93-82,,Defensive rebound by B. Diaw
9:04.0,,,93-84,2,T. Duncan makes 2-pt shot from 11 ft (assist by T. Parker)
9:04.0,LA Clippers full timeout,,93-84,,
9:04.0,D. Jordan enters the game for G. Davis,,93-84,,
9:04.0,C. Paul enters the game for J. Redick,,93-84,,
8:39.0,B. Griffin misses 2-pt shot from 14 ft (block by T. Duncan),,93-84,,
8:38.0,,,93-84,,Defensive rebound by T. Parker
8:25.0,,,93-84,,Shooting foul by C. Paul (drawn by T. Parker)
8:25.0,,,93-85,1,T. Parker makes free throw 1 of 2
8:25.0,,,93-86,1,T. Parker makes free throw 2 of 2
8:12.0,J. Crawford misses 2-pt shot from 15 ft,,93-86,,
8:11.0,,,93-86,,Defensive rebound by B. Diaw
8:00.0,,,93-86,,T. Parker misses 2-pt shot from 7 ft
7:59.0,Defensive rebound by B. Griffin,,93-86,,
7:50.0,B. Griffin misses 2-pt shot from 3 ft,,93-86,,
7:49.0,,,93-86,,Defensive rebound by T. Duncan
7:37.0,,,93-88,2,K. Leonard makes 2-pt shot from 4 ft (assist by T. Duncan)
7:15.0,C. Paul misses 3-pt shot from 23 ft,,93-88,,
7:14.0,,,93-88,,Defensive rebound by B. Diaw
6:56.0,,,93-88,,T. Duncan misses 2-pt shot from 10 ft
6:55.0,Defensive rebound by B. Griffin,,93-88,,
6:44.0,J. Crawford makes 2-pt shot from 3 ft,2,95-88,,
6:44.0,,,95-88,,San Antonio full timeout
6:44.0,J. Redick enters the game for C. Paul,,95-88,,
6:44.0,M. Barnes enters the game for J. Crawford,,95-88,,
6:25.0,,,95-88,,Shooting foul by D. Jordan (drawn by T. Parker)
6:25.0,,,95-88,,T. Parker misses free throw 1 of 2
6:25.0,,,95-88,,Offensive rebound by Team
6:25.0,,,95-88,,M. Bonner enters the game for B. Diaw
6:25.0,,,95-88,,T. Parker misses free throw 2 of 2
6:23.0,Defensive rebound by B. Griffin,,95-88,,
6:23.0,,,95-88,,Personal take foul by M. Bonner (drawn by D. Jordan)
6:23.0,,,95-88,,P. Mills enters the game for T. Parker
6:23.0,G. Davis enters the game for D. Jordan,,95-88,,
5:59.0,M. Barnes misses 2-pt shot from 3 ft (block by M. Bonner),,95-88,,
5:58.0,,,95-88,,Defensive rebound by P. Mills
