time,LA Lakers,pts.away,score,pts.home,LA Clippers
3:26.0,,,60-92,1,B. Griffin makes free throw 1 of 2
3:26.0,,,60-92,,J. Crawford enters the game for J. Redick
3:26.0,,,60-93,1,B. Griffin makes free throw 2 of 2
3:16.0,K. Bryant misses 2-pt shot from 18 ft,,60-93,,
3:15.0,,,60-93,,Defensive rebound by D. Jordan
3:08.0,,,60-95,2,B. Griffin makes 2-pt shot at rim (assist by M. Barnes)
2:57.0,W. Ellington misses 3-pt shot from 26 ft,,60-95,,
2:57.0,,,60-95,,Defensive rebound by Team
2:57.0,LA Lakers full timeout,,60-95,,
2:45.0,Personal foul by W. Ellington (drawn by B. Griffin),,60-95,,
2:45.0,,,60-95,,B. Griffin misses free throw 1 of 2
2:45.0,,,60-95,,Offensive rebound by Team
2:45.0,,,60-96,1,B. Griffin makes free throw 2 of 2
2:28.0,N. Young misses 3-pt shot from 25 ft,,60-96,,
2:26.0,Offensive rebound by R. Sacre,,60-96,,
2:22.0,R. Sacre misses 2-pt shot from 11 ft,,60-96,,
2:19.0,Offensive rebound by N. Young,,60-96,,
2:19.0,N. Young makes 2-pt shot from 2 ft,2,62-96,,
1:55.0,,,62-96,,M. Barnes misses 3-pt shot from 26 ft
1:52.0,,,62-96,,Offensive rebound by B. Griffin
1:44.0,,,62-99,3,C. Paul makes 3-pt shot from 24 ft (assist by J. Crawford)
1:33.0,C. Boozer misses 2-pt shot from 1 ft (block by D. Jordan),,62-99,,
1:31.0,,,62-99,,Defensive rebound by C. Paul
1:28.0,,,62-99,,D. Jordan misses 2-pt shot from 1 ft
1:27.0,Defensive rebound by N. Young,,62-99,,
1:25.0,Turnover by N. Young (lost ball; steal by C. Paul),,62-99,,
1:20.0,,,62-99,,M. Barnes misses 2-pt shot from 8 ft
1:18.0,Defensive rebound by K. Bryant,,62-99,,
1:14.0,N. Young misses 3-pt shot from 26 ft,,62-99,,
1:12.0,,,62-99,,Defensive rebound by B. Griffin
0:50.0,,,62-99,,J. Crawford misses 2-pt shot from 16 ft
0:50.0,Defensive rebound by K. Bryant,,62-99,,
0:38.0,R. Sacre misses 2-pt shot from 1 ft (block by D. Jordan),,62-99,,
0:37.0,,,62-99,,Defensive rebound by J. Crawford
0:15.0,,,62-99,,C. Paul misses 2-pt shot from 15 ft
0:12.0,,,62-99,,Offensive rebound by D. Jordan
0:12.0,,,62-99,,D. Jordan misses 2-pt shot from 1 ft
0:10.0,Defensive rebound by K. Bryant,,62-99,,
0:08.0,Shooting foul by C. Paul (drawn by W. Ellington),,62-99,,
