time,Philadelphia,pts.away,score,pts.home,Brooklyn
9:56.0,Turnover by K. McDaniels (bad pass; steal by A. Anderson),,60-69,,
9:45.0,Personal foul by K. McDaniels (drawn by J. Jack),,60-69,,
9:41.0,,,60-69,,Turnover by J. Jack (bad pass)
9:28.0,N. Noel misses 2-pt shot from 2 ft,,60-69,,
9:27.0,,,60-69,,Defensive rebound by K. Garnett
9:11.0,,,60-69,,Shooting foul by N. Noel (drawn by C. Jefferson)
9:11.0,,,60-69,,C. Jefferson misses free throw 1 of 2
9:11.0,,,60-69,,Offensive rebound by Team
9:11.0,R. Covington enters the game for K. McDaniels,,60-69,,
9:11.0,L. Mbah a Moute enters the game for A. Shved,,60-69,,
9:11.0,,,60-69,,C. Jefferson misses free throw 2 of 2
9:09.0,,,60-69,,Offensive rebound by K. Garnett
9:08.0,,,60-69,,K. Garnett misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by H. Thompson,,60-69,,
8:57.0,R. Covington misses 3-pt shot from 24 ft,,60-69,,
8:56.0,,,60-69,,Defensive rebound by J. Jack
8:40.0,,,60-69,,Shooting foul by L. Mbah a Moute (drawn by K. Garnett)
8:40.0,,,60-70,1,K. Garnett makes free throw 1 of 2
8:40.0,,,60-71,1,K. Garnett makes free throw 2 of 2
8:20.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,60-71,,
8:19.0,,,60-71,,Defensive rebound by C. Jefferson
8:11.0,,,60-71,,J. Jack misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by Team,,60-71,,
7:55.0,Turnover by R. Covington (lost ball; steal by A. Anderson),,60-71,,
7:40.0,,,60-71,,A. Anderson misses 2-pt shot from 13 ft
7:39.0,,,60-71,,Offensive rebound by K. Garnett
7:26.0,,,60-73,2,A. Anderson makes 2-pt shot from 1 ft (assist by K. Garnett)
7:10.0,M. Carter-Williams misses 2-pt shot from 2 ft,,60-73,,
7:09.0,,,60-73,,Defensive rebound by C. Jefferson
7:02.0,,,60-73,,Turnover by B. Bogdanovic (bad pass; steal by R. Covington)
6:56.0,R. Covington makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,63-73,,
6:55.0,,,63-73,,Brooklyn full timeout
6:55.0,H. Sims enters the game for N. Noel,,63-73,,
6:55.0,,,63-73,,M. Plumlee enters the game for K. Garnett
6:55.0,,,63-73,,S. Karasev enters the game for B. Bogdanovic
6:34.0,,,63-73,,J. Jack misses 2-pt shot from 2 ft
6:33.0,Defensive rebound by R. Covington,,63-73,,
6:24.0,Offensive foul by H. Sims,,63-73,,
6:24.0,Turnover by H. Sims (offensive foul),,63-73,,
6:24.0,,,63-73,,J. Johnson enters the game for C. Jefferson
6:07.0,,,63-73,,Turnover by J. Johnson (bad pass; steal by R. Covington)
5:55.0,,,63-73,,Personal foul by J. Jack (drawn by L. Mbah a Moute)
5:55.0,,,63-73,,D. Williams enters the game for J. Jack
5:46.0,H. Sims makes 2-pt shot from 12 ft (assist by M. Carter-Williams),2,65-73,,
5:33.0,Personal block foul by M. Carter-Williams (drawn by D. Williams),,65-73,,
5:21.0,,,65-73,,S. Karasev misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by Team,,65-73,,
4:59.0,Turnover by M. Carter-Williams (lost ball; steal by A. Anderson),,65-73,,
4:42.0,,,65-75,2,M. Plumlee makes 2-pt shot at rim (assist by A. Anderson)
4:41.0,Philadelphia full timeout,,65-75,,
4:20.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,65-75,,
4:19.0,,,65-75,,Defensive rebound by A. Anderson
4:03.0,,,65-75,,Turnover by A. Anderson (bad pass; steal by H. Sims)
3:52.0,Turnover by M. Carter-Williams (bad pass; steal by S. Karasev),,65-75,,
3:28.0,,,65-77,2,J. Johnson makes 2-pt shot from 18 ft
3:09.0,Turnover by M. Carter-Williams (lost ball; steal by D. Williams),,65-77,,
