time,Cleveland,pts.away,score,pts.home,Toronto
0:24.0,Defensive rebound by K. Love,,76-64,,
0:16.0,,,76-64,,Personal foul by J. Johnson (drawn by L. James)
0:02.0,L. James misses 3-pt shot from 29 ft,,76-64,,
0:00.0,,,76-64,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,76-64,,J. Johnson misses 2-pt shot from 2 ft
11:45.0,Defensive rebound by L. James,,76-64,,
11:28.0,D. Waiters misses 3-pt shot from 28 ft,,76-64,,
11:27.0,,,76-64,,Defensive rebound by G. Vasquez
11:16.0,Personal foul by K. Irving (drawn by G. Vasquez),,76-64,,
11:04.0,,,76-67,3,J. Johnson makes 3-pt shot from 25 ft (assist by L. Williams)
10:41.0,D. Waiters misses 2-pt shot from 1 ft,,76-67,,
10:40.0,,,76-67,,Defensive rebound by L. Williams
10:36.0,Personal foul by J. Jones (drawn by L. Williams),,76-67,,
10:36.0,,,76-67,,K. Lowry enters the game for T. Hansbrough
10:33.0,Personal foul by D. Waiters (drawn by L. Williams),,76-67,,
10:31.0,,,76-67,,Offensive foul by P. Patterson
10:31.0,,,76-67,,Turnover by P. Patterson (offensive foul)
10:15.0,K. Irving misses 2-pt shot from 4 ft,,76-67,,
10:14.0,Offensive rebound by T. Thompson,,76-67,,
10:12.0,T. Thompson misses 2-pt shot at rim,,76-67,,
10:11.0,,,76-67,,Defensive rebound by P. Patterson
10:05.0,,,76-69,2,J. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry)
9:50.0,T. Thompson misses 2-pt shot from 1 ft,,76-69,,
9:50.0,Offensive rebound by T. Thompson,,76-69,,
9:50.0,,,76-69,,Violation by J. Johnson (def goaltending)
9:50.0,T. Thompson makes 2-pt shot from 1 ft (assist by L. James),2,78-69,,
9:41.0,Personal block foul by J. Jones (drawn by K. Lowry),,78-69,,
9:29.0,,,78-69,,G. Vasquez misses 2-pt shot from 6 ft
9:28.0,Defensive rebound by L. James,,78-69,,
9:19.0,K. Irving makes 2-pt shot from 2 ft,2,80-69,,
9:04.0,,,80-72,3,P. Patterson makes 3-pt shot from 24 ft (assist by L. Williams)
8:47.0,Shooting foul by L. Williams (drawn by T. Thompson),,80-72,,
8:47.0,Official timeout,,80-72,,
8:47.0,,,80-72,,T. Ross enters the game for G. Vasquez
8:47.0,K. Love enters the game for L. James,,80-72,,
8:47.0,T. Thompson makes free throw 1 of 2,1,81-72,,
8:47.0,T. Thompson misses free throw 2 of 2,,81-72,,
8:46.0,,,81-72,,Defensive rebound by J. Johnson
8:33.0,,,81-72,,K. Lowry misses 2-pt shot from 3 ft
8:33.0,,,81-72,,Offensive rebound by P. Patterson
8:32.0,,,81-72,,Shooting foul by T. Thompson (drawn by P. Patterson)
8:32.0,,,81-72,,P. Patterson misses free throw 1 of 2
8:32.0,,,81-72,,Offensive rebound by Team
8:32.0,,,81-73,1,P. Patterson makes free throw 2 of 2
8:23.0,,,81-73,,Personal foul by J. Johnson (drawn by J. Jones)
8:23.0,,,81-73,,A. Johnson enters the game for J. Johnson
8:11.0,D. Waiters makes 2-pt shot from 18 ft,2,83-73,,
7:55.0,,,83-73,,T. Ross misses 2-pt shot from 1 ft
7:54.0,,,83-73,,Offensive rebound by A. Johnson
7:52.0,,,83-75,2,A. Johnson makes 2-pt shot from 3 ft
7:38.0,K. Irving makes 2-pt shot from 2 ft,2,85-75,,
7:23.0,,,85-75,,T. Ross misses 3-pt shot from 23 ft
7:22.0,,,85-75,,Offensive rebound by T. Ross
7:18.0,,,85-77,2,P. Patterson makes 2-pt shot from 2 ft (assist by A. Johnson)
6:56.0,T. Thompson makes 2-pt shot from 5 ft (assist by K. Irving),2,87-77,,
6:42.0,,,87-77,,L. Williams misses 2-pt shot from 15 ft
6:41.0,Defensive rebound by T. Thompson,,87-77,,
6:32.0,T. Thompson misses 2-pt shot from 2 ft (block by T. Ross),,87-77,,
6:31.0,Offensive rebound by Team,,87-77,,
6:31.0,S. Marion enters the game for J. Jones,,87-77,,
6:31.0,L. James enters the game for T. Thompson,,87-77,,
6:31.0,,,87-77,,J. Johnson enters the game for L. Williams
6:31.0,,,87-77,,C. Hayes enters the game for P. Patterson
6:28.0,L. James makes 2-pt shot from 3 ft (assist by K. Irving),2,89-77,,
6:08.0,,,89-80,3,T. Ross makes 3-pt shot from 23 ft (assist by J. Johnson)
5:53.0,K. Irving misses 3-pt shot from 26 ft,,89-80,,
5:52.0,,,89-80,,Defensive rebound by J. Johnson
5:46.0,,,89-83,3,K. Lowry makes 3-pt shot from 26 ft (assist by J. Johnson)
5:43.0,Cleveland full timeout,,89-83,,
5:43.0,T. Thompson enters the game for D. Waiters,,89-83,,
5:30.0,L. James makes 2-pt shot from 6 ft,2,91-83,,
5:00.0,,,91-83,,K. Lowry misses 2-pt shot from 4 ft
4:59.0,,,91-83,,Offensive rebound by Team
4:58.0,Loose ball foul by L. James (drawn by A. Johnson),,91-83,,
4:58.0,,,91-84,1,A. Johnson makes free throw 1 of 2
4:58.0,,,91-85,1,A. Johnson makes free throw 2 of 2
4:42.0,K. Love misses 2-pt shot from 18 ft,,91-85,,
4:41.0,Offensive rebound by T. Thompson,,91-85,,
4:40.0,Shooting foul by C. Hayes (drawn by T. Thompson),,91-85,,
4:40.0,T. Thompson makes free throw 1 of 2,1,92-85,,
4:40.0,T. Thompson makes free throw 2 of 2,1,93-85,,
