time,Atlanta,pts.away,score,pts.home,Brooklyn
6:43.0,,,51-54,,Defensive rebound by D. Williams
6:32.0,,,51-56,2,B. Bogdanovic makes 2-pt shot at rim (assist by T. Young)
6:22.0,K. Bazemore misses 3-pt shot from 23 ft,,51-56,,
6:21.0,,,51-56,,Defensive rebound by A. Anderson
6:01.0,,,51-58,2,B. Lopez makes 2-pt shot from 18 ft (assist by D. Williams)
5:49.0,J. Teague makes 2-pt shot from 18 ft,2,53-58,,
5:49.0,Shooting foul by D. Williams (drawn by J. Teague),,53-58,,
5:49.0,D. Carroll enters the game for K. Korver,,53-58,,
5:49.0,P. Antic enters the game for A. Horford,,53-58,,
5:49.0,J. Teague makes free throw 1 of 1,1,54-58,,
5:36.0,,,54-58,,Turnover by A. Anderson (bad pass; steal by P. Millsap)
5:24.0,J. Teague misses 2-pt shot from 12 ft,,54-58,,
5:23.0,,,54-58,,Defensive rebound by B. Bogdanovic
5:00.0,,,54-58,,B. Lopez misses 2-pt shot from 15 ft
4:59.0,Defensive rebound by K. Bazemore,,54-58,,
4:53.0,D. Carroll makes 2-pt shot from 1 ft,2,56-58,,
4:35.0,,,56-58,,J. Johnson enters the game for B. Bogdanovic
4:35.0,D. Schroder enters the game for J. Teague,,56-58,,
4:29.0,,,56-58,,D. Williams misses 2-pt shot from 18 ft
4:28.0,Defensive rebound by P. Millsap,,56-58,,
4:24.0,K. Bazemore makes 2-pt shot at rim (assist by D. Schroder),2,58-58,,
4:14.0,,,58-58,,Turnover by D. Williams (bad pass; steal by P. Millsap)
4:10.0,P. Millsap makes 2-pt shot from 2 ft,2,60-58,,
4:00.0,,,60-58,,Brooklyn full timeout
4:00.0,,,60-58,,J. Jack enters the game for D. Williams
3:45.0,,,60-58,,A. Anderson misses 3-pt shot from 23 ft
3:44.0,Defensive rebound by K. Bazemore,,60-58,,
3:37.0,Turnover by P. Millsap (lost ball),,60-58,,
3:16.0,,,60-58,,J. Johnson misses 2-pt shot from 19 ft
3:15.0,,,60-58,,Offensive rebound by T. Young
3:14.0,,,60-58,,T. Young misses 2-pt shot from 2 ft
3:13.0,Defensive rebound by P. Antic,,60-58,,
3:05.0,,,60-58,,B. Bogdanovic enters the game for A. Anderson
2:59.0,D. Schroder misses 2-pt shot from 10 ft,,60-58,,
2:58.0,Offensive rebound by Team,,60-58,,
2:58.0,,,60-58,,Loose ball foul by B. Lopez (drawn by P. Antic)
2:58.0,Atlanta full timeout,,60-58,,
2:58.0,K. Korver enters the game for D. Carroll,,60-58,,
2:58.0,P. Antic makes free throw 1 of 2,1,61-58,,
2:58.0,P. Antic makes free throw 2 of 2,1,62-58,,
2:43.0,,,62-58,,J. Jack misses 2-pt shot from 9 ft
2:41.0,,,62-58,,Offensive rebound by T. Young
2:38.0,,,62-60,2,T. Young makes 2-pt shot from 4 ft
2:21.0,P. Antic misses 3-pt shot from 26 ft,,62-60,,
2:20.0,,,62-60,,Defensive rebound by T. Young
2:16.0,Personal foul by P. Antic (drawn by B. Lopez),,62-60,,
2:07.0,,,62-62,2,T. Young makes 2-pt shot from 4 ft (assist by J. Jack)
1:41.0,P. Antic misses 2-pt shot from 3 ft,,62-62,,
