time,Orlando,pts.away,score,pts.home,Atlanta
5:18.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by E. Fournier),2,73-76,,
4:57.0,,,73-79,3,M. Scott makes 3-pt shot from 25 ft (assist by J. Teague)
4:31.0,K. O'Quinn misses 2-pt shot from 1 ft,,73-79,,
4:30.0,Offensive rebound by Team,,73-79,,
4:30.0,,,73-79,,A. Horford enters the game for M. Scott
4:27.0,Turnover by V. Oladipo (lost ball; steal by J. Teague),,73-79,,
4:21.0,,,73-81,2,J. Teague makes 2-pt shot at rim
4:04.0,Turnover by K. O'Quinn (bad pass; steal by A. Horford),,73-81,,
3:54.0,,,73-81,,D. Carroll misses 2-pt shot from 11 ft
3:53.0,Defensive rebound by K. O'Quinn,,73-81,,
3:43.0,C. Frye misses 3-pt shot from 24 ft,,73-81,,
3:42.0,,,73-81,,Defensive rebound by A. Horford
3:33.0,,,73-81,,Turnover by J. Teague (lost ball)
