time,Atlanta,pts.away,score,pts.home,Charlotte
10:50.0,,,52-47,,Offensive rebound by A. Jefferson
10:40.0,,,52-50,3,M. Williams makes 3-pt shot from 25 ft (assist by A. Jefferson)
10:27.0,A. Horford misses 2-pt shot from 6 ft,,52-50,,
10:25.0,,,52-50,,Defensive rebound by A. Jefferson
10:13.0,,,52-50,,L. Stephenson misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by K. Korver,,52-50,,
9:56.0,Shooting foul by M. Williams (drawn by J. Teague),,52-50,,
9:56.0,J. Teague makes free throw 1 of 2,1,53-50,,
9:56.0,J. Teague makes free throw 2 of 2,1,54-50,,
9:41.0,,,54-52,2,A. Jefferson makes 2-pt shot from 17 ft (assist by K. Walker)
9:34.0,J. Teague misses 2-pt shot from 3 ft (block by A. Jefferson),,54-52,,
9:34.0,Offensive rebound by Team,,54-52,,
9:33.0,Turnover by P. Millsap (offensive foul),,54-52,,
9:33.0,Offensive foul by P. Millsap,,54-52,,
9:22.0,Personal foul by D. Carroll (drawn by L. Stephenson),,54-52,,
9:15.0,,,54-54,2,K. Walker makes 2-pt shot from 11 ft
9:01.0,J. Teague misses 2-pt shot from 2 ft,,54-54,,
8:57.0,Offensive rebound by J. Teague,,54-54,,
8:57.0,J. Teague makes 2-pt shot from 1 ft,2,56-54,,
8:41.0,,,56-56,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
8:30.0,Turnover by J. Teague (bad pass; steal by K. Walker),,56-56,,
8:27.0,,,56-56,,Offensive charge foul by M. Kidd-Gilchrist
8:27.0,,,56-56,,Turnover by M. Kidd-Gilchrist (offensive foul)
8:11.0,J. Teague misses 2-pt shot from 6 ft (block by A. Jefferson),,56-56,,
8:10.0,,,56-56,,Defensive rebound by A. Jefferson
7:54.0,,,56-58,2,A. Jefferson makes 2-pt shot from 14 ft (assist by K. Walker)
7:28.0,J. Teague misses 3-pt shot from 26 ft,,56-58,,
7:27.0,,,56-58,,Defensive rebound by K. Walker
7:11.0,,,56-58,,A. Jefferson misses 2-pt shot from 12 ft
7:10.0,,,56-58,,Offensive rebound by M. Kidd-Gilchrist
7:07.0,,,56-60,2,M. Williams makes 2-pt shot from 21 ft (assist by M. Kidd-Gilchrist)
7:07.0,Atlanta full timeout,,56-60,,
7:07.0,T. Sefolosha enters the game for D. Carroll,,56-60,,
7:07.0,P. Antic enters the game for A. Horford,,56-60,,
6:58.0,Offensive foul by K. Korver,,56-60,,
6:58.0,Turnover by K. Korver (offensive foul),,56-60,,
6:40.0,,,56-60,,Shooting foul by P. Antic (drawn by A. Jefferson)
6:40.0,,,56-60,,A. Jefferson misses free throw 1 of 2
6:40.0,,,56-60,,Offensive rebound by Team
6:40.0,,,56-61,1,A. Jefferson makes free throw 2 of 2
6:29.0,P. Millsap makes 2-pt shot from 1 ft,2,58-61,,
6:16.0,,,58-61,,K. Walker misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by T. Sefolosha,,58-61,,
6:05.0,P. Antic misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,58-61,,
6:03.0,,,58-61,,Defensive rebound by L. Stephenson
5:59.0,,,58-61,,Turnover by L. Stephenson (lost ball)
5:59.0,,,58-61,,P. Hairston enters the game for M. Kidd-Gilchrist
5:54.0,,,58-61,,Personal foul by P. Hairston (drawn by K. Korver)
5:44.0,K. Korver makes 3-pt shot from 23 ft (assist by J. Teague),3,61-61,,
5:21.0,,,61-63,2,A. Jefferson makes 2-pt shot from 12 ft (assist by P. Hairston)
5:05.0,Turnover by T. Sefolosha (traveling),,61-63,,
5:05.0,,,61-63,,C. Zeller enters the game for M. Williams
4:45.0,,,61-63,,P. Hairston misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by T. Sefolosha,,61-63,,
4:36.0,,,61-63,,Personal foul by C. Zeller (drawn by P. Millsap)
4:31.0,P. Antic makes 3-pt shot from 25 ft (assist by P. Millsap),3,64-63,,
4:16.0,,,64-63,,Turnover by C. Zeller (lost ball)
4:05.0,Offensive charge foul by P. Millsap,,64-63,,
4:05.0,Turnover by P. Millsap (offensive foul),,64-63,,
4:05.0,,,64-63,,G. Neal enters the game for L. Stephenson
4:05.0,,,64-63,,J. Maxiell enters the game for A. Jefferson
3:58.0,,,64-63,,Offensive charge foul by K. Walker
3:58.0,,,64-63,,Turnover by K. Walker (offensive foul)
3:42.0,P. Millsap misses 2-pt shot from 6 ft,,64-63,,
3:40.0,,,64-63,,Defensive rebound by G. Neal
3:33.0,,,64-63,,G. Neal misses 2-pt shot from 16 ft
3:32.0,Defensive rebound by P. Antic,,64-63,,
3:28.0,Shooting foul by J. Maxiell (drawn by J. Teague),,64-63,,
3:28.0,J. Teague makes free throw 1 of 2,1,65-63,,
3:28.0,D. Carroll enters the game for K. Korver,,65-63,,
3:28.0,J. Teague misses free throw 2 of 2,,65-63,,
3:26.0,,,65-63,,Defensive rebound by P. Hairston
3:09.0,,,65-63,,K. Walker misses 3-pt shot from 26 ft
3:08.0,Defensive rebound by T. Sefolosha,,65-63,,
3:01.0,J. Teague misses 2-pt shot from 2 ft (block by C. Zeller),,65-63,,
3:01.0,Offensive rebound by Team,,65-63,,
2:52.0,J. Teague makes 2-pt shot from 2 ft,2,67-63,,
2:36.0,,,67-65,2,K. Walker makes 2-pt shot from 15 ft (assist by P. Hairston)
2:26.0,T. Sefolosha makes 2-pt shot at rim (assist by J. Teague),2,69-65,,
2:07.0,,,69-65,,Offensive charge foul by P. Hairston
2:07.0,,,69-65,,Turnover by P. Hairston (offensive foul)
2:07.0,,,69-65,,Charlotte full timeout
2:07.0,D. Schroder enters the game for J. Teague,,69-65,,
2:07.0,,,69-65,,B. Roberts enters the game for K. Walker
1:59.0,Offensive foul by P. Millsap,,69-65,,
1:59.0,Turnover by P. Millsap (offensive foul),,69-65,,
1:59.0,M. Scott enters the game for P. Millsap,,69-65,,
1:36.0,,,69-67,2,J. Maxiell makes 2-pt shot from 7 ft (assist by G. Neal)
1:14.0,,,69-67,,Personal foul by B. Roberts (drawn by D. Schroder)
1:14.0,D. Schroder makes free throw 1 of 2,1,70-67,,
1:14.0,D. Schroder makes free throw 2 of 2,1,71-67,,
1:02.0,,,71-67,,Turnover by G. Neal (bad pass; steal by P. Antic)
0:58.0,T. Sefolosha misses 2-pt shot from 1 ft,,71-67,,
0:57.0,Offensive rebound by D. Carroll,,71-67,,
0:57.0,D. Carroll makes 2-pt shot at rim,2,73-67,,
0:38.0,,,73-67,,P. Hairston misses 3-pt shot from 26 ft
0:37.0,Defensive rebound by D. Schroder,,73-67,,
0:26.0,M. Scott makes 3-pt shot from 22 ft (assist by T. Sefolosha),3,76-67,,
0:07.0,,,76-67,,G. Neal misses 3-pt shot from 26 ft
0:05.0,,,76-67,,Offensive rebound by G. Neal
0:05.0,,,76-69,2,G. Neal makes 2-pt shot from 16 ft
0:05.0,,,76-69,,Shooting foul by T. Sefolosha (drawn by G. Neal)
0:05.0,,,76-70,1,G. Neal makes free throw 1 of 1
0:01.0,D. Schroder makes 2-pt shot from 2 ft,2,78-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,78-70,,C. Zeller misses 2-pt shot from 18 ft
11:42.0,,,78-70,,Offensive rebound by P. Hairston
11:29.0,,,78-73,3,G. Neal makes 3-pt shot from 25 ft
11:19.0,,,78-73,,Personal foul by G. Neal (drawn by A. Horford)
11:19.0,,,78-73,,M. Kidd-Gilchrist enters the game for P. Hairston
11:13.0,D. Schroder makes 2-pt shot from 1 ft,2,80-73,,
11:00.0,,,80-73,,B. Roberts misses 2-pt shot at rim
10:58.0,Defensive rebound by M. Scott,,80-73,,
10:47.0,M. Scott misses 3-pt shot from 26 ft,,80-73,,
10:46.0,,,80-73,,Defensive rebound by J. Maxiell
10:33.0,,,80-73,,B. Roberts misses 2-pt shot from 15 ft
