time,Portland,pts.away,score,pts.home,Toronto
5:59.0,,,77-63,,Shooting foul by A. Afflalo (drawn by D. DeRozan)
5:59.0,C. McCollum enters the game for A. Afflalo,,77-63,,
5:59.0,,,77-64,1,D. DeRozan makes free throw 1 of 1
5:44.0,D. Lillard misses 2-pt shot from 2 ft,,77-64,,
5:44.0,Offensive rebound by Team,,77-64,,
5:44.0,,,77-64,,Loose ball foul by A. Johnson (drawn by R. Lopez)
5:31.0,D. Lillard makes 3-pt shot from 24 ft (assist by N. Batum),3,80-64,,
5:15.0,,,80-66,2,A. Johnson makes 2-pt shot from 2 ft (assist by D. DeRozan)
4:52.0,L. Aldridge misses 2-pt shot from 16 ft,,80-66,,
4:51.0,,,80-66,,Defensive rebound by K. Lowry
4:47.0,,,80-66,,Shooting foul by C. McCollum (drawn by K. Lowry)
4:47.0,,,80-67,1,K. Lowry makes free throw 1 of 2
4:47.0,C. Kaman enters the game for R. Lopez,,80-67,,
4:47.0,,,80-67,,J. Johnson enters the game for T. Ross
4:47.0,,,80-68,1,K. Lowry makes free throw 2 of 2
4:35.0,C. Kaman misses 2-pt shot from 1 ft,,80-68,,
4:33.0,,,80-68,,Defensive rebound by D. DeRozan
4:29.0,,,80-68,,Shooting foul by D. Lillard (drawn by D. DeRozan)
4:29.0,,,80-69,1,D. DeRozan makes free throw 1 of 2
4:29.0,,,80-70,1,D. DeRozan makes free throw 2 of 2
4:08.0,L. Aldridge misses 2-pt shot from 16 ft,,80-70,,
4:06.0,Offensive rebound by C. Kaman,,80-70,,
4:05.0,,,80-70,,Personal foul by P. Patterson (drawn by L. Aldridge)
4:05.0,L. Aldridge makes free throw 1 of 2,1,81-70,,
4:05.0,L. Aldridge makes free throw 2 of 2,1,82-70,,
3:47.0,,,82-70,,Offensive foul by J. Johnson
3:47.0,,,82-70,,Turnover by J. Johnson (offensive foul)
3:47.0,,,82-70,,L. Williams enters the game for D. DeRozan
3:47.0,D. Wright enters the game for N. Batum,,82-70,,
3:36.0,D. Lillard makes 3-pt shot from 24 ft (assist by L. Aldridge),3,85-70,,
3:19.0,,,85-70,,K. Lowry misses 2-pt shot from 2 ft
3:18.0,,,85-70,,Offensive rebound by A. Johnson
3:16.0,,,85-72,2,A. Johnson makes 2-pt shot from 1 ft
2:56.0,D. Lillard misses 3-pt shot from 24 ft,,85-72,,
2:54.0,,,85-72,,Defensive rebound by K. Lowry
2:49.0,,,85-74,2,A. Johnson makes 2-pt shot at rim (assist by K. Lowry)
2:49.0,Portland full timeout,,85-74,,
2:49.0,S. Blake enters the game for D. Lillard,,85-74,,
2:31.0,D. Wright makes 3-pt shot from 24 ft (assist by L. Aldridge),3,88-74,,
2:10.0,,,88-76,2,A. Johnson makes 2-pt shot from 3 ft (assist by L. Williams)
1:44.0,S. Blake misses 3-pt shot from 24 ft,,88-76,,
1:42.0,,,88-76,,Defensive rebound by J. Johnson
1:32.0,,,88-76,,K. Lowry misses 2-pt shot from 8 ft
1:31.0,,,88-76,,Offensive rebound by A. Johnson
1:29.0,,,88-76,,Shooting foul by S. Blake (drawn by L. Williams)
1:29.0,,,88-77,1,L. Williams makes free throw 1 of 3
1:29.0,,,88-78,1,L. Williams makes free throw 2 of 3
1:29.0,,,88-79,1,L. Williams makes free throw 3 of 3
1:17.0,C. McCollum misses 3-pt shot from 24 ft,,88-79,,
1:15.0,,,88-79,,Defensive rebound by P. Patterson
1:11.0,,,88-79,,Turnover by K. Lowry (bad pass)
0:53.0,L. Aldridge misses 2-pt shot from 7 ft,,88-79,,
0:51.0,,,88-79,,Defensive rebound by A. Johnson
0:46.0,,,88-79,,Turnover by J. Johnson (traveling)
0:31.0,C. McCollum misses 2-pt shot from 6 ft,,88-79,,
0:30.0,Offensive rebound by C. Kaman,,88-79,,
0:28.0,S. Blake makes 3-pt shot from 22 ft (assist by C. Kaman),3,91-79,,
0:04.0,,,91-79,,L. Williams misses 3-pt shot from 24 ft
0:03.0,,,91-79,,Offensive rebound by P. Patterson
0:01.0,,,91-79,,P. Patterson misses 2-pt shot from 2 ft (block by C. Kaman)
0:01.0,Defensive rebound by S. Blake,,91-79,,
0:00.0,S. Blake misses 3-pt shot from 49 ft,,91-79,,
0:00.0,Offensive rebound by Team,,91-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,C. Kaman makes 2-pt shot from 2 ft,2,93-79,,
11:31.0,,,93-79,,P. Patterson misses 3-pt shot from 24 ft
11:30.0,,,93-79,,Offensive rebound by J. Johnson
11:28.0,,,93-79,,Turnover by J. Johnson (bad pass; steal by D. Lillard)
11:25.0,N. Batum misses 2-pt shot from 1 ft (block by G. Vasquez),,93-79,,
11:25.0,Offensive rebound by Team,,93-79,,
11:22.0,D. Lillard misses 3-pt shot from 23 ft,,93-79,,
11:20.0,,,93-79,,Defensive rebound by T. Hansbrough
11:14.0,,,93-79,,L. Williams misses 2-pt shot from 1 ft (block by C. Kaman)
11:14.0,,,93-79,,Offensive rebound by Team
11:08.0,,,93-81,2,T. Hansbrough makes 2-pt shot at rim (assist by P. Patterson)
10:46.0,Turnover by D. Wright (bad pass),,93-81,,
10:30.0,,,93-81,,Turnover by G. Vasquez (bad pass; steal by D. Wright)
10:16.0,Turnover by D. Lillard (lost ball; steal by G. Vasquez),,93-81,,
9:58.0,,,93-83,2,J. Johnson makes 2-pt shot from 2 ft (assist by G. Vasquez)
9:34.0,Turnover by S. Blake (bad pass; steal by T. Hansbrough),,93-83,,
9:28.0,A. Afflalo enters the game for S. Blake,,93-83,,
9:09.0,,,93-83,,Turnover by Team (shot clock)
8:50.0,A. Afflalo misses 2-pt shot from 18 ft (block by J. Johnson),,93-83,,
8:48.0,,,93-83,,Defensive rebound by P. Patterson
8:39.0,,,93-85,2,G. Vasquez makes 2-pt shot from 13 ft (assist by J. Johnson)
8:39.0,Portland full timeout,,93-85,,
8:39.0,R. Lopez enters the game for C. Kaman,,93-85,,
8:22.0,Shooting foul by J. Johnson (drawn by R. Lopez),,93-85,,
8:22.0,R. Lopez misses free throw 1 of 2,,93-85,,
8:22.0,Offensive rebound by Team,,93-85,,
8:22.0,R. Lopez makes free throw 2 of 2,1,94-85,,
8:12.0,,,94-85,,G. Vasquez misses 2-pt shot from 12 ft (block by R. Lopez)
8:09.0,Defensive rebound by D. Lillard,,94-85,,
8:00.0,A. Afflalo makes 3-pt shot from 22 ft (assist by N. Batum),3,97-85,,
7:40.0,Personal foul by N. Batum (drawn by G. Vasquez),,97-85,,
7:29.0,,,97-85,,G. Vasquez misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by N. Batum,,97-85,,
7:20.0,D. Wright makes 2-pt shot at rim (assist by N. Batum),2,99-85,,
7:16.0,,,99-85,,Toronto full timeout
7:16.0,,,99-85,,D. DeRozan enters the game for P. Patterson
7:16.0,,,99-85,,A. Johnson enters the game for G. Vasquez
7:16.0,,,99-85,,K. Lowry enters the game for T. Hansbrough
7:05.0,,,99-85,,D. DeRozan misses 2-pt shot from 11 ft
7:04.0,Defensive rebound by N. Batum,,99-85,,
6:48.0,D. Wright makes 2-pt shot at rim (assist by N. Batum),2,101-85,,
6:29.0,,,101-85,,Turnover by A. Johnson (lost ball; steal by N. Batum)
6:25.0,D. Lillard misses 2-pt shot from 2 ft,,101-85,,
6:23.0,,,101-85,,Defensive rebound by J. Johnson
6:20.0,,,101-85,,Shooting foul by N. Batum (drawn by L. Williams)
6:20.0,,,101-86,1,L. Williams makes free throw 1 of 2
6:20.0,S. Blake enters the game for D. Lillard,,101-86,,
6:20.0,L. Aldridge enters the game for D. Wright,,101-86,,
6:20.0,,,101-86,,L. Williams misses free throw 2 of 2
6:20.0,Defensive rebound by R. Lopez,,101-86,,
5:56.0,L. Aldridge makes 2-pt shot from 9 ft,2,103-86,,
5:42.0,,,103-88,2,L. Williams makes 2-pt shot from 16 ft
5:17.0,L. Aldridge misses 2-pt shot from 14 ft,,103-88,,
5:15.0,,,103-88,,Defensive rebound by A. Johnson
5:10.0,,,103-88,,K. Lowry misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by L. Aldridge,,103-88,,
4:49.0,L. Aldridge makes 2-pt shot from 15 ft (assist by N. Batum),2,105-88,,
4:39.0,,,105-88,,Shooting foul by R. Lopez (drawn by D. DeRozan)
4:39.0,,,105-89,1,D. DeRozan makes free throw 1 of 2
4:39.0,,,105-89,,D. DeRozan misses free throw 2 of 2
4:38.0,Defensive rebound by L. Aldridge,,105-89,,
4:23.0,A. Afflalo misses 3-pt shot from 24 ft,,105-89,,
4:21.0,Offensive rebound by S. Blake,,105-89,,
4:11.0,L. Aldridge makes 2-pt shot from 11 ft,2,107-89,,
4:11.0,Shooting foul by J. Johnson (drawn by L. Aldridge),,107-89,,
4:11.0,,,107-89,,G. Vasquez enters the game for L. Williams
4:11.0,D. Lillard enters the game for N. Batum,,107-89,,
4:11.0,L. Aldridge misses free throw 1 of 1,,107-89,,
4:10.0,,,107-89,,Defensive rebound by A. Johnson
4:01.0,,,107-91,2,D. DeRozan makes 2-pt shot from 1 ft (assist by A. Johnson)
3:47.0,D. Lillard makes 2-pt shot from 2 ft,2,109-91,,
3:29.0,,,109-91,,K. Lowry misses 3-pt shot from 23 ft
3:27.0,Defensive rebound by S. Blake,,109-91,,
3:27.0,,,109-91,,Personal foul by K. Lowry (drawn by S. Blake)
3:27.0,,,109-91,,J. Valanciunas enters the game for A. Johnson
3:27.0,,,109-91,,P. Patterson enters the game for J. Johnson
3:12.0,A. Afflalo misses 2-pt shot from 14 ft,,109-91,,
3:11.0,,,109-91,,Defensive rebound by J. Valanciunas
3:02.0,,,109-91,,D. DeRozan misses 2-pt shot from 11 ft
3:01.0,,,109-91,,Offensive rebound by J. Valanciunas
2:58.0,,,109-93,2,J. Valanciunas makes 2-pt shot from 2 ft
2:47.0,Turnover by D. Lillard (bad pass; steal by K. Lowry),,109-93,,
2:44.0,Official timeout,,109-93,,
2:44.0,,,109-93,,T. Ross enters the game for K. Lowry
2:32.0,,,109-93,,Turnover by D. DeRozan (lost ball; steal by D. Lillard)
2:17.0,D. Lillard misses 3-pt shot from 24 ft,,109-93,,
2:15.0,Offensive rebound by R. Lopez,,109-93,,
2:12.0,R. Lopez makes 2-pt shot from 2 ft,2,111-93,,
1:56.0,,,111-95,2,P. Patterson makes 2-pt shot from 9 ft (assist by G. Vasquez)
1:40.0,D. Wright enters the game for L. Aldridge,,111-95,,
1:40.0,C. McCollum enters the game for D. Lillard,,111-95,,
1:40.0,A. Crabbe enters the game for R. Lopez,,111-95,,
1:40.0,A. Gee enters the game for A. Afflalo,,111-95,,
1:40.0,,,111-95,,L. Fields enters the game for D. DeRozan
1:40.0,M. Leonard enters the game for S. Blake,,111-95,,
