time,Sacramento,pts.away,score,pts.home,Philadelphia
8:37.0,,,84-96,,Offensive charge foul by T. Robinson
8:37.0,,,84-96,,Turnover by T. Robinson (offensive foul)
8:30.0,,,84-96,,Personal foul by H. Sims (drawn by R. McCallum)
8:21.0,Shooting foul by H. Sims (drawn by D. Cousins),,84-96,,
8:21.0,D. Cousins misses free throw 1 of 2,,84-96,,
8:21.0,Offensive rebound by Team,,84-96,,
8:21.0,D. Cousins makes free throw 2 of 2,1,85-96,,
8:09.0,,,85-98,2,I. Smith makes 2-pt shot from 3 ft
7:55.0,R. Gay makes 2-pt shot from 6 ft,2,87-98,,
7:39.0,,,87-98,,Turnover by I. Smith (lost ball; steal by J. Thompson)
7:33.0,R. Gay makes 2-pt shot from 1 ft (assist by R. McCallum),2,89-98,,
7:17.0,,,89-100,2,H. Sims makes 2-pt shot from 15 ft (assist by H. Thompson)
