time,Cleveland,pts.away,score,pts.home,New York
2:52.0,K. Love misses 3-pt shot from 27 ft,,88-87,,
2:51.0,,,88-87,,Defensive rebound by A. Stoudemire
2:33.0,,,88-87,,S. Larkin misses 2-pt shot from 19 ft
2:32.0,,,88-87,,Offensive rebound by A. Stoudemire
2:31.0,,,88-87,,A. Stoudemire misses 2-pt shot from 2 ft
2:30.0,,,88-87,,Offensive rebound by C. Anthony
2:29.0,,,88-87,,C. Anthony misses 2-pt shot from 1 ft (block by K. Love)
2:28.0,,,88-87,,Offensive rebound by Team
2:28.0,S. Marion enters the game for M. Miller,,88-87,,
2:19.0,,,88-87,,Turnover by C. Anthony (traveling)
2:19.0,Cleveland full timeout,,88-87,,
