time,LA Lakers,pts.away,score,pts.home,Atlanta
3:53.0,,,83-76,,P. Antic misses 2-pt shot from 1 ft
3:52.0,,,83-76,,Offensive rebound by K. Korver
3:44.0,,,83-78,2,J. Teague makes 2-pt shot from 1 ft
3:25.0,J. Hill makes 2-pt shot from 18 ft (assist by J. Lin),2,85-78,,
3:04.0,,,85-78,,J. Teague misses 2-pt shot from 6 ft
3:00.0,,,85-78,,Offensive rebound by T. Sefolosha
2:59.0,,,85-78,,Turnover by T. Sefolosha (bad pass)
2:59.0,,,85-78,,S. Mack enters the game for K. Korver
2:49.0,Shooting foul by P. Antic (drawn by J. Lin),,85-78,,
2:49.0,J. Lin makes free throw 1 of 2,1,86-78,,
2:49.0,,,86-78,,M. Scott enters the game for P. Millsap
2:49.0,J. Lin misses free throw 2 of 2,,86-78,,
2:46.0,,,86-78,,Defensive rebound by T. Sefolosha
2:31.0,,,86-81,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by S. Mack)
2:12.0,J. Hill misses 2-pt shot from 19 ft,,86-81,,
2:11.0,,,86-81,,Defensive rebound by Team
2:11.0,Loose ball foul by E. Davis (drawn by M. Scott),,86-81,,
2:11.0,,,86-81,,D. Schroder enters the game for J. Teague
2:11.0,R. Price enters the game for J. Lin,,86-81,,
1:54.0,,,86-81,,S. Mack misses 3-pt shot from 25 ft
1:52.0,,,86-81,,Offensive rebound by P. Antic
1:42.0,,,86-81,,P. Antic misses 3-pt shot from 23 ft
1:39.0,,,86-81,,Offensive rebound by T. Sefolosha
1:39.0,,,86-81,,T. Sefolosha misses 2-pt shot at rim
1:38.0,Defensive rebound by N. Young,,86-81,,
1:21.0,J. Hill makes 2-pt shot from 7 ft,2,88-81,,
0:59.0,,,88-81,,S. Mack misses 3-pt shot from 22 ft
0:58.0,Defensive rebound by K. Bryant,,88-81,,
0:41.0,J. Hill misses 2-pt shot from 20 ft,,88-81,,
0:40.0,,,88-81,,Defensive rebound by D. Schroder
0:28.0,,,88-83,2,P. Antic makes 2-pt shot at rim (assist by D. Schroder)
0:06.0,N. Young makes 3-pt shot from 23 ft (assist by R. Price),3,91-83,,
0:02.0,Personal foul by R. Price (drawn by D. Schroder),,91-83,,
0:02.0,,,91-83,,M. Scott misses 2-pt shot from 19 ft
0:01.0,Defensive rebound by K. Bryant,,91-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,N. Young misses 2-pt shot from 20 ft,,91-83,,
11:42.0,,,91-83,,Defensive rebound by M. Scott
11:25.0,Personal foul by N. Young (drawn by D. Schroder),,91-83,,
11:13.0,,,91-83,,M. Scott misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by Team,,91-83,,
10:56.0,N. Young makes 2-pt shot from 17 ft (assist by R. Sacre),2,93-83,,
10:35.0,,,93-85,2,A. Horford makes 2-pt shot from 18 ft (assist by S. Mack)
10:22.0,Turnover by R. Price (traveling),,93-85,,
10:05.0,,,93-85,,M. Scott misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by N. Young,,93-85,,
9:56.0,,,93-85,,Personal foul by S. Mack (drawn by N. Young)
9:50.0,R. Sacre makes 2-pt shot from 16 ft (assist by R. Price),2,95-85,,
9:29.0,,,95-85,,M. Scott misses 2-pt shot from 9 ft
9:28.0,Defensive rebound by E. Davis,,95-85,,
9:14.0,R. Sacre misses 2-pt shot from 20 ft,,95-85,,
9:10.0,,,95-85,,Defensive rebound by D. Schroder
9:10.0,Personal foul by R. Sacre (drawn by D. Schroder),,95-85,,
9:03.0,,,95-88,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
8:38.0,N. Young misses 3-pt shot from 25 ft,,95-88,,
8:38.0,,,95-88,,Defensive rebound by Team
8:38.0,Official timeout,,95-88,,
8:38.0,,,95-88,,P. Millsap enters the game for M. Scott
8:31.0,Personal foul by R. Price (drawn by D. Schroder),,95-88,,
8:24.0,,,95-90,2,A. Horford makes 2-pt shot at rim (assist by P. Millsap)
8:01.0,W. Johnson misses 3-pt shot from 25 ft,,95-90,,
8:00.0,,,95-90,,Defensive rebound by D. Schroder
7:52.0,,,95-90,,D. Schroder misses 2-pt shot from 15 ft
7:50.0,Defensive rebound by E. Davis,,95-90,,
7:38.0,W. Johnson misses 2-pt shot from 22 ft,,95-90,,
7:36.0,Offensive rebound by E. Davis,,95-90,,
