time,Minnesota,pts.away,score,pts.home,Indiana
9:13.0,Turnover by Team (shot clock),,74-81,,
9:03.0,,,74-81,,Turnover by R. Stuckey (step out of bounds)
8:51.0,T. Daniels misses 3-pt shot from 22 ft,,74-81,,
8:50.0,Offensive rebound by G. Dieng,,74-81,,
8:47.0,M. Williams makes 3-pt shot from 28 ft (assist by G. Dieng),3,77-81,,
8:29.0,,,77-81,,Turnover by D. Rudez (bad pass; steal by A. Bennett)
8:18.0,R. Hummel makes 3-pt shot from 22 ft (assist by M. Williams),3,80-81,,
8:18.0,,,80-81,,Indiana full timeout
8:02.0,,,80-81,,Shooting foul by A. Bennett (drawn by L. Scola)
8:02.0,,,80-81,,L. Scola misses free throw 1 of 2
8:02.0,,,80-81,,Offensive rebound by Team
8:02.0,,,80-81,,L. Scola misses free throw 2 of 2
8:01.0,Defensive rebound by A. Bennett,,80-81,,
7:45.0,Offensive foul by R. Hummel,,80-81,,
7:45.0,Turnover by R. Hummel (offensive foul),,80-81,,
7:45.0,,,80-81,,S. Hill enters the game for D. Rudez
7:29.0,,,80-83,2,D. Sloan makes 2-pt shot from 4 ft
7:10.0,Shooting foul by I. Mahinmi (drawn by M. Williams),,80-83,,
7:10.0,,,80-83,,Technical foul by I. Mahinmi (drawn by M. Williams)
7:10.0,M. Williams makes technical free throw,1,81-83,,
7:10.0,M. Williams makes free throw 1 of 2,1,82-83,,
7:10.0,A. Wiggins enters the game for T. Daniels,,82-83,,
7:10.0,M. Williams makes free throw 2 of 2,1,83-83,,
7:03.0,,,83-83,,Shooting foul by M. Williams (drawn by D. Sloan)
7:03.0,,,83-83,,D. Sloan misses free throw 1 of 2
7:03.0,,,83-83,,Offensive rebound by Team
7:03.0,,,83-83,,D. Sloan misses free throw 2 of 2
7:02.0,Defensive rebound by G. Dieng,,83-83,,
6:49.0,M. Williams misses 3-pt shot from 25 ft,,83-83,,
6:47.0,,,83-83,,Defensive rebound by L. Scola
6:32.0,,,83-83,,Shooting foul by A. Bennett (drawn by L. Scola)
6:32.0,,,83-83,,L. Scola misses free throw 1 of 2
6:32.0,,,83-83,,Offensive rebound by Team
6:32.0,,,83-83,,C. Watson enters the game for D. Sloan
6:32.0,,,83-84,1,L. Scola makes free throw 2 of 2
6:14.0,G. Dieng misses 2-pt shot from 3 ft (block by R. Stuckey),,83-84,,
6:13.0,,,83-84,,Defensive rebound by S. Hill
6:07.0,,,83-86,2,R. Stuckey makes 2-pt shot from 11 ft
6:07.0,Away from play foul by A. Bennett (drawn by I. Mahinmi),,83-86,,
6:07.0,,,83-86,,D. West enters the game for L. Scola
6:07.0,,,83-86,,C. Miles enters the game for R. Stuckey
6:07.0,T. Young enters the game for A. Bennett,,83-86,,
6:07.0,,,83-86,,I. Mahinmi misses free throw 1 of 1
6:06.0,Defensive rebound by R. Hummel,,83-86,,
5:55.0,T. Young misses 2-pt shot from 6 ft (block by I. Mahinmi),,83-86,,
5:55.0,Offensive rebound by Team,,83-86,,
5:55.0,Official timeout,,83-86,,
5:55.0,,,83-86,,L. Scola enters the game for S. Hill
5:55.0,,,83-86,,S. Hill enters the game for L. Scola
5:51.0,M. Williams makes 2-pt shot from 20 ft (assist by A. Wiggins),2,85-86,,
5:37.0,Personal foul by T. Young (drawn by D. West),,85-86,,
5:37.0,,,85-87,1,D. West makes free throw 1 of 2
