time,San Antonio,pts.away,score,pts.home,Golden State
0:46.0,M. Ginobili makes 3-pt shot from 26 ft (assist by B. Diaw),3,82-68,,
0:30.0,,,82-68,,Turnover by L. Barbosa (bad pass)
0:09.0,Turnover by M. Ginobili (lost ball; steal by K. Thompson),,82-68,,
0:05.0,,,82-70,2,L. Barbosa makes 2-pt shot from 2 ft (assist by K. Thompson)
0:00.0,C. Joseph misses 2-pt shot from 11 ft,,82-70,,
0:00.0,Offensive rebound by Team,,82-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Offensive foul by A. Baynes,,82-70,,
11:49.0,Turnover by A. Baynes (offensive foul),,82-70,,
11:40.0,,,82-72,2,A. Iguodala makes 2-pt shot from 19 ft (assist by L. Barbosa)
11:19.0,M. Ginobili makes 2-pt shot from 8 ft,2,84-72,,
11:01.0,,,84-74,2,M. Speights makes 2-pt shot from 17 ft
10:50.0,,,84-74,,Personal foul by M. Speights (drawn by A. Baynes)
10:50.0,T. Duncan enters the game for A. Baynes,,84-74,,
10:46.0,M. Ginobili misses 2-pt shot from 12 ft,,84-74,,
10:45.0,Offensive rebound by T. Duncan,,84-74,,
10:36.0,M. Ginobili misses 3-pt shot from 26 ft,,84-74,,
10:35.0,Offensive rebound by Team,,84-74,,
10:35.0,,,84-74,,Personal foul by M. Speights (drawn by K. Leonard)
10:27.0,,,84-74,,Personal foul by A. Iguodala (drawn by K. Leonard)
10:18.0,Turnover by M. Ginobili (lost ball; steal by L. Barbosa),,84-74,,
10:12.0,,,84-76,2,H. Barnes makes 2-pt shot from 18 ft (assist by L. Barbosa)
9:52.0,T. Duncan misses 2-pt shot from 7 ft (block by M. Speights),,84-76,,
9:51.0,,,84-76,,Defensive rebound by H. Barnes
9:45.0,Personal foul by K. Leonard (drawn by M. Speights),,84-76,,
9:45.0,,,84-77,1,M. Speights makes free throw 1 of 2
9:45.0,M. Bonner enters the game for K. Leonard,,84-77,,
9:45.0,T. Parker enters the game for M. Ginobili,,84-77,,
9:45.0,D. Green enters the game for B. Diaw,,84-77,,
9:45.0,,,84-77,,M. Speights misses free throw 2 of 2
9:44.0,Defensive rebound by T. Duncan,,84-77,,
9:23.0,T. Parker makes 2-pt shot from 20 ft,2,86-77,,
9:09.0,,,86-79,2,M. Speights makes 2-pt shot from 11 ft
8:51.0,T. Duncan makes 2-pt shot from 2 ft (assist by D. Green),2,88-79,,
8:33.0,,,88-79,,Turnover by A. Iguodala (back court)
8:33.0,Official timeout,,88-79,,
8:33.0,,,88-79,,K. Thompson enters the game for A. Iguodala
8:33.0,,,88-79,,D. Green enters the game for L. Barbosa
8:33.0,,,88-79,,S. Curry enters the game for S. Livingston
8:26.0,Shooting foul by S. Curry (drawn by C. Joseph),,88-79,,
8:26.0,C. Joseph makes free throw 1 of 2,1,89-79,,
8:26.0,C. Joseph misses free throw 2 of 2,,89-79,,
8:25.0,Offensive rebound by M. Bonner,,89-79,,
8:08.0,M. Bonner misses 3-pt shot from 25 ft,,89-79,,
8:08.0,,,89-79,,Defensive rebound by K. Thompson
8:08.0,Personal foul by T. Duncan (drawn by D. Green),,89-79,,
7:57.0,,,89-81,2,K. Thompson makes 2-pt shot from 17 ft
7:42.0,T. Parker makes 2-pt shot from 1 ft,2,91-81,,
7:32.0,,,91-81,,Shooting foul by C. Joseph (drawn by K. Thompson)
7:32.0,,,91-82,1,K. Thompson makes free throw 1 of 2
7:32.0,K. Leonard enters the game for C. Joseph,,91-82,,
7:32.0,,,91-83,1,K. Thompson makes free throw 2 of 2
7:14.0,T. Parker makes 2-pt shot from 1 ft (assist by T. Duncan),2,93-83,,
7:00.0,,,93-86,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
6:36.0,T. Parker misses 2-pt shot from 11 ft,,93-86,,
6:35.0,,,93-86,,Defensive rebound by H. Barnes
6:24.0,,,93-86,,H. Barnes misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by M. Bonner,,93-86,,
6:17.0,Offensive foul by T. Duncan,,93-86,,
6:17.0,Turnover by T. Duncan (offensive foul),,93-86,,
6:17.0,M. Ginobili enters the game for M. Bonner,,93-86,,
6:14.0,,,93-86,,Turnover by M. Speights (lost ball; steal by T. Duncan)
6:14.0,Jump ball: T. Duncan vs. M. Speights (D. Green gains possession),,,,Jump ball: T. Duncan vs. M. Speights (D. Green gains possession)
6:02.0,,,93-86,,Personal foul by M. Speights (drawn by T. Duncan)
6:02.0,T. Duncan misses free throw 1 of 2,,93-86,,
6:02.0,Offensive rebound by Team,,93-86,,
6:02.0,T. Duncan makes free throw 2 of 2,1,94-86,,
5:53.0,,,94-86,,S. Curry misses 2-pt shot from 10 ft
5:52.0,Defensive rebound by Team,,94-86,,
5:52.0,,,94-86,,Golden State full timeout
5:41.0,D. Green misses 3-pt shot from 23 ft,,94-86,,
5:40.0,,,94-86,,Defensive rebound by S. Curry
5:26.0,,,94-86,,K. Thompson misses 2-pt shot from 9 ft
5:26.0,,,94-86,,Offensive rebound by Team
5:26.0,B. Diaw enters the game for D. Green,,94-86,,
5:16.0,,,94-86,,S. Curry misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by B. Diaw,,94-86,,
4:54.0,T. Duncan misses 2-pt shot from 4 ft,,94-86,,
4:53.0,,,94-86,,Defensive rebound by M. Speights
4:45.0,,,94-88,2,M. Speights makes 2-pt shot from 16 ft (assist by K. Thompson)
4:21.0,T. Duncan makes 2-pt shot from 3 ft (assist by T. Parker),2,96-88,,
4:21.0,Shooting foul by D. Green (drawn by T. Duncan),,96-88,,
4:21.0,T. Duncan makes free throw 1 of 1,1,97-88,,
4:14.0,,,97-88,,S. Curry misses 2-pt shot from 18 ft
4:13.0,Defensive rebound by T. Duncan,,97-88,,
4:09.0,San Antonio full timeout,,97-88,,
4:02.0,B. Diaw makes 2-pt shot from 2 ft (assist by T. Parker),2,99-88,,
3:48.0,,,99-88,,Shooting foul by T. Duncan (drawn by K. Thompson)
3:48.0,,,99-89,1,K. Thompson makes free throw 1 of 3
3:48.0,,,99-90,1,K. Thompson makes free throw 2 of 3
3:48.0,,,99-91,1,K. Thompson makes free throw 3 of 3
3:27.0,M. Ginobili misses 2-pt shot from 8 ft,,99-91,,
3:26.0,,,99-91,,Defensive rebound by M. Speights
3:18.0,,,99-91,,Turnover by K. Thompson (bad pass; steal by T. Duncan)
3:18.0,Jump ball: T. Duncan vs. D. Green (B. Diaw gains possession),,,,Jump ball: T. Duncan vs. D. Green (B. Diaw gains possession)
2:57.0,K. Leonard makes 3-pt shot from 23 ft (assist by T. Parker),3,102-91,,
2:45.0,,,102-93,2,M. Speights makes 2-pt shot from 22 ft (assist by S. Curry)
2:25.0,T. Parker makes 2-pt shot from 10 ft,2,104-93,,
2:25.0,Shooting foul by S. Curry (drawn by T. Parker),,104-93,,
2:25.0,T. Parker makes free throw 1 of 1,1,105-93,,
