time,Golden State,pts.away,score,pts.home,Boston
9:46.0,S. Livingston misses 2-pt shot from 11 ft,,81-87,,
9:45.0,,,81-87,,Defensive rebound by J. Crowder
9:35.0,,,81-87,,J. Young misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by D. Green,,81-87,,
9:25.0,S. Curry makes 3-pt shot from 25 ft (assist by S. Livingston),3,84-87,,
9:09.0,,,84-90,3,I. Thomas makes 3-pt shot from 26 ft
8:58.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,87-90,,
8:43.0,,,87-90,,I. Thomas misses 3-pt shot from 25 ft (block by D. Green)
8:41.0,Defensive rebound by J. Holiday,,87-90,,
8:33.0,,,87-90,,Personal block foul by J. Jerebko (drawn by D. Green)
8:33.0,Official timeout,,87-90,,
8:33.0,,,87-90,,T. Zeller enters the game for J. Young
8:28.0,D. Green misses 3-pt shot from 26 ft,,87-90,,
8:27.0,,,87-90,,Defensive rebound by Team
8:27.0,Loose ball foul by S. Livingston (drawn by M. Smart),,87-90,,
8:13.0,,,87-92,2,J. Crowder makes 2-pt shot from 16 ft (assist by I. Thomas)
7:56.0,Shooting foul by T. Zeller (drawn by D. Green),,87-92,,
7:56.0,D. Green misses free throw 1 of 2,,87-92,,
7:56.0,Offensive rebound by Team,,87-92,,
7:56.0,D. Green makes free throw 2 of 2,1,88-92,,
7:42.0,,,88-92,,J. Crowder misses 2-pt shot from 13 ft
7:41.0,Defensive rebound by A. Iguodala,,88-92,,
7:28.0,S. Curry makes 2-pt shot from 12 ft,2,90-92,,
7:12.0,,,90-92,,I. Thomas misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by S. Curry,,90-92,,
6:58.0,J. Holiday misses 3-pt shot from 22 ft,,90-92,,
6:57.0,Offensive rebound by S. Livingston,,90-92,,
6:49.0,S. Curry misses 2-pt shot from 23 ft,,90-92,,
6:48.0,,,90-92,,Defensive rebound by M. Smart
6:42.0,,,90-92,,M. Smart misses 2-pt shot from 16 ft
6:40.0,Defensive rebound by D. Green,,90-92,,
6:35.0,A. Iguodala misses 2-pt shot from 2 ft,,90-92,,
6:34.0,,,90-92,,Defensive rebound by J. Crowder
6:27.0,,,90-92,,J. Crowder misses 2-pt shot from 2 ft
6:26.0,,,90-92,,Offensive rebound by T. Zeller
6:26.0,,,90-94,2,T. Zeller makes 2-pt shot at rim
6:19.0,Golden State full timeout,,90-94,,
6:19.0,,,90-94,,A. Bradley enters the game for T. Zeller
6:19.0,,,90-94,,E. Turner enters the game for M. Smart
6:19.0,,,90-94,,B. Bass enters the game for J. Jerebko
6:19.0,K. Thompson enters the game for J. Holiday,,90-94,,
6:12.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,92-94,,
5:50.0,,,92-94,,Turnover by A. Bradley (lost ball)
5:38.0,K. Thompson misses 2-pt shot from 11 ft,,92-94,,
5:37.0,,,92-94,,Defensive rebound by J. Crowder
