time,Washington,pts.away,score,pts.home,Cleveland
4:24.0,K. Seraphin misses 2-pt shot from 17 ft,,76-100,,
4:22.0,,,76-100,,Defensive rebound by D. Waiters
3:56.0,,,76-102,2,K. Irving makes 2-pt shot from 21 ft (assist by D. Waiters)
3:40.0,Shooting foul by T. Thompson (drawn by R. Butler),,76-102,,
3:40.0,R. Butler makes free throw 1 of 2,1,77-102,,
3:40.0,,,77-102,,W. Cherry enters the game for A. Varejao
3:40.0,,,77-102,,J. Harris enters the game for S. Marion
3:40.0,,,77-102,,L. Amundson enters the game for K. Irving
3:40.0,R. Butler makes free throw 2 of 2,1,78-102,,
3:20.0,,,78-104,2,T. Thompson makes 2-pt shot at rim (assist by D. Waiters)
3:10.0,Turnover by D. Blair (traveling),,78-104,,
2:54.0,,,78-107,3,D. Waiters makes 3-pt shot from 25 ft (assist by T. Thompson)
2:34.0,R. Butler makes 3-pt shot from 25 ft (assist by A. Miller),3,81-107,,
2:19.0,,,81-107,,D. Waiters misses 2-pt shot from 17 ft
2:18.0,Defensive rebound by A. Miller,,81-107,,
2:08.0,A. Miller makes 2-pt shot at rim (assist by K. Seraphin),2,83-107,,
1:51.0,,,83-109,2,J. Harris makes 2-pt shot at rim (assist by D. Waiters)
1:39.0,K. Seraphin makes 2-pt shot from 12 ft (assist by A. Miller),2,85-109,,
1:23.0,,,85-109,,W. Cherry misses 2-pt shot from 3 ft (block by K. Seraphin)
