time,Minnesota,pts.away,score,pts.home,Detroit
0:14.0,M. Williams makes free throw 3 of 3,1,61-51,,
0:03.0,Personal foul by G. Dieng (drawn by J. Lucas III),,61-51,,
0:01.0,,,61-51,,K. Caldwell-Pope misses 3-pt shot from 27 ft
0:00.0,,,61-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,N. Pekovic makes 2-pt shot at rim (assist by A. Wiggins),2,63-51,,
11:19.0,,,63-51,,D. Augustin misses 2-pt shot from 8 ft
11:17.0,Defensive rebound by K. Martin,,63-51,,
11:00.0,A. Wiggins makes 2-pt shot at rim,2,65-51,,
10:42.0,,,65-53,2,G. Monroe makes 2-pt shot from 5 ft (assist by D. Augustin)
10:19.0,N. Pekovic makes 2-pt shot at rim (assist by A. Wiggins),2,67-53,,
10:13.0,,,67-53,,Detroit full timeout
9:59.0,,,67-53,,Turnover by K. Singler (bad pass; steal by K. Martin)
9:59.0,,,67-53,,Personal foul by K. Caldwell-Pope (drawn by K. Martin)
9:48.0,K. Martin misses 2-pt shot from 11 ft,,67-53,,
9:46.0,,,67-53,,Defensive rebound by A. Drummond
9:39.0,,,67-53,,K. Caldwell-Pope misses 3-pt shot from 24 ft
9:37.0,Defensive rebound by A. Wiggins,,67-53,,
9:18.0,K. Martin makes 2-pt shot from 17 ft (assist by M. Williams),2,69-53,,
9:15.0,Personal foul by M. Williams (drawn by D. Augustin),,69-53,,
8:57.0,,,69-53,,G. Monroe misses 2-pt shot from 4 ft
8:54.0,,,69-53,,Offensive rebound by A. Drummond
8:54.0,,,69-55,2,A. Drummond makes 2-pt shot at rim
8:38.0,A. Wiggins makes 2-pt shot at rim (assist by N. Pekovic),2,71-55,,
8:38.0,Shooting foul by K. Singler (drawn by A. Wiggins),,71-55,,
8:38.0,A. Wiggins makes free throw 1 of 1,1,72-55,,
8:20.0,Violation by K. Martin (kicked ball),,72-55,,
8:15.0,,,72-55,,Turnover by D. Augustin (bad pass; steal by N. Pekovic)
7:58.0,K. Martin misses 3-pt shot from 25 ft,,72-55,,
7:57.0,,,72-55,,Defensive rebound by G. Monroe
7:41.0,,,72-55,,K. Caldwell-Pope misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by K. Martin,,72-55,,
7:22.0,Shooting foul by G. Monroe (drawn by T. Young),,72-55,,
7:22.0,T. Young makes free throw 1 of 2,1,73-55,,
7:22.0,T. Young makes free throw 2 of 2,1,74-55,,
7:03.0,,,74-57,2,D. Augustin makes 2-pt shot from 6 ft
6:38.0,K. Martin misses 3-pt shot from 23 ft,,74-57,,
6:37.0,,,74-57,,Defensive rebound by A. Drummond
6:25.0,,,74-57,,K. Caldwell-Pope misses 2-pt shot from 16 ft
6:24.0,,,74-57,,Offensive rebound by A. Drummond
6:23.0,,,74-59,2,A. Drummond makes 2-pt shot from 1 ft
6:13.0,Minnesota full timeout,,74-59,,
6:04.0,M. Williams misses 2-pt shot from 17 ft,,74-59,,
6:03.0,,,74-59,,Defensive rebound by K. Singler
5:56.0,,,74-59,,Shooting foul by M. Williams (drawn by D. Augustin)
5:56.0,,,74-60,1,D. Augustin makes free throw 1 of 2
5:56.0,Z. LaVine enters the game for M. Williams,,74-60,,
5:56.0,,,74-61,1,D. Augustin makes free throw 2 of 2
5:41.0,N. Pekovic misses 2-pt shot from 6 ft,,74-61,,
5:39.0,,,74-61,,Defensive rebound by G. Monroe
5:37.0,,,74-61,,Shooting foul by Z. LaVine (drawn by D. Augustin)
5:37.0,,,74-62,1,D. Augustin makes free throw 1 of 2
5:37.0,,,74-63,1,D. Augustin makes free throw 2 of 2
