time,LA Lakers,pts.away,score,pts.home,Oklahoma City
0:19.0,J. Clarkson makes 3-pt shot from 24 ft (assist by B. Lopez),3,82-79,,
0:03.0,,,82-79,,R. Westbrook misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by J. Hart,,82-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,82-79,,A. Abrines misses 3-pt shot from 37 ft
11:36.0,,,82-79,,Offensive rebound by Team
11:36.0,,,82-79,,Turnover by Team (shot clock)
11:19.0,Turnover by A. Caruso (bad pass; steal by J. Grant),,82-79,,
11:09.0,,,82-79,,P. Patterson misses 2-pt shot from 2 ft
11:08.0,,,82-79,,Offensive rebound by Team
11:00.0,,,82-79,,Turnover by A. Abrines (traveling)
10:43.0,J. Clarkson makes 3-pt shot from 25 ft (assist by A. Caruso),3,85-79,,
10:19.0,,,85-79,,J. Grant misses 2-pt shot from 9 ft
10:17.0,,,85-79,,Offensive rebound by J. Grant
10:15.0,,,85-79,,R. Felton misses 3-pt shot from 23 ft
10:12.0,Defensive rebound by Team,,85-79,,
9:58.0,J. Clarkson misses 3-pt shot from 24 ft,,85-79,,
9:54.0,,,85-79,,Defensive rebound by Team
9:54.0,Loose ball foul by L. Nance (drawn by A. Abrines),,85-79,,
9:43.0,,,85-82,3,A. Abrines makes 3-pt shot from 22 ft (assist by R. Felton)
9:35.0,C. Brewer makes 2-pt shot at rim (assist by A. Caruso),2,87-82,,
9:13.0,Personal foul by K. Kuzma (drawn by J. Huestis),,87-82,,
9:01.0,,,87-82,,Turnover by J. Huestis (lost ball; steal by J. Clarkson)
8:55.0,C. Brewer misses 2-pt shot at rim (block by J. Huestis),,87-82,,
8:52.0,,,87-82,,Defensive rebound by J. Grant
8:48.0,,,87-82,,R. Felton misses 2-pt shot from 8 ft
8:47.0,,,87-82,,Offensive rebound by J. Huestis
8:46.0,,,87-82,,J. Huestis misses 2-pt shot at rim
8:46.0,,,87-82,,Offensive rebound by J. Huestis
8:46.0,,,87-82,,J. Huestis misses 2-pt shot at rim
8:45.0,,,87-82,,Offensive rebound by J. Grant
8:44.0,,,87-82,,J. Grant misses 2-pt shot from 3 ft (block by A. Caruso)
8:43.0,,,87-82,,Offensive rebound by Team
8:43.0,,,87-82,,P. George enters the game for J. Huestis
8:43.0,J. Hart enters the game for A. Caruso,,87-82,,
8:32.0,,,87-84,2,J. Grant makes 2-pt shot from 8 ft
8:09.0,,,87-84,,Personal foul by A. Abrines (drawn by L. Nance)
