time,Houston,pts.away,score,pts.home,Sacramento
9:26.0,,,78-74,,Offensive rebound by D. Fox
9:25.0,,,78-76,2,D. Fox makes 2-pt shot from 2 ft
9:22.0,Shooting foul by K. Koufos (drawn by E. Gordon),,78-76,,
9:22.0,E. Gordon makes free throw 1 of 2,1,79-76,,
9:22.0,E. Gordon makes free throw 2 of 2,1,80-76,,
9:06.0,,,80-76,,D. Fox misses 2-pt shot from 10 ft
9:04.0,Defensive rebound by E. Gordon,,80-76,,
8:54.0,Shooting foul by J. Jackson (drawn by E. Gordon),,80-76,,
8:54.0,E. Gordon makes free throw 1 of 2,1,81-76,,
8:54.0,E. Gordon misses free throw 2 of 2,,81-76,,
8:50.0,,,81-76,,Defensive rebound by V. Carter
8:29.0,,,81-76,,K. Koufos misses 2-pt shot from 9 ft
8:29.0,Defensive rebound by Team,,81-76,,
8:29.0,Houston full timeout,,81-76,,
8:29.0,C. Capela enters the game for N. Hilario,,81-76,,
8:29.0,J. Harden enters the game for D. Jackson,,81-76,,
8:13.0,J. Harden makes 3-pt shot from 25 ft (assist by C. Capela),3,84-76,,
7:53.0,,,84-76,,Turnover by K. Koufos (out of bounds lost ball)
7:39.0,C. Capela misses 2-pt shot from 2 ft (block by K. Koufos),,84-76,,
7:35.0,Offensive rebound by C. Capela,,84-76,,
7:34.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,84-76,,
7:28.0,,,84-76,,Defensive rebound by K. Koufos
7:24.0,,,84-76,,G. Temple misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by E. Gordon,,84-76,,
7:12.0,,,84-76,,Personal foul by K. Koufos (drawn by J. Harden)
6:57.0,Turnover by Team (shot clock),,84-76,,
6:44.0,,,84-79,3,J. Jackson makes 3-pt shot from 22 ft (assist by V. Carter)
6:25.0,E. Gordon makes 2-pt shot from 1 ft,2,86-79,,
6:10.0,,,86-79,,Turnover by D. Fox (bad pass; steal by C. Capela)
6:00.0,J. Harden makes 3-pt shot from 25 ft,3,89-79,,
5:58.0,,,89-79,,Sacramento full timeout
5:58.0,,,89-79,,W. Cauley-Stein enters the game for D. Fox
5:58.0,,,89-79,,G. Hill enters the game for V. Carter
5:58.0,,,89-79,,B. Hield enters the game for K. Koufos
5:58.0,,,89-79,,S. Labissiere enters the game for J. Jackson
5:58.0,T. Ariza enters the game for P. Tucker,,89-79,,
5:58.0,R. Anderson enters the game for L. Mbah a Moute,,89-79,,
5:39.0,,,89-79,,Turnover by G. Hill (bad pass; steal by C. Capela)
5:35.0,Turnover by J. Harden (bad pass; steal by G. Temple),,89-79,,
