time,Toronto,pts.away,score,pts.home,Denver
6:18.0,Personal foul by O. Anunoby (drawn by W. Chandler),,82-115,,
6:18.0,,,82-115,,M. Beasley enters the game for W. Chandler
6:18.0,,,82-115,,T. Lyles enters the game for M. Plumlee
6:18.0,P. Siakam enters the game for J. Poeltl,,82-115,,
6:12.0,,,82-118,3,T. Lyles makes 3-pt shot from 26 ft (assist by E. Mudiay)
5:45.0,P. Siakam makes 2-pt shot from 7 ft (assist by O. Anunoby),2,84-118,,
5:28.0,,,84-118,,E. Mudiay misses 2-pt shot from 8 ft
5:28.0,,,84-118,,Offensive rebound by M. Beasley
5:25.0,,,84-118,,M. Beasley misses 2-pt shot from 6 ft
5:25.0,Defensive rebound by A. McKinnie,,84-118,,
5:25.0,,,84-118,,Personal foul by K. Faried (drawn by A. McKinnie)
5:19.0,D. Wright makes 2-pt shot from 3 ft,2,86-118,,
5:19.0,Shooting foul by E. Mudiay (drawn by D. Wright),,86-118,,
5:19.0,D. Wright makes free throw 1 of 1,1,87-118,,
