time,LA Lakers,pts.away,score,pts.home,Denver
6:27.0,Personal foul by K. Kuzma (drawn by G. Harris),,107-105,,
6:27.0,,,107-105,,Denver full timeout
6:27.0,,,107-105,,P. Millsap enters the game for T. Lyles
6:27.0,,,107-105,,N. Jokic enters the game for M. Plumlee
6:19.0,,,107-107,2,G. Harris makes 2-pt shot from 11 ft (assist by J. Murray)
6:03.0,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by I. Thomas),3,110-107,,
5:48.0,,,110-107,,Turnover by G. Harris (out of bounds lost ball)
5:48.0,,,110-107,,W. Barton enters the game for D. Harris
5:37.0,I. Thomas misses 3-pt shot from 25 ft,,110-107,,
5:33.0,,,110-107,,Defensive rebound by W. Barton
5:25.0,,,110-107,,P. Millsap misses 2-pt shot from 4 ft
5:23.0,Defensive rebound by I. Thomas,,110-107,,
5:17.0,K. Kuzma misses 2-pt shot from 3 ft (block by J. Murray),,110-107,,
5:14.0,,,110-107,,Defensive rebound by P. Millsap
5:01.0,,,110-109,2,W. Barton makes 2-pt shot from 6 ft
5:01.0,LA Lakers full timeout,,110-109,,
5:01.0,J. Randle enters the game for I. Thomas,,110-109,,
4:50.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,110-109,,
4:47.0,Offensive rebound by Team,,110-109,,
