time,Orlando,pts.away,score,pts.home,LA Clippers
6:18.0,J. Isaac enters the game for W. Iwundu,,95-104,,
6:18.0,,,95-104,,M. Harrell misses free throw 2 of 2
6:16.0,Defensive rebound by N. Vucevic,,95-104,,
6:03.0,N. Vucevic misses 2-pt shot from 8 ft,,95-104,,
6:00.0,,,95-104,,Defensive rebound by T. Harris
5:55.0,,,95-104,,Shooting foul by N. Vucevic (drawn by M. Harrell)
5:55.0,,,95-105,1,M. Harrell makes free throw 1 of 2
5:55.0,,,95-106,1,M. Harrell makes free throw 2 of 2
5:39.0,J. Simmons makes 2-pt shot from 2 ft,2,97-106,,
5:22.0,,,97-106,,T. Harris misses 3-pt shot from 22 ft
5:19.0,Defensive rebound by N. Vucevic,,97-106,,
5:13.0,,,97-106,,Violation by L. Williams (kicked ball)
5:13.0,,,97-106,,D. Jordan enters the game for M. Harrell
4:59.0,Turnover by J. Simmons (bad pass; steal by T. Harris),,97-106,,
4:53.0,,,97-106,,L. Williams misses 3-pt shot from 28 ft
4:52.0,,,97-106,,Offensive rebound by D. Jordan
4:52.0,,,97-106,,D. Jordan misses 2-pt shot at rim
4:51.0,,,97-106,,Offensive rebound by D. Jordan
4:51.0,,,97-106,,D. Jordan misses 2-pt shot at rim
4:50.0,,,97-106,,Offensive rebound by Team
4:50.0,Loose ball foul by N. Vucevic (drawn by D. Jordan),,97-106,,
4:50.0,,,97-106,,LA Clippers full timeout
4:50.0,B. Biyombo enters the game for N. Vucevic,,97-106,,
4:50.0,S. Mack enters the game for M. Hezonja,,97-106,,
4:33.0,,,97-106,,L. Williams misses 2-pt shot from 18 ft
4:27.0,,,97-106,,Offensive rebound by L. Williams
4:25.0,,,97-106,,Turnover by T. Harris (bad pass; steal by J. Isaac)
4:06.0,Turnover by D. Augustin (bad pass),,97-106,,
