time,Boston,pts.away,score,pts.home,Detroit
7:24.0,,,54-37,,R. Jackson misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by A. Baynes,,54-37,,
7:09.0,A. Horford misses 2-pt shot from 8 ft,,54-37,,
7:06.0,,,54-37,,Defensive rebound by A. Drummond
6:56.0,,,54-39,2,T. Harris makes 2-pt shot from 5 ft
6:34.0,J. Tatum makes 3-pt shot from 25 ft,3,57-39,,
6:21.0,,,57-42,3,A. Tolliver makes 3-pt shot from 26 ft (assist by A. Bradley)
5:55.0,K. Irving makes 3-pt shot from 25 ft,3,60-42,,
5:49.0,,,60-42,,Detroit full timeout
5:49.0,,,60-42,,I. Smith enters the game for R. Jackson
5:49.0,,,60-42,,L. Kennard enters the game for A. Bradley
5:34.0,,,60-42,,Shooting foul by A. Baynes (drawn by T. Harris)
5:34.0,,,60-43,1,T. Harris makes free throw 1 of 2
5:34.0,,,60-44,1,T. Harris makes free throw 2 of 2
5:22.0,J. Tatum misses 3-pt shot from 24 ft,,60-44,,
5:19.0,,,60-44,,Defensive rebound by A. Drummond
5:12.0,,,60-44,,L. Kennard misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by A. Horford,,60-44,,
5:03.0,J. Brown misses 2-pt shot from 8 ft,,60-44,,
5:01.0,,,60-44,,Defensive rebound by T. Harris
4:54.0,,,60-46,2,I. Smith makes 2-pt shot from 12 ft
4:39.0,A. Baynes makes 2-pt shot from 20 ft (assist by K. Irving),2,62-46,,
4:21.0,,,62-49,3,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Smith)
4:07.0,,,62-49,,Def 3 sec tech foul by A. Drummond
4:07.0,K. Irving makes technical free throw,1,63-49,,
4:07.0,T. Rozier enters the game for J. Tatum,,63-49,,
4:07.0,M. Smart enters the game for K. Irving,,63-49,,
3:57.0,Turnover by M. Smart (bad pass; steal by T. Harris),,63-49,,
3:53.0,,,63-49,,Shooting foul by A. Baynes (drawn by T. Harris)
3:53.0,,,63-50,1,T. Harris makes free throw 1 of 2
3:53.0,S. Ojeleye enters the game for A. Baynes,,63-50,,
3:53.0,,,63-51,1,T. Harris makes free throw 2 of 2
3:29.0,M. Smart makes 2-pt shot from 1 ft (assist by T. Rozier),2,65-51,,
3:11.0,,,65-51,,Shooting foul by J. Brown (drawn by T. Harris)
3:11.0,,,65-52,1,T. Harris makes free throw 1 of 2
3:11.0,,,65-52,,E. Moreland enters the game for A. Drummond
3:11.0,,,65-53,1,T. Harris makes free throw 2 of 2
2:59.0,J. Brown makes 2-pt shot from 1 ft (assist by A. Horford),2,67-53,,
2:41.0,,,67-55,2,L. Kennard makes 2-pt shot from 22 ft (assist by E. Moreland)
2:27.0,Personal foul by M. Smart (drawn by L. Kennard),,67-55,,
2:27.0,Turnover by M. Smart (turnover),,67-55,,
2:27.0,,,67-55,,L. Galloway enters the game for T. Harris
2:12.0,,,67-55,,L. Kennard misses 2-pt shot from 21 ft
2:08.0,Defensive rebound by J. Brown,,67-55,,
2:03.0,Turnover by J. Brown (lost ball; steal by I. Smith),,67-55,,
1:56.0,,,67-57,2,A. Tolliver makes 2-pt shot at rim (assist by I. Smith)
1:55.0,Boston full timeout,,67-57,,
1:41.0,J. Brown makes 2-pt shot from 6 ft,2,69-57,,
1:41.0,Shooting foul by E. Moreland (drawn by J. Brown),,69-57,,
1:41.0,J. Brown makes free throw 1 of 1,1,70-57,,
1:32.0,,,70-57,,L. Galloway misses 3-pt shot from 26 ft
1:29.0,Defensive rebound by T. Rozier,,70-57,,
1:26.0,,,70-57,,Personal foul by L. Galloway (drawn by M. Smart)
1:26.0,M. Smart misses free throw 1 of 2,,70-57,,
