time,Phoenix,pts.away,score,pts.home,Miami
11:41.0,,,80-94,1,K. Olynyk makes free throw 2 of 2
11:25.0,Turnover by D. Bender (lost ball; steal by D. Wade),,80-94,,
11:15.0,,,80-96,2,D. Wade makes 2-pt shot from 2 ft (assist by R. McGruder)
11:04.0,M. Chriss misses 2-pt shot from 17 ft,,80-96,,
11:02.0,,,80-96,,Defensive rebound by R. McGruder
10:56.0,,,80-96,,Shooting foul by S. Harrison (drawn by D. Wade)
10:56.0,,,80-96,,D. Wade misses free throw 1 of 2
10:56.0,,,80-96,,Offensive rebound by Team
10:56.0,,,80-97,1,D. Wade makes free throw 2 of 2
10:39.0,M. Chriss makes 2-pt shot at rim (assist by D. Bender),2,82-97,,
10:19.0,,,82-97,,Turnover by K. Olynyk (bad pass)
10:07.0,T. Warren misses 2-pt shot from 17 ft,,82-97,,
10:05.0,,,82-97,,Defensive rebound by J. Winslow
9:57.0,,,82-100,3,K. Olynyk makes 3-pt shot from 26 ft (assist by J. Winslow)
9:44.0,D. Booker enters the game for D. Bender,,82-100,,
9:40.0,Shooting foul by R. McGruder (drawn by D. Booker),,82-100,,
9:40.0,D. Booker makes free throw 1 of 2,1,83-100,,
9:40.0,D. Booker misses free throw 2 of 2,,83-100,,
9:38.0,,,83-100,,Defensive rebound by J. Winslow
9:31.0,,,83-102,2,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Winslow)
9:16.0,Turnover by S. Harrison (bad pass; steal by K. Olynyk),,83-102,,
9:10.0,,,83-102,,K. Olynyk misses 3-pt shot from 25 ft
9:06.0,,,83-102,,Offensive rebound by R. McGruder
8:59.0,,,83-102,,Offensive charge foul by K. Olynyk (drawn by S. Harrison)
8:59.0,,,83-102,,Turnover by K. Olynyk (offensive foul)
8:54.0,Offensive charge foul by T. Warren (drawn by K. Olynyk),,83-102,,
8:54.0,Turnover by T. Warren (offensive foul),,83-102,,
8:44.0,,,83-104,2,J. Winslow makes 2-pt shot from 1 ft (assist by K. Olynyk)
8:44.0,Phoenix full timeout,,83-104,,
8:44.0,D. Bender enters the game for M. Chriss,,83-104,,
8:44.0,E. Payton enters the game for J. Jackson,,83-104,,
8:21.0,D. Booker misses 2-pt shot from 9 ft,,83-104,,
8:20.0,Offensive rebound by T. Warren,,83-104,,
8:20.0,Turnover by Team (shot clock),,83-104,,
8:00.0,,,83-106,2,D. Wade makes 2-pt shot from 18 ft (assist by K. Olynyk)
7:45.0,D. Booker makes 2-pt shot from 1 ft,2,85-106,,
7:34.0,,,85-106,,Shooting foul by S. Harrison (drawn by D. Wade)
7:34.0,,,85-107,1,D. Wade makes free throw 1 of 2
7:34.0,,,85-108,1,D. Wade makes free throw 2 of 2
7:16.0,T. Warren makes 3-pt shot from 23 ft (assist by E. Payton),3,88-108,,
7:00.0,,,88-108,,T. Johnson misses 2-pt shot from 1 ft
6:58.0,,,88-108,,Offensive rebound by J. Winslow
6:56.0,,,88-108,,R. McGruder misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by D. Bender,,88-108,,
6:35.0,E. Payton misses 2-pt shot from 3 ft,,88-108,,
6:33.0,,,88-108,,Defensive rebound by J. Winslow
6:27.0,,,88-108,,Miami full timeout
6:27.0,J. Jackson enters the game for S. Harrison,,88-108,,
6:12.0,,,88-108,,Shooting foul by D. Booker (drawn by J. Winslow)
6:12.0,,,88-109,1,J. Winslow makes free throw 1 of 2
6:12.0,,,88-110,1,J. Winslow makes free throw 2 of 2
5:55.0,D. Booker makes 3-pt shot from 25 ft,3,91-110,,
5:41.0,,,91-112,2,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Winslow)
5:24.0,D. Booker misses 3-pt shot from 23 ft,,91-112,,
5:22.0,,,91-112,,Defensive rebound by J. Winslow
5:18.0,,,91-112,,D. Wade misses 3-pt shot from 24 ft
5:18.0,,,91-112,,Offensive rebound by T. Johnson
5:10.0,,,91-115,3,D. Wade makes 3-pt shot from 23 ft (assist by T. Johnson)
5:00.0,Turnover by D. Booker (bad pass; steal by D. Wade),,91-115,,
4:54.0,,,91-117,2,R. McGruder makes 2-pt shot from 1 ft (assist by D. Wade)
4:43.0,E. Payton misses 2-pt shot from 7 ft,,91-117,,
4:40.0,,,91-117,,Defensive rebound by K. Olynyk
4:38.0,,,91-117,,J. Winslow misses 2-pt shot from 1 ft
4:38.0,,,91-117,,Offensive rebound by T. Johnson
4:38.0,,,91-119,2,T. Johnson makes 2-pt shot at rim
4:38.0,Phoenix full timeout,,91-119,,
4:38.0,,,91-119,,L. Babbitt enters the game for D. Wade
4:38.0,,,91-119,,D. Jones enters the game for K. Olynyk
4:38.0,,,91-119,,B. Adebayo enters the game for R. McGruder
4:38.0,S. Harrison enters the game for D. Booker,,91-119,,
4:38.0,D. Reed enters the game for E. Payton,,91-119,,
