time,Minnesota,pts.away,score,pts.home,Sacramento
5:45.0,,,109-90,,S. Labissiere misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by T. Gibson,,109-90,,
5:29.0,J. Teague misses 2-pt shot from 7 ft,,109-90,,
5:28.0,Offensive rebound by T. Gibson,,109-90,,
5:28.0,Turnover by K. Towns (offensive goaltending),,109-90,,
5:07.0,,,109-90,,B. Bogdanovic misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by K. Towns,,109-90,,
4:45.0,Shooting foul by B. Bogdanovic (drawn by T. Gibson),,109-90,,
4:45.0,T. Gibson makes free throw 1 of 2,1,110-90,,
4:45.0,T. Gibson misses free throw 2 of 2,,110-90,,
4:43.0,,,110-90,,Defensive rebound by W. Cauley-Stein
4:29.0,,,110-92,2,B. Bogdanovic makes 2-pt shot from 11 ft
4:03.0,Turnover by J. Teague (bad pass),,110-92,,
3:45.0,,,110-92,,W. Cauley-Stein misses 2-pt shot from 10 ft
3:41.0,Defensive rebound by K. Towns,,110-92,,
3:33.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,112-92,,
3:25.0,,,112-92,,D. Fox misses 2-pt shot from 2 ft
3:21.0,,,112-92,,Offensive rebound by W. Cauley-Stein
3:20.0,,,112-94,2,W. Cauley-Stein makes 2-pt shot from 2 ft
3:05.0,,,112-94,,Shooting block foul by W. Cauley-Stein (drawn by K. Towns)
3:05.0,,,112-94,,B. Caboclo enters the game for W. Cauley-Stein
3:05.0,K. Towns makes free throw 1 of 2,1,113-94,,
3:05.0,,,113-94,,B. Hield enters the game for D. Fox
3:05.0,K. Towns makes free throw 2 of 2,1,114-94,,
2:51.0,,,114-96,2,B. Bogdanovic makes 2-pt shot from 15 ft
2:32.0,Shooting foul by B. Caboclo (drawn by J. Teague),,114-96,,
2:32.0,,,114-96,,Sacramento full timeout
2:32.0,J. Teague makes free throw 1 of 2,1,115-96,,
2:32.0,J. Teague makes free throw 2 of 2,1,116-96,,
2:13.0,,,116-98,2,S. Labissiere makes 2-pt shot from 6 ft (assist by B. Bogdanovic)
2:00.0,,,116-98,,Personal foul by B. Bogdanovic (drawn by J. Teague)
2:00.0,J. Teague makes free throw 1 of 2,1,117-98,,
2:00.0,N. Bjelica enters the game for A. Wiggins,,117-98,,
