time,Utah,pts.away,score,pts.home,Minnesota
5:44.0,,,106-85,1,N. Bjelica makes free throw 2 of 2
5:33.0,Turnover by D. Mitchell (lost ball; steal by N. Bjelica),,106-85,,
5:23.0,,,106-85,,T. Jones misses 2-pt shot from 10 ft
5:20.0,Defensive rebound by R. O'Neale,,106-85,,
5:14.0,D. Favors makes 2-pt shot from 3 ft (assist by D. Mitchell),2,108-85,,
5:06.0,,,108-85,,Minnesota full timeout
5:06.0,,,108-85,,G. Dieng enters the game for A. Wiggins
5:06.0,,,108-85,,M. Georges-Hunt enters the game for K. Towns
5:06.0,,,108-85,,A. Brooks enters the game for T. Gibson
4:48.0,,,108-85,,M. Georges-Hunt misses 2-pt shot from 2 ft (block by R. Gobert)
4:46.0,Defensive rebound by D. Mitchell,,108-85,,
4:43.0,D. Mitchell makes 2-pt shot at rim (assist by R. O'Neale),2,110-85,,
4:32.0,,,110-85,,N. Bjelica misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by R. O'Neale,,110-85,,
4:11.0,R. Gobert misses 2-pt shot from 1 ft,,110-85,,
4:09.0,Offensive rebound by D. Mitchell,,110-85,,
4:09.0,D. Mitchell makes 2-pt shot at rim,2,112-85,,
3:51.0,,,112-85,,A. Brooks misses 2-pt shot from 8 ft
3:49.0,,,112-85,,Offensive rebound by A. Brooks
3:44.0,,,112-85,,Turnover by Team (shot clock)
3:44.0,,,112-85,,J. Patton enters the game for T. Jones
3:44.0,,,112-85,,A. Brown enters the game for N. Bjelica
3:44.0,J. Jerebko enters the game for R. Rubio,,112-85,,
3:44.0,D. Exum enters the game for D. Favors,,112-85,,
3:44.0,E. Udoh enters the game for R. O'Neale,,112-85,,
3:44.0,A. Burks enters the game for R. Gobert,,112-85,,
3:44.0,G. Niang enters the game for D. Mitchell,,112-85,,
3:28.0,,,112-85,,Personal foul by A. Brooks (drawn by E. Udoh)
3:28.0,E. Udoh misses free throw 1 of 2,,112-85,,
3:28.0,Offensive rebound by Team,,112-85,,
3:28.0,D. Stockton enters the game for D. Exum,,112-85,,
3:28.0,E. Udoh makes free throw 2 of 2,1,113-85,,
3:22.0,,,113-85,,Shooting foul by D. Stockton (drawn by A. Brooks)
3:22.0,,,113-86,1,A. Brooks makes free throw 1 of 2
3:22.0,,,113-87,1,A. Brooks makes free throw 2 of 2
3:15.0,D. Stockton misses 3-pt shot from 25 ft,,113-87,,
3:12.0,,,113-87,,Defensive rebound by G. Dieng
3:05.0,,,113-87,,Turnover by A. Brooks (bad pass)
2:54.0,Shooting foul by M. Georges-Hunt (drawn by G. Niang),,113-87,,
2:54.0,G. Niang makes free throw 1 of 2,1,114-87,,
2:54.0,G. Niang misses free throw 2 of 2,,114-87,,
2:51.0,Offensive rebound by G. Niang,,114-87,,
2:39.0,,,114-87,,Personal foul by J. Patton (drawn by D. Stockton)
2:39.0,D. Stockton makes free throw 1 of 2,1,115-87,,
2:39.0,D. Stockton makes free throw 2 of 2,1,116-87,,
2:27.0,,,116-90,3,A. Brooks makes 3-pt shot from 26 ft (assist by G. Dieng)
