time,Sacramento,pts.away,score,pts.home,Oklahoma City
8:45.0,F. Mason misses 2-pt shot from 2 ft (block by R. Felton),,83-84,,
8:41.0,,,83-84,,Defensive rebound by P. Patterson
8:37.0,,,83-86,2,R. Felton makes 2-pt shot at rim (assist by J. Grant)
8:12.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,85-86,,
7:57.0,,,85-88,2,R. Felton makes 2-pt shot at rim
7:57.0,Sacramento full timeout,,85-88,,
7:57.0,,,85-88,,R. Westbrook enters the game for T. Ferguson
7:57.0,K. Koufos enters the game for W. Cauley-Stein,,85-88,,
7:41.0,K. Koufos misses 2-pt shot from 5 ft,,85-88,,
7:40.0,,,85-88,,Defensive rebound by R. Westbrook
7:26.0,,,85-91,3,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook)
6:57.0,Turnover by G. Temple (out of bounds lost ball),,85-91,,
6:46.0,,,85-91,,Turnover by R. Westbrook (bad pass; steal by V. Carter)
6:44.0,Shooting foul by A. Abrines (drawn by G. Temple),,85-91,,
6:44.0,G. Temple makes free throw 1 of 2,1,86-91,,
6:44.0,D. Fox enters the game for F. Mason,,86-91,,
6:44.0,G. Temple makes free throw 2 of 2,1,87-91,,
6:31.0,Personal foul by G. Temple (drawn by P. Patterson),,87-91,,
6:21.0,,,87-91,,R. Felton misses 3-pt shot from 24 ft
6:16.0,Defensive rebound by G. Temple,,87-91,,
6:03.0,K. Koufos misses 2-pt shot from 9 ft,,87-91,,
5:58.0,Offensive rebound by G. Temple,,87-91,,
5:58.0,G. Temple misses 2-pt shot at rim,,87-91,,
5:57.0,,,87-91,,Defensive rebound by R. Westbrook
5:53.0,,,87-91,,P. Patterson misses 3-pt shot from 23 ft
5:51.0,Defensive rebound by G. Temple,,87-91,,
5:42.0,,,87-91,,Personal foul by R. Westbrook (drawn by K. Koufos)
5:42.0,,,87-91,,C. Anthony enters the game for R. Felton
5:42.0,,,87-91,,P. George enters the game for P. Patterson
5:42.0,W. Cauley-Stein enters the game for K. Koufos,,87-91,,
5:33.0,V. Carter misses 3-pt shot from 26 ft,,87-91,,
5:30.0,,,87-91,,Defensive rebound by P. George
5:17.0,,,87-93,2,J. Grant makes 2-pt shot at rim (assist by R. Westbrook)
5:00.0,Offensive foul by W. Cauley-Stein (drawn by J. Grant),,87-93,,
5:00.0,Turnover by W. Cauley-Stein (offensive foul),,87-93,,
4:50.0,Personal foul by G. Temple (drawn by R. Westbrook),,87-93,,
4:50.0,B. Bogdanovic enters the game for V. Carter,,87-93,,
4:50.0,J. Jackson enters the game for B. Hield,,87-93,,
4:40.0,,,87-96,3,A. Abrines makes 3-pt shot from 28 ft (assist by P. George)
4:24.0,G. Temple makes 3-pt shot from 24 ft (assist by D. Fox),3,90-96,,
4:05.0,,,90-98,2,C. Anthony makes 2-pt shot from 15 ft
3:46.0,D. Fox makes 2-pt shot at rim,2,92-98,,
3:45.0,,,92-98,,Oklahoma City full timeout
3:45.0,,,92-98,,C. Brewer enters the game for A. Abrines
3:33.0,,,92-100,2,R. Westbrook makes 2-pt shot from 13 ft
3:11.0,J. Jackson misses 2-pt shot from 7 ft,,92-100,,
3:10.0,,,92-100,,Defensive rebound by R. Westbrook
