time,San Antonio,pts.away,score,pts.home,Indiana
10:56.0,Shooting foul by T. Leaf (drawn by R. Gay),,67-68,,
10:56.0,R. Gay makes free throw 1 of 2,1,68-68,,
10:56.0,D. Green enters the game for B. Paul,,68-68,,
10:56.0,B. Forbes enters the game for M. Ginobili,,68-68,,
10:56.0,R. Gay makes free throw 2 of 2,1,69-68,,
10:46.0,,,69-68,,L. Stephenson misses 3-pt shot from 27 ft
10:42.0,Defensive rebound by P. Gasol,,69-68,,
10:33.0,P. Gasol makes 2-pt shot from 7 ft (assist by P. Mills),2,71-68,,
10:09.0,,,71-68,,J. Young misses 2-pt shot from 7 ft
10:06.0,Defensive rebound by D. Green,,71-68,,
10:01.0,R. Gay makes 2-pt shot from 6 ft (assist by P. Mills),2,73-68,,
9:51.0,,,73-68,,Indiana full timeout
9:51.0,,,73-68,,V. Oladipo enters the game for J. Young
9:51.0,,,73-68,,D. Sabonis enters the game for A. Jefferson
9:51.0,K. Anderson enters the game for R. Gay,,73-68,,
9:34.0,,,73-70,2,D. Sabonis makes 2-pt shot from 8 ft (assist by C. Joseph)
9:13.0,P. Gasol makes 2-pt shot from 15 ft,2,75-70,,
8:58.0,,,75-72,2,V. Oladipo makes 2-pt shot from 17 ft
8:39.0,,,75-72,,Personal foul by C. Joseph (drawn by P. Mills)
8:39.0,,,75-72,,T. Young enters the game for L. Stephenson
8:39.0,,,75-72,,B. Bogdanovic enters the game for T. Leaf
8:39.0,D. Murray enters the game for P. Mills,,75-72,,
8:39.0,L. Aldridge enters the game for B. Forbes,,75-72,,
8:34.0,Turnover by K. Anderson (bad pass; steal by C. Joseph),,75-72,,
8:29.0,,,75-72,,Turnover by B. Bogdanovic (out of bounds lost ball)
8:10.0,Shooting foul by T. Young (drawn by L. Aldridge),,75-72,,
8:10.0,L. Aldridge makes free throw 1 of 2,1,76-72,,
8:10.0,L. Aldridge makes free throw 2 of 2,1,77-72,,
8:02.0,,,77-72,,Shooting foul by L. Aldridge (drawn by D. Sabonis)
8:02.0,,,77-73,1,D. Sabonis makes free throw 1 of 2
8:02.0,,,77-73,,D. Sabonis misses free throw 2 of 2
8:00.0,Defensive rebound by K. Anderson,,77-73,,
7:46.0,L. Aldridge misses 2-pt shot from 6 ft,,77-73,,
7:45.0,,,77-73,,Defensive rebound by V. Oladipo
7:31.0,,,77-73,,B. Bogdanovic misses 3-pt shot from 27 ft
7:28.0,Defensive rebound by D. Murray,,77-73,,
7:19.0,D. Murray misses 2-pt shot from 12 ft,,77-73,,
7:18.0,Offensive rebound by L. Aldridge,,77-73,,
7:18.0,L. Aldridge makes 2-pt shot from 1 ft,2,79-73,,
7:18.0,Shooting foul by T. Young (drawn by L. Aldridge),,79-73,,
7:18.0,L. Aldridge makes free throw 1 of 1,1,80-73,,
7:06.0,,,80-73,,V. Oladipo misses 2-pt shot from 17 ft
7:02.0,Defensive rebound by K. Anderson,,80-73,,
6:44.0,K. Anderson makes 2-pt shot from 1 ft (assist by P. Gasol),2,82-73,,
6:35.0,,,82-73,,Indiana full timeout
6:35.0,,,82-73,,D. Collison enters the game for C. Joseph
6:27.0,,,82-75,2,V. Oladipo makes 2-pt shot from 18 ft
6:03.0,K. Anderson misses 2-pt shot from 11 ft,,82-75,,
6:00.0,Offensive rebound by D. Murray,,82-75,,
6:00.0,Turnover by Team (shot clock),,82-75,,
5:58.0,P. Gasol misses 3-pt shot from 25 ft,,82-75,,
5:58.0,Offensive rebound by Team,,82-75,,
5:43.0,,,82-78,3,T. Young makes 3-pt shot from 27 ft (assist by V. Oladipo)
5:41.0,San Antonio full timeout,,82-78,,
5:41.0,P. Mills enters the game for D. Murray,,82-78,,
5:41.0,R. Gay enters the game for P. Gasol,,82-78,,
5:25.0,L. Aldridge makes 2-pt shot from 12 ft,2,84-78,,
5:25.0,Shooting foul by D. Sabonis (drawn by L. Aldridge),,84-78,,
5:25.0,L. Aldridge misses free throw 1 of 1,,84-78,,
5:23.0,,,84-78,,Defensive rebound by B. Bogdanovic
5:11.0,,,84-78,,Shooting foul by R. Gay (drawn by D. Sabonis)
5:11.0,,,84-79,1,D. Sabonis makes free throw 1 of 2
5:11.0,,,84-80,1,D. Sabonis makes free throw 2 of 2
4:58.0,Shooting foul by T. Young (drawn by L. Aldridge),,84-80,,
4:58.0,L. Aldridge makes free throw 1 of 2,1,85-80,,
4:58.0,L. Aldridge misses free throw 2 of 2,,85-80,,
4:56.0,,,85-80,,Defensive rebound by T. Young
4:44.0,,,85-83,3,V. Oladipo makes 3-pt shot from 26 ft (assist by D. Collison)
4:29.0,P. Mills misses 3-pt shot from 26 ft,,85-83,,
