time,Milwaukee,pts.away,score,pts.home,Golden State
2:17.0,,,111-100,2,Q. Cook makes 2-pt shot from 1 ft
1:57.0,T. Snell misses 3-pt shot from 23 ft,,111-100,,
1:53.0,Offensive rebound by G. Antetokounmpo,,111-100,,
1:53.0,G. Antetokounmpo makes 2-pt shot from 10 ft,2,113-100,,
1:37.0,,,113-100,,N. Young misses 2-pt shot from 15 ft
1:34.0,Defensive rebound by T. Zeller,,113-100,,
1:32.0,Turnover by T. Zeller (lost ball; steal by K. Looney),,113-100,,
1:29.0,,,113-102,2,N. Young makes 2-pt shot from 1 ft
1:12.0,T. Zeller misses 2-pt shot from 7 ft,,113-102,,
1:10.0,,,113-102,,Defensive rebound by K. Looney
1:01.0,,,113-102,,N. Young misses 2-pt shot from 21 ft
0:55.0,Defensive rebound by T. Snell,,113-102,,
0:41.0,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,116-102,,
0:35.0,,,116-105,3,Q. Cook makes 3-pt shot from 26 ft
0:10.0,Turnover by Team (shot clock),,116-105,,
0:07.0,,,116-107,2,Q. Cook makes 2-pt shot from 2 ft
