time,Denver,pts.away,score,pts.home,Brooklyn
2:36.0,,,96-74,2,S. Dinwiddie makes 2-pt shot from 1 ft
2:28.0,Shooting foul by J. Harris (drawn by J. Murray),,96-74,,
2:28.0,J. Murray makes free throw 1 of 2,1,97-74,,
2:28.0,J. Murray makes free throw 2 of 2,1,98-74,,
2:17.0,Personal foul by M. Plumlee (drawn by J. Allen),,98-74,,
2:17.0,N. Jokic enters the game for J. Murray,,98-74,,
2:17.0,E. Mudiay enters the game for P. Millsap,,98-74,,
2:09.0,,,98-74,,D. Russell misses 2-pt shot from 10 ft
2:06.0,Defensive rebound by E. Mudiay,,98-74,,
2:04.0,Turnover by E. Mudiay (bad pass; steal by S. Dinwiddie),,98-74,,
1:51.0,,,98-74,,S. Dinwiddie misses 3-pt shot from 26 ft
1:47.0,Defensive rebound by M. Plumlee,,98-74,,
1:36.0,N. Jokic makes 2-pt shot from 18 ft (assist by E. Mudiay),2,100-74,,
1:17.0,,,100-74,,J. Harris misses 2-pt shot from 3 ft
1:13.0,,,100-74,,Offensive rebound by J. Harris
1:10.0,,,100-76,2,J. Harris makes 2-pt shot from 4 ft
0:56.0,Turnover by E. Mudiay (traveling),,100-76,,
0:50.0,,,100-78,2,S. Dinwiddie makes 2-pt shot from 4 ft
0:40.0,W. Barton misses 3-pt shot from 26 ft,,100-78,,
0:37.0,,,100-78,,Defensive rebound by Team
0:32.0,,,100-78,,Shooting foul by W. Chandler (drawn by S. Dinwiddie)
0:32.0,,,100-79,1,S. Dinwiddie makes free throw 1 of 3
0:32.0,,,100-80,1,S. Dinwiddie makes free throw 2 of 3
0:32.0,,,100-81,1,S. Dinwiddie makes free throw 3 of 3
0:19.0,Turnover by W. Barton (bad pass; steal by S. Dinwiddie),,100-81,,
0:13.0,,,100-84,3,J. Harris makes 3-pt shot from 23 ft (assist by D. Russell)
0:03.0,E. Mudiay misses 2-pt shot from 13 ft,,100-84,,
0:00.0,,,100-84,,Defensive rebound by S. Dinwiddie
0:00.0,,,100-84,,J. Harris misses 3-pt shot from 45 ft (block by W. Chandler)
0:00.0,,,100-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,100-86,2,D. Russell makes 2-pt shot from 9 ft
