time,Orlando,pts.away,score,pts.home,Brooklyn
11:44.0,,,91-89,,Offensive rebound by S. Dinwiddie
11:42.0,,,91-89,,S. Dinwiddie misses 2-pt shot from 2 ft
11:35.0,,,91-89,,Offensive rebound by S. Dinwiddie
11:35.0,,,91-91,2,S. Dinwiddie makes 2-pt shot at rim
11:26.0,D. Augustin makes 3-pt shot from 24 ft (assist by A. Afflalo),3,94-91,,
11:07.0,,,94-93,2,C. LeVert makes 2-pt shot from 1 ft
10:50.0,A. Afflalo misses 3-pt shot from 24 ft,,94-93,,
10:48.0,,,94-93,,Defensive rebound by C. LeVert
10:29.0,,,94-93,,C. LeVert misses 2-pt shot from 17 ft
10:26.0,Defensive rebound by A. Afflalo,,94-93,,
10:16.0,M. Hezonja makes 3-pt shot from 22 ft (assist by D. Augustin),3,97-93,,
9:47.0,,,97-93,,S. Dinwiddie misses 2-pt shot from 8 ft
9:45.0,,,97-93,,Offensive rebound by S. Dinwiddie
9:44.0,,,97-95,2,S. Dinwiddie makes 2-pt shot from 1 ft
9:26.0,Turnover by J. Simmons (lost ball; steal by C. LeVert),,97-95,,
9:24.0,,,97-95,,Shooting foul by B. Biyombo (drawn by C. LeVert)
9:24.0,,,97-95,,C. LeVert misses free throw 1 of 2
9:24.0,,,97-95,,Offensive rebound by Team
9:24.0,,,97-96,1,C. LeVert makes free throw 2 of 2
9:06.0,Offensive foul by B. Biyombo (drawn by S. Dinwiddie),,97-96,,
