time,Sacramento,pts.away,score,pts.home,Utah
4:19.0,,,63-72,,R. Gobert misses free throw 1 of 2
4:19.0,,,63-72,,Offensive rebound by Team
4:19.0,F. Mason enters the game for D. Fox,,63-72,,
4:19.0,,,63-73,1,R. Gobert makes free throw 2 of 2
4:06.0,B. Hield makes 2-pt shot from 3 ft,2,65-73,,
4:05.0,,,65-73,,Away from play foul by R. Rubio (drawn by W. Cauley-Stein)
4:05.0,,,65-73,,Turnover by R. Rubio (turnover)
4:05.0,W. Cauley-Stein makes free throw 1 of 1,1,66-73,,
4:04.0,Personal foul by F. Mason (drawn by R. Rubio),,66-73,,
4:04.0,,,66-73,,R. Rubio misses free throw 1 of 2
4:04.0,,,66-73,,Offensive rebound by Team
4:04.0,,,66-74,1,R. Rubio makes free throw 2 of 2
3:46.0,W. Cauley-Stein misses 2-pt shot from 14 ft,,66-74,,
3:41.0,,,66-74,,Defensive rebound by J. Jerebko
3:34.0,Personal block foul by W. Cauley-Stein (drawn by D. Mitchell),,66-74,,
3:34.0,,,66-75,1,D. Mitchell makes free throw 1 of 2
3:34.0,,,66-75,,R. O'Neale enters the game for R. Rubio
3:34.0,K. Koufos enters the game for W. Cauley-Stein,,66-75,,
3:34.0,G. Temple enters the game for B. Bogdanovic,,66-75,,
3:34.0,,,66-76,1,D. Mitchell makes free throw 2 of 2
3:17.0,B. Hield makes 3-pt shot from 23 ft,3,69-76,,
3:04.0,,,69-76,,Turnover by D. Mitchell (lost ball; steal by B. Hield)
2:58.0,B. Hield makes 3-pt shot from 24 ft,3,72-76,,
2:56.0,,,72-76,,Utah full timeout
2:37.0,,,72-76,,Shooting foul by K. Koufos (drawn by J. Crowder)
2:37.0,,,72-77,1,J. Crowder makes free throw 1 of 2
2:37.0,,,72-78,1,J. Crowder makes free throw 2 of 2
2:21.0,J. Sampson makes 2-pt shot from 1 ft,2,74-78,,
2:21.0,Shooting foul by J. Jerebko (drawn by J. Sampson),,74-78,,
2:21.0,,,74-78,,D. Favors enters the game for J. Jerebko
2:21.0,,,74-78,,D. Exum enters the game for R. Gobert
2:21.0,J. Sampson misses free throw 1 of 1,,74-78,,
2:19.0,,,74-78,,Defensive rebound by J. Crowder
1:59.0,,,74-80,2,D. Mitchell makes 2-pt shot from 1 ft
1:36.0,G. Temple makes 2-pt shot from 23 ft,2,76-80,,
1:20.0,,,76-80,,D. Exum misses 2-pt shot from 1 ft
1:18.0,Defensive rebound by K. Koufos,,76-80,,
1:15.0,Shooting foul by D. Mitchell (drawn by J. Sampson),,76-80,,
1:15.0,J. Sampson makes free throw 1 of 2,1,77-80,,
1:15.0,J. Sampson misses free throw 2 of 2,,77-80,,
1:13.0,,,77-80,,Defensive rebound by J. Crowder
1:00.0,,,77-80,,J. Crowder misses 2-pt shot from 10 ft
0:58.0,Defensive rebound by B. Hield,,77-80,,
0:51.0,K. Koufos makes 2-pt shot from 2 ft (assist by B. Hield),2,79-80,,
0:51.0,,,79-80,,Violation by D. Favors (def goaltending)
0:36.0,,,79-80,,D. Exum misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by F. Mason,,79-80,,
0:29.0,F. Mason misses 2-pt shot from 23 ft,,79-80,,
0:26.0,,,79-80,,Defensive rebound by R. O'Neale
0:05.0,,,79-80,,D. Mitchell misses 2-pt shot from 19 ft
0:02.0,Defensive rebound by F. Mason,,79-80,,
0:00.0,B. Hield misses 3-pt shot from 28 ft,,79-80,,
0:00.0,Offensive rebound by Team,,79-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,79-80,,R. O'Neale misses 2-pt shot from 2 ft
11:34.0,Defensive rebound by K. Koufos,,79-80,,
11:23.0,Turnover by B. Hield (bad pass; steal by D. Exum),,79-80,,
11:17.0,,,79-80,,J. Crowder misses 2-pt shot from 2 ft
11:15.0,,,79-80,,Offensive rebound by D. Exum
11:13.0,,,79-80,,D. Exum misses 2-pt shot from 3 ft
11:13.0,Defensive rebound by J. Sampson,,79-80,,
11:04.0,F. Mason makes 2-pt shot from 16 ft,2,81-80,,
10:41.0,,,81-80,,J. Ingles misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by F. Mason,,81-80,,
10:34.0,F. Mason misses 2-pt shot from 3 ft,,81-80,,
10:33.0,,,81-80,,Defensive rebound by R. O'Neale
10:30.0,,,81-80,,Turnover by R. O'Neale (bad pass)
10:11.0,G. Temple misses 2-pt shot from 6 ft,,81-80,,
10:09.0,,,81-80,,Defensive rebound by R. O'Neale
10:04.0,,,81-82,2,J. Crowder makes 2-pt shot from 21 ft (assist by J. Ingles)
10:02.0,Sacramento full timeout,,81-82,,
10:02.0,,,81-82,,R. Rubio enters the game for D. Exum
10:02.0,,,81-82,,R. Gobert enters the game for D. Favors
9:49.0,F. Mason misses 3-pt shot from 25 ft,,81-82,,
9:46.0,,,81-82,,Defensive rebound by R. O'Neale
9:40.0,,,81-82,,R. Rubio misses 2-pt shot from 6 ft (block by J. Sampson)
9:40.0,,,81-82,,Offensive rebound by Team
9:33.0,,,81-82,,J. Ingles misses 2-pt shot from 3 ft
9:31.0,Defensive rebound by K. Koufos,,81-82,,
9:13.0,B. Hield makes 2-pt shot from 12 ft (assist by K. Koufos),2,83-82,,
8:52.0,,,83-82,,R. Rubio misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by B. Hield,,83-82,,
8:35.0,K. Koufos misses 2-pt shot from 6 ft,,83-82,,
8:33.0,,,83-82,,Defensive rebound by R. Gobert
8:29.0,Personal foul by G. Temple (drawn by J. Ingles),,83-82,,
8:29.0,,,83-82,,D. Exum enters the game for J. Crowder
8:29.0,W. Cauley-Stein enters the game for K. Koufos,,83-82,,
8:24.0,Personal foul by F. Mason (drawn by J. Ingles),,83-82,,
8:24.0,,,83-82,,D. Mitchell enters the game for R. O'Neale
8:14.0,,,83-84,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Exum)
7:56.0,W. Cauley-Stein misses 2-pt shot from 17 ft,,83-84,,
7:53.0,,,83-84,,Defensive rebound by R. Gobert
7:36.0,,,83-84,,J. Ingles misses 3-pt shot from 26 ft
7:33.0,,,83-84,,Offensive rebound by R. Gobert
7:16.0,,,83-84,,Shooting foul by F. Mason (drawn by D. Mitchell)
7:16.0,,,83-84,,D. Mitchell misses free throw 1 of 2
7:16.0,,,83-84,,Offensive rebound by Team
7:16.0,,,83-85,1,D. Mitchell makes free throw 2 of 2
7:08.0,B. Hield misses 3-pt shot from 25 ft,,83-85,,
7:04.0,,,83-85,,Defensive rebound by R. Rubio
6:47.0,,,83-85,,J. Ingles misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by B. Hield,,83-85,,
