time,Orlando,pts.away,score,pts.home,Dallas
11:43.0,M. Hezonja makes 3-pt shot from 23 ft (assist by A. Afflalo),3,78-82,,
11:20.0,,,78-84,2,D. Powell makes 2-pt shot from 4 ft (assist by J. Barea)
11:03.0,M. Speights makes 2-pt shot from 11 ft (assist by D. Augustin),2,80-84,,
10:42.0,,,80-87,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris)
10:23.0,A. Afflalo misses 2-pt shot from 20 ft,,80-87,,
10:21.0,,,80-87,,Defensive rebound by D. Powell
10:14.0,,,80-89,2,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea)
10:14.0,Orlando full timeout,,80-89,,
9:50.0,M. Hezonja misses 2-pt shot from 14 ft,,80-89,,
9:47.0,,,80-89,,Defensive rebound by D. Powell
9:30.0,,,80-89,,Shooting foul by A. Afflalo (drawn by D. Powell)
9:30.0,,,80-90,1,D. Powell makes free throw 1 of 2
9:30.0,A. Gordon enters the game for M. Hezonja,,80-90,,
9:30.0,E. Fournier enters the game for W. Iwundu,,80-90,,
9:30.0,,,80-90,,D. Powell misses free throw 2 of 2
9:28.0,Defensive rebound by E. Fournier,,80-90,,
9:08.0,Shooting foul by D. Powell (drawn by D. Augustin),,80-90,,
9:08.0,D. Augustin makes free throw 1 of 2,1,81-90,,
9:08.0,D. Augustin makes free throw 2 of 2,1,82-90,,
8:50.0,,,82-92,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea)
8:33.0,Jump ball: D. Smith vs. D. Augustin (D. Nowitzki gains possession),,,,Jump ball: D. Smith vs. D. Augustin (D. Nowitzki gains possession)
8:33.0,Turnover by D. Augustin (turnover; steal by D. Smith),,82-92,,
8:11.0,,,82-92,,D. Nowitzki misses 3-pt shot from 24 ft (block by M. Speights)
8:07.0,Defensive rebound by M. Speights,,82-92,,
8:01.0,D. Augustin makes 3-pt shot from 24 ft (assist by M. Speights),3,85-92,,
7:39.0,,,85-94,2,J. Barea makes 2-pt shot from 13 ft
7:22.0,E. Fournier makes 2-pt shot from 2 ft (assist by A. Gordon),2,87-94,,
6:59.0,,,87-94,,D. Smith misses 2-pt shot from 4 ft
6:57.0,,,87-94,,Offensive rebound by D. Smith
6:54.0,,,87-96,2,D. Smith makes 2-pt shot from 3 ft
6:47.0,D. Augustin makes 3-pt shot from 26 ft,3,90-96,,
6:24.0,,,90-98,2,D. Nowitzki makes 2-pt shot from 13 ft
6:03.0,M. Speights misses 3-pt shot from 27 ft,,90-98,,
6:01.0,,,90-98,,Defensive rebound by D. Nowitzki
5:41.0,,,90-98,,D. Nowitzki misses 2-pt shot from 16 ft
5:39.0,Defensive rebound by M. Speights,,90-98,,
5:34.0,E. Fournier makes 2-pt shot at rim,2,92-98,,
5:33.0,,,92-98,,Dallas full timeout
5:33.0,,,92-98,,Y. Ferrell enters the game for J. Barea
5:33.0,,,92-98,,W. Matthews enters the game for D. Harris
5:33.0,,,92-98,,H. Barnes enters the game for D. Nowitzki
5:33.0,J. Simmons enters the game for A. Afflalo,,92-98,,
5:22.0,,,92-100,2,D. Powell makes 2-pt shot from 18 ft (assist by D. Smith)
5:02.0,,,92-100,,Shooting block foul by D. Powell (drawn by D. Augustin)
5:02.0,D. Augustin makes free throw 1 of 2,1,93-100,,
5:02.0,D. Augustin makes free throw 2 of 2,1,94-100,,
4:54.0,Personal block foul by M. Speights (drawn by D. Powell),,94-100,,
4:46.0,Personal foul by J. Simmons (drawn by D. Powell),,94-100,,
4:32.0,,,94-100,,D. Smith misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by D. Augustin,,94-100,,
4:31.0,,,94-100,,Loose ball foul by D. Powell (drawn by A. Gordon)
4:17.0,A. Gordon makes 2-pt shot from 19 ft (assist by J. Simmons),2,96-100,,
3:59.0,,,96-102,2,W. Matthews makes 2-pt shot from 7 ft
3:59.0,,,96-102,,Shooting foul by E. Fournier (drawn by W. Matthews)
3:59.0,,,96-103,1,W. Matthews makes free throw 1 of 1
3:52.0,,,96-103,,Personal foul by W. Matthews (drawn by D. Augustin)
3:39.0,E. Fournier misses 3-pt shot from 28 ft,,96-103,,
3:35.0,,,96-103,,Defensive rebound by W. Matthews
3:14.0,,,96-105,2,H. Barnes makes 2-pt shot from 20 ft
3:14.0,Orlando full timeout,,96-105,,
3:14.0,M. Hezonja enters the game for M. Speights,,96-105,,
2:53.0,E. Fournier misses 3-pt shot from 27 ft,,96-105,,
2:50.0,,,96-105,,Defensive rebound by D. Smith
2:40.0,,,96-105,,Shooting foul by J. Simmons (drawn by W. Matthews)
2:40.0,,,96-106,1,W. Matthews makes free throw 1 of 2
2:40.0,,,96-107,1,W. Matthews makes free throw 2 of 2
