time,Atlanta,pts.away,score,pts.home,New Orleans
5:05.0,Defensive rebound by L. Babbitt,,92-92,,
4:45.0,D. Schroder misses 2-pt shot from 1 ft (block by A. Davis),,92-92,,
4:39.0,,,92-92,,Defensive rebound by A. Davis
4:37.0,,,92-94,2,E. Moore makes 2-pt shot from 21 ft (assist by J. Holiday)
4:09.0,J. Collins misses 2-pt shot from 4 ft,,92-94,,
4:06.0,,,92-94,,Defensive rebound by A. Davis
3:59.0,,,92-97,3,D. Miller makes 3-pt shot from 25 ft (assist by E. Moore)
3:57.0,Atlanta full timeout,,92-97,,
3:57.0,K. Bazemore enters the game for J. Collins,,92-97,,
3:57.0,T. Cavanaugh enters the game for L. Babbitt,,92-97,,
3:38.0,K. Bazemore makes 3-pt shot from 25 ft (assist by T. Waller-Prince),3,95-97,,
3:23.0,,,95-97,,Turnover by J. Holiday (bad pass; steal by M. Belinelli)
3:21.0,D. Schroder makes 2-pt shot from 2 ft,2,97-97,,
3:21.0,Shooting foul by I. Clark (drawn by D. Schroder),,97-97,,
3:21.0,D. Schroder makes free throw 1 of 1,1,98-97,,
3:06.0,,,98-97,,E. Moore misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by K. Bazemore,,98-97,,
2:52.0,,,98-97,,J. Nelson enters the game for I. Clark
2:41.0,T. Cavanaugh makes 3-pt shot from 23 ft (assist by D. Schroder),3,101-97,,
2:19.0,,,101-100,3,D. Miller makes 3-pt shot from 25 ft (assist by J. Nelson)
1:56.0,M. Belinelli makes 3-pt shot from 25 ft (assist by T. Cavanaugh),3,104-100,,
1:34.0,,,104-103,3,J. Holiday makes 3-pt shot from 24 ft (assist by D. Miller)
1:14.0,D. Schroder misses 2-pt shot from 15 ft,,104-103,,
1:09.0,,,104-103,,Defensive rebound by A. Davis
