time,Washington,pts.away,score,pts.home,Boston
3:54.0,,,92-98,1,M. Morris makes free throw 2 of 2
3:54.0,Washington full timeout,,92-98,,
3:34.0,B. Beal misses 2-pt shot from 19 ft,,92-98,,
3:30.0,Offensive rebound by T. Satoransky,,92-98,,
3:28.0,B. Beal makes 3-pt shot from 26 ft (assist by T. Satoransky),3,95-98,,
3:11.0,,,95-98,,T. Rozier misses 2-pt shot from 18 ft
3:08.0,Defensive rebound by O. Porter,,95-98,,
3:02.0,O. Porter misses 3-pt shot from 25 ft,,95-98,,
2:58.0,,,95-98,,Defensive rebound by M. Morris
2:38.0,,,95-100,2,M. Morris makes 2-pt shot from 20 ft
2:09.0,T. Satoransky makes 2-pt shot from 10 ft,2,97-100,,
1:47.0,,,97-100,,T. Rozier misses 2-pt shot from 1 ft
1:45.0,Defensive rebound by M. Morris,,97-100,,
