time,Phoenix,pts.away,score,pts.home,Minnesota
10:27.0,A. Len misses 2-pt shot from 1 ft,,81-87,,
10:25.0,Offensive rebound by A. Len,,81-87,,
10:24.0,A. Len misses 2-pt shot from 1 ft,,81-87,,
10:24.0,Offensive rebound by A. Len,,81-87,,
10:19.0,D. House makes 2-pt shot from 2 ft (assist by A. Len),2,83-87,,
10:19.0,Shooting foul by K. Towns (drawn by D. House),,83-87,,
10:19.0,D. House makes free throw 1 of 1,1,84-87,,
10:05.0,,,84-87,,Shooting foul by I. Canaan (drawn by T. Jones)
10:05.0,,,84-88,1,T. Jones makes free throw 1 of 2
10:05.0,,,84-88,,J. Butler enters the game for M. Georges-Hunt
10:05.0,,,84-89,1,T. Jones makes free throw 2 of 2
9:44.0,I. Canaan misses 3-pt shot from 25 ft,,84-89,,
9:41.0,,,84-89,,Defensive rebound by J. Butler
9:37.0,,,84-89,,Turnover by J. Crawford (bad pass; steal by A. Len)
9:28.0,D. House makes 3-pt shot from 22 ft (assist by I. Canaan),3,87-89,,
9:09.0,,,87-91,2,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones)
8:52.0,D. Bender makes 3-pt shot from 25 ft (assist by D. House),3,90-91,,
8:32.0,,,90-91,,Offensive foul by G. Dieng (drawn by D. Bender)
8:32.0,,,90-91,,Turnover by G. Dieng (offensive foul)
8:32.0,,,90-91,,T. Gibson enters the game for G. Dieng
8:19.0,Turnover by I. Canaan (bad pass; steal by K. Towns),,90-91,,
8:09.0,,,90-91,,Turnover by J. Butler (bad pass; steal by A. Len)
7:52.0,D. Bender misses 3-pt shot from 23 ft,,90-91,,
7:51.0,Offensive rebound by A. Len,,90-91,,
7:51.0,A. Len makes 2-pt shot at rim,2,92-91,,
7:28.0,,,92-91,,J. Crawford misses 2-pt shot from 20 ft
7:26.0,Defensive rebound by A. Len,,92-91,,
7:18.0,T. Daniels misses 3-pt shot from 24 ft,,92-91,,
7:14.0,,,92-91,,Defensive rebound by K. Towns
7:10.0,,,92-91,,J. Butler misses 2-pt shot from 13 ft
7:07.0,Defensive rebound by A. Len,,92-91,,
6:48.0,Turnover by T. Daniels (bad pass; steal by T. Jones),,92-91,,
6:42.0,,,92-93,2,K. Towns makes 2-pt shot at rim (assist by J. Crawford)
6:24.0,D. Bender makes 3-pt shot from 22 ft (assist by A. Len),3,95-93,,
6:15.0,,,95-93,,Minnesota full timeout
6:15.0,,,95-93,,J. Teague enters the game for T. Jones
6:15.0,,,95-93,,A. Wiggins enters the game for J. Crawford
6:15.0,T. Ulis enters the game for I. Canaan,,95-93,,
6:06.0,,,95-93,,Shooting foul by D. Bender (drawn by K. Towns)
6:06.0,,,95-93,,K. Towns misses free throw 1 of 2
6:06.0,,,95-93,,Offensive rebound by Team
6:06.0,,,95-93,,K. Towns misses free throw 2 of 2
6:02.0,Defensive rebound by T. Daniels,,95-93,,
5:45.0,T. Daniels makes 3-pt shot from 26 ft (assist by D. Bender),3,98-93,,
5:30.0,,,98-95,2,J. Teague makes 2-pt shot from 2 ft
5:16.0,T. Ulis makes 2-pt shot from 10 ft,2,100-95,,
4:59.0,,,100-98,3,K. Towns makes 3-pt shot from 24 ft (assist by J. Teague)
4:33.0,D. Bender misses 3-pt shot from 23 ft (block by J. Teague),,100-98,,
4:33.0,Offensive rebound by Team,,100-98,,
4:30.0,D. House misses 2-pt shot from 21 ft,,100-98,,
4:29.0,Offensive rebound by Team,,100-98,,
4:29.0,Turnover by Team (shot clock),,100-98,,
4:20.0,,,100-98,,J. Teague misses 2-pt shot from 7 ft
4:17.0,Defensive rebound by A. Len,,100-98,,
4:08.0,Shooting foul by A. Wiggins (drawn by T. Daniels),,100-98,,
4:08.0,T. Daniels makes free throw 1 of 3,1,101-98,,
