time,Denver,pts.away,score,pts.home,Chicago
1:42.0,,,107-65,,Violation by A. Blakeney (lane)
1:42.0,M. Plumlee misses free throw 1 of 1,,107-65,,
1:42.0,,,107-65,,Defensive rebound by N. Vonleh
1:21.0,,,107-67,2,A. Blakeney makes 2-pt shot from 15 ft
1:09.0,Turnover by D. Harris (bad pass; steal by D. Nwaba),,107-67,,
1:05.0,,,107-67,,Turnover by J. Grant (traveling)
0:52.0,W. Chandler makes 3-pt shot from 26 ft,3,110-67,,
0:42.0,,,110-69,2,B. Portis makes 2-pt shot from 1 ft (assist by A. Blakeney)
0:42.0,,,110-69,,Shooting foul by J. Murray (drawn by B. Portis)
0:42.0,,,110-70,1,B. Portis makes free throw 1 of 1
0:30.0,T. Lyles makes 3-pt shot from 23 ft (assist by J. Murray),3,113-70,,
0:08.0,,,113-70,,J. Grant misses 2-pt shot from 21 ft
0:04.0,,,113-70,,Offensive rebound by N. Vonleh
0:00.0,,,113-70,,A. Blakeney misses 2-pt shot from 19 ft
0:00.0,,,113-70,,Offensive rebound by D. Nwaba
0:00.0,,,113-70,,D. Nwaba misses 2-pt shot at rim
0:00.0,,,113-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,D. Harris makes 3-pt shot from 23 ft,3,116-70,,
11:25.0,,,116-70,,Offensive charge foul by A. Blakeney (drawn by D. Harris)
11:25.0,,,116-70,,Turnover by A. Blakeney (offensive foul)
11:11.0,Turnover by M. Plumlee (lost ball; steal by D. Nwaba),,116-70,,
11:06.0,,,116-72,2,D. Nwaba makes 2-pt shot from 1 ft
10:46.0,T. Lyles misses 3-pt shot from 24 ft,,116-72,,
10:43.0,,,116-72,,Defensive rebound by A. Blakeney
10:37.0,,,116-72,,D. Nwaba misses 2-pt shot from 2 ft (block by D. Harris)
10:34.0,,,116-72,,Offensive rebound by D. Nwaba
10:33.0,,,116-74,2,D. Nwaba makes 2-pt shot from 2 ft
10:25.0,,,116-74,,Personal foul by D. Nwaba (drawn by D. Harris)
10:13.0,T. Craig makes 2-pt shot from 1 ft (assist by M. Plumlee),2,118-74,,
10:03.0,,,118-77,3,N. Vonleh makes 3-pt shot from 25 ft (assist by J. Grant)
9:38.0,T. Lyles makes 2-pt shot at rim (assist by D. Harris),2,120-77,,
9:28.0,,,120-77,,A. Blakeney misses 2-pt shot from 18 ft
9:25.0,Defensive rebound by M. Plumlee,,120-77,,
9:16.0,Turnover by D. Harris (bad pass; steal by N. Vonleh),,120-77,,
9:16.0,Personal foul by M. Plumlee (drawn by N. Vonleh),,120-77,,
9:08.0,,,120-77,,Shooting foul by T. Lyles (drawn by J. Grant)
9:08.0,,,120-78,1,J. Grant makes free throw 1 of 2
9:08.0,,,120-79,1,J. Grant makes free throw 2 of 2
8:52.0,T. Lyles misses 2-pt shot from 13 ft,,120-79,,
8:49.0,,,120-79,,Defensive rebound by D. Nwaba
8:35.0,,,120-79,,N. Vonleh misses 2-pt shot from 1 ft
8:32.0,Defensive rebound by T. Lyles,,120-79,,
8:24.0,T. Lyles misses 3-pt shot from 24 ft,,120-79,,
8:21.0,,,120-79,,Defensive rebound by A. Blakeney
8:12.0,,,120-79,,Turnover by B. Portis (bad pass; steal by M. Plumlee)
8:10.0,,,120-79,,Personal foul by J. Grant (drawn by M. Beasley)
7:54.0,T. Lyles misses 2-pt shot from 1 ft,,120-79,,
7:52.0,,,120-79,,Defensive rebound by B. Portis
7:49.0,,,120-81,2,A. Blakeney makes 2-pt shot from 1 ft (assist by D. Nwaba)
7:32.0,T. Lyles misses 2-pt shot at rim,,120-81,,
7:30.0,,,120-81,,Defensive rebound by N. Vonleh
7:23.0,,,120-84,3,N. Vonleh makes 3-pt shot from 26 ft (assist by A. Blakeney)
7:22.0,Denver full timeout,,120-84,,
7:22.0,D. Arthur enters the game for M. Plumlee,,120-84,,
7:05.0,M. Beasley makes 3-pt shot from 26 ft (assist by D. Harris),3,123-84,,
6:54.0,,,123-86,2,J. Grant makes 2-pt shot at rim
6:28.0,T. Lyles makes 2-pt shot at rim (assist by D. Harris),2,125-86,,
6:13.0,,,125-86,,Shooting foul by D. Arthur (drawn by J. Grant)
6:13.0,,,125-87,1,J. Grant makes free throw 1 of 2
6:13.0,,,125-88,1,J. Grant makes free throw 2 of 2
5:47.0,T. Lyles makes 3-pt shot from 22 ft (assist by M. Beasley),3,128-88,,
