time,Atlanta,pts.away,score,pts.home,Toronto
9:03.0,D. Schroder makes 3-pt shot from 24 ft (assist by K. Bazemore),3,60-59,,
8:50.0,,,60-61,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
8:50.0,,,60-61,,Shooting foul by D. Dedmon (drawn by J. Valanciunas)
8:50.0,,,60-61,,J. Valanciunas misses free throw 1 of 1
8:48.0,,,60-61,,Offensive rebound by J. Valanciunas
8:45.0,,,60-61,,D. DeRozan misses 3-pt shot from 25 ft
8:41.0,,,60-61,,Offensive rebound by K. Lowry
8:40.0,,,60-61,,K. Lowry misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by T. Waller-Prince,,60-61,,
8:33.0,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder),2,62-61,,
8:14.0,,,62-61,,D. DeRozan misses 2-pt shot from 9 ft
8:10.0,Defensive rebound by T. Waller-Prince,,62-61,,
7:57.0,T. Waller-Prince misses 3-pt shot from 24 ft,,62-61,,
7:54.0,,,62-61,,Defensive rebound by S. Ibaka
7:48.0,Shooting block foul by D. Schroder (drawn by S. Ibaka),,62-61,,
7:48.0,,,62-62,1,S. Ibaka makes free throw 1 of 2
7:48.0,,,62-63,1,S. Ibaka makes free throw 2 of 2
7:38.0,Shooting foul by K. Lowry (drawn by D. Schroder),,62-63,,
7:38.0,D. Schroder makes free throw 1 of 2,1,63-63,,
7:38.0,D. Schroder misses free throw 2 of 2,,63-63,,
7:36.0,,,63-63,,Defensive rebound by M. Miller
7:27.0,,,63-63,,Turnover by D. DeRozan (bad pass; steal by D. Dedmon)
7:21.0,D. Schroder misses 3-pt shot from 22 ft,,63-63,,
7:16.0,,,63-63,,Defensive rebound by D. DeRozan
7:07.0,,,63-63,,S. Ibaka misses 3-pt shot from 26 ft
7:05.0,Defensive rebound by T. Waller-Prince,,63-63,,
6:48.0,,,63-63,,Personal foul by M. Miller (drawn by D. Schroder)
6:38.0,D. Dedmon misses 3-pt shot from 24 ft,,63-63,,
6:30.0,,,63-63,,Defensive rebound by D. DeRozan
6:26.0,,,63-63,,M. Miller misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by D. Schroder,,63-63,,
6:22.0,,,63-63,,Technical foul by K. Lowry (drawn by J. Collins)
6:22.0,J. Collins makes flagrant free throw 1 of 2,1,64-63,,
6:22.0,J. Collins makes flagrant free throw 2 of 2,1,65-63,,
6:22.0,,,65-63,,F. VanVleet enters the game for K. Lowry
6:22.0,,,65-63,,C. Miles enters the game for M. Miller
6:22.0,M. Muscala enters the game for D. Dedmon,,65-63,,
6:08.0,D. Schroder misses 2-pt shot from 14 ft (block by J. Valanciunas),,65-63,,
6:06.0,,,65-63,,Defensive rebound by Team
5:52.0,,,65-63,,Shooting foul by J. Collins (drawn by J. Valanciunas)
5:52.0,,,65-64,1,J. Valanciunas makes free throw 1 of 2
5:52.0,,,65-65,1,J. Valanciunas makes free throw 2 of 2
5:40.0,K. Bazemore makes 2-pt shot from 1 ft,2,67-65,,
