time,Boston,pts.away,score,pts.home,Orlando
7:03.0,T. Rozier misses 2-pt shot from 11 ft,,89-75,,
6:59.0,,,89-75,,Defensive rebound by A. Gordon
6:56.0,,,89-75,,E. Fournier misses 3-pt shot from 26 ft
6:52.0,Defensive rebound by A. Baynes,,89-75,,
6:42.0,S. Larkin misses 3-pt shot from 24 ft,,89-75,,
6:38.0,Offensive rebound by A. Baynes,,89-75,,
6:36.0,M. Smart misses 3-pt shot from 25 ft,,89-75,,
6:36.0,,,89-75,,Defensive rebound by A. Gordon
6:27.0,,,89-75,,A. Gordon misses 2-pt shot from 17 ft
6:24.0,Defensive rebound by A. Baynes,,89-75,,
6:23.0,Boston full timeout,,89-75,,
6:23.0,J. Tatum enters the game for M. Morris,,89-75,,
6:23.0,K. Irving enters the game for M. Smart,,89-75,,
6:23.0,A. Horford enters the game for A. Baynes,,89-75,,
6:08.0,K. Irving misses 2-pt shot from 2 ft,,89-75,,
6:05.0,,,89-75,,Defensive rebound by N. Vucevic
5:53.0,,,89-75,,Shooting foul by T. Rozier (drawn by J. Simmons)
5:53.0,,,89-76,1,J. Simmons makes free throw 1 of 2
5:53.0,,,89-77,1,J. Simmons makes free throw 2 of 2
5:37.0,S. Larkin makes 2-pt shot from 7 ft (assist by A. Horford),2,91-77,,
5:19.0,,,91-77,,Turnover by A. Gordon (traveling)
5:05.0,K. Irving misses 2-pt shot from 20 ft,,91-77,,
5:02.0,Personal foul by J. Tatum (drawn by E. Fournier),,91-77,,
5:02.0,M. Smart enters the game for S. Larkin,,91-77,,
5:01.0,,,91-77,,Defensive rebound by E. Fournier
