time,LA Clippers,pts.away,score,pts.home,Milwaukee
8:34.0,Defensive rebound by S. Dekker,,104-87,,
8:24.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,106-87,,
8:07.0,,,106-90,3,B. Jennings makes 3-pt shot from 25 ft (assist by K. Middleton)
8:00.0,Turnover by L. Williams (traveling),,106-90,,
8:00.0,,,106-90,,E. Bledsoe enters the game for B. Jennings
7:44.0,,,106-92,2,J. Parker makes 2-pt shot from 1 ft
7:17.0,L. Williams misses 3-pt shot from 24 ft,,106-92,,
7:15.0,,,106-92,,Defensive rebound by K. Middleton
7:12.0,,,106-94,2,K. Middleton makes 2-pt shot from 1 ft (assist by E. Bledsoe)
7:12.0,LA Clippers full timeout,,106-94,,
7:12.0,A. Rivers enters the game for M. Teodosic,,106-94,,
7:12.0,T. Harris enters the game for M. Harrell,,106-94,,
7:12.0,D. Jordan enters the game for S. Dekker,,106-94,,
6:53.0,L. Williams makes 3-pt shot from 26 ft (assist by A. Rivers),3,109-94,,
6:41.0,Personal foul by A. Rivers (drawn by E. Bledsoe),,109-94,,
6:39.0,Personal foul by T. Harris (drawn by E. Bledsoe),,109-94,,
6:35.0,,,109-96,2,T. Maker makes 2-pt shot from 17 ft (assist by J. Parker)
6:18.0,Offensive foul by D. Jordan (drawn by T. Maker),,109-96,,
6:18.0,Turnover by D. Jordan (offensive foul),,109-96,,
6:04.0,,,109-98,2,E. Bledsoe makes 2-pt shot from 14 ft
5:37.0,Turnover by Team (shot clock),,109-98,,
5:27.0,,,109-98,,Turnover by E. Bledsoe (bad pass)
5:09.0,D. Jordan misses 2-pt shot from 4 ft,,109-98,,
5:06.0,,,109-98,,Defensive rebound by T. Maker
5:02.0,,,109-100,2,J. Parker makes 2-pt shot from 1 ft
4:49.0,Shooting foul by T. Maker (drawn by L. Williams),,109-100,,
4:49.0,L. Williams makes free throw 1 of 2,1,110-100,,
4:49.0,L. Williams makes free throw 2 of 2,1,111-100,,
4:42.0,,,111-100,,K. Middleton misses 3-pt shot from 26 ft
4:37.0,Defensive rebound by D. Jordan,,111-100,,
4:29.0,Shooting foul by J. Parker (drawn by D. Jordan),,111-100,,
4:29.0,D. Jordan makes free throw 1 of 2,1,112-100,,
4:29.0,D. Jordan misses free throw 2 of 2,,112-100,,
4:26.0,,,112-100,,Defensive rebound by K. Middleton
4:06.0,,,112-100,,E. Bledsoe misses 2-pt shot at rim
4:03.0,Defensive rebound by D. Jordan,,112-100,,
3:59.0,Turnover by L. Williams (bad pass; steal by K. Middleton),,112-100,,
3:54.0,,,112-100,,E. Bledsoe misses 3-pt shot from 23 ft
3:48.0,,,112-100,,Offensive rebound by J. Parker
3:48.0,,,112-102,2,J. Parker makes 2-pt shot at rim
3:25.0,Turnover by Team (shot clock),,112-102,,
3:25.0,LA Clippers full timeout,,112-102,,
3:20.0,,,112-102,,Shooting foul by L. Williams (drawn by E. Bledsoe)
