time,Detroit,pts.away,score,pts.home,New York
8:52.0,R. Bullock misses 3-pt shot from 24 ft,,62-64,,
8:49.0,,,62-64,,Defensive rebound by M. Beasley
8:39.0,,,62-66,2,T. Hardaway makes 2-pt shot from 1 ft (assist by T. Williams)
8:39.0,Detroit full timeout,,62-66,,
8:15.0,A. Drummond makes 2-pt shot from 1 ft (assist by A. Tolliver),2,64-66,,
8:00.0,,,64-68,2,T. Burke makes 2-pt shot from 1 ft (assist by K. O'Quinn)
7:47.0,R. Jackson makes 2-pt shot from 15 ft,2,66-68,,
7:28.0,,,66-70,2,T. Hardaway makes 2-pt shot from 15 ft (assist by M. Beasley)
7:08.0,R. Jackson misses 3-pt shot from 24 ft,,66-70,,
7:06.0,,,66-70,,Defensive rebound by K. O'Quinn
6:48.0,,,66-70,,T. Hardaway misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by S. Johnson,,66-70,,
6:31.0,R. Bullock misses 2-pt shot from 9 ft,,66-70,,
6:31.0,,,66-70,,Defensive rebound by Team
6:30.0,Loose ball foul by A. Drummond (drawn by T. Hardaway),,66-70,,
6:08.0,,,66-70,,K. O'Quinn misses 3-pt shot from 22 ft
6:07.0,,,66-70,,Offensive rebound by T. Williams
6:07.0,,,66-70,,T. Williams misses 2-pt shot at rim
6:06.0,,,66-70,,Offensive rebound by T. Burke
6:06.0,,,66-70,,Shooting foul by S. Johnson (drawn by T. Burke)
6:06.0,I. Smith enters the game for R. Jackson,,66-70,,
6:06.0,,,66-71,1,T. Burke makes free throw 1 of 2
6:06.0,,,66-72,1,T. Burke makes free throw 2 of 2
5:48.0,S. Johnson makes 2-pt shot from 13 ft,2,68-72,,
5:31.0,,,68-74,2,M. Beasley makes 2-pt shot from 6 ft (assist by T. Burke)
5:20.0,S. Johnson misses 2-pt shot at rim,,68-74,,
5:18.0,Offensive rebound by A. Drummond,,68-74,,
5:18.0,A. Drummond makes 2-pt shot at rim,2,70-74,,
5:05.0,J. Ennis enters the game for S. Johnson,,70-74,,
4:57.0,,,70-77,3,M. Beasley makes 3-pt shot from 25 ft (assist by T. Burke)
4:43.0,Shooting foul by K. O'Quinn (drawn by A. Tolliver),,70-77,,
4:43.0,,,70-77,,D. Dotson enters the game for T. Williams
4:43.0,E. Moreland enters the game for A. Drummond,,70-77,,
4:43.0,A. Tolliver makes free throw 1 of 2,1,71-77,,
4:43.0,A. Tolliver makes free throw 2 of 2,1,72-77,,
4:28.0,,,72-79,2,M. Beasley makes 2-pt shot from 10 ft
4:10.0,Turnover by E. Moreland (bad pass; steal by T. Burke),,72-79,,
4:07.0,,,72-79,,T. Burke misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by E. Moreland,,72-79,,
4:01.0,Shooting foul by M. Beasley (drawn by R. Bullock),,72-79,,
4:01.0,,,72-79,,L. Thomas enters the game for M. Beasley
4:01.0,R. Bullock makes free throw 1 of 2,1,73-79,,
4:01.0,R. Bullock makes free throw 2 of 2,1,74-79,,
3:45.0,,,74-79,,T. Hardaway misses 2-pt shot from 11 ft
3:43.0,Defensive rebound by I. Smith,,74-79,,
3:33.0,A. Tolliver misses 3-pt shot from 22 ft,,74-79,,
3:31.0,,,74-79,,Defensive rebound by T. Burke
3:17.0,,,74-81,2,D. Dotson makes 2-pt shot from 1 ft (assist by K. O'Quinn)
3:06.0,I. Smith misses 2-pt shot from 4 ft,,74-81,,
3:04.0,,,74-81,,Defensive rebound by K. O'Quinn
2:56.0,,,74-81,,T. Hardaway misses 2-pt shot from 2 ft (block by E. Moreland)
2:54.0,Defensive rebound by E. Moreland,,74-81,,
2:45.0,R. Bullock makes 3-pt shot from 25 ft (assist by I. Smith),3,77-81,,
2:35.0,,,77-81,,New York full timeout
2:35.0,,,77-81,,L. Kornet enters the game for T. Hardaway
2:35.0,,,77-81,,E. Mudiay enters the game for K. O'Quinn
2:35.0,H. Ellenson enters the game for A. Tolliver,,77-81,,
2:26.0,,,77-81,,Turnover by E. Mudiay (lost ball; steal by E. Moreland)
2:19.0,J. Ennis makes 2-pt shot at rim (assist by R. Bullock),2,79-81,,
2:00.0,,,79-81,,T. Burke misses 2-pt shot from 17 ft
1:58.0,Defensive rebound by R. Bullock,,79-81,,
1:38.0,E. Moreland makes 2-pt shot from 7 ft (assist by R. Bullock),2,81-81,,
1:19.0,,,81-81,,T. Burke misses 2-pt shot from 9 ft
1:17.0,,,81-81,,Offensive rebound by L. Thomas
1:16.0,,,81-81,,L. Thomas misses 2-pt shot from 2 ft
1:14.0,Defensive rebound by E. Moreland,,81-81,,
1:09.0,I. Smith makes 2-pt shot at rim,2,83-81,,
0:41.0,,,83-81,,L. Thomas misses 2-pt shot from 21 ft
0:39.0,Defensive rebound by H. Ellenson,,83-81,,
