time,Washington,pts.away,score,pts.home,Golden State
4:57.0,,,82-69,,Personal foul by K. Looney (drawn by M. Scott)
4:57.0,M. Scott makes free throw 1 of 2,1,83-69,,
4:57.0,,,83-69,,J. McGee enters the game for P. McCaw
4:57.0,,,83-69,,A. Iguodala enters the game for K. Looney
4:57.0,J. Meeks enters the game for K. Oubre,,83-69,,
4:57.0,M. Scott makes free throw 2 of 2,1,84-69,,
4:40.0,,,84-69,,S. Curry misses 2-pt shot from 2 ft
4:34.0,Defensive rebound by O. Porter,,84-69,,
4:33.0,J. Wall misses 3-pt shot from 25 ft,,84-69,,
4:27.0,,,84-69,,Defensive rebound by O. Casspi
4:16.0,Personal foul by O. Porter (drawn by O. Casspi),,84-69,,
4:16.0,,,84-69,,Technical foul by O. Casspi
4:16.0,O. Porter misses technical free throw,,84-69,,
4:16.0,,,84-69,,Defensive rebound by Team
4:16.0,,,84-70,1,O. Casspi makes free throw 1 of 2
4:16.0,T. Satoransky enters the game for O. Porter,,84-70,,
4:16.0,,,84-71,1,O. Casspi makes free throw 2 of 2
4:06.0,M. Scott makes 2-pt shot from 7 ft (assist by J. Meeks),2,86-71,,
4:04.0,,,86-71,,Violation by J. McGee (def goaltending)
3:53.0,,,86-73,2,O. Casspi makes 2-pt shot from 1 ft (assist by S. Curry)
3:32.0,,,86-73,,Personal foul by O. Casspi (drawn by T. Satoransky)
3:32.0,T. Satoransky makes free throw 1 of 2,1,87-73,,
3:32.0,T. Satoransky misses free throw 2 of 2,,87-73,,
3:28.0,,,87-73,,Defensive rebound by J. McGee
3:14.0,,,87-73,,Shooting foul by M. Scott (drawn by K. Durant)
3:14.0,,,87-74,1,K. Durant makes free throw 1 of 2
3:14.0,,,87-75,1,K. Durant makes free throw 2 of 2
3:14.0,Washington full timeout,,87-75,,
3:11.0,Turnover by M. Gortat (turnover),,87-75,,
2:49.0,Personal foul by J. Meeks (drawn by O. Casspi),,87-75,,
2:49.0,,,87-75,,O. Casspi misses free throw 1 of 2
2:49.0,,,87-75,,Offensive rebound by Team
2:49.0,,,87-75,,P. McCaw enters the game for K. Durant
2:49.0,,,87-76,1,O. Casspi makes free throw 2 of 2
2:34.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,89-76,,
2:26.0,,,89-76,,Turnover by S. Curry (palming)
2:09.0,J. Meeks makes 2-pt shot from 3 ft (assist by J. Wall),2,91-76,,
1:55.0,,,91-78,2,A. Iguodala makes 2-pt shot from 17 ft
1:33.0,J. Wall makes 2-pt shot from 17 ft,2,93-78,,
1:17.0,Personal foul by M. Scott (drawn by A. Iguodala),,93-78,,
1:17.0,,,93-78,,A. Iguodala misses free throw 1 of 2
1:17.0,,,93-78,,Offensive rebound by Team
1:17.0,,,93-79,1,A. Iguodala makes free throw 2 of 2
1:02.0,M. Gortat misses 2-pt shot from 5 ft (block by J. McGee),,93-79,,
0:58.0,,,93-79,,Defensive rebound by P. McCaw
0:57.0,,,93-82,3,S. Curry makes 3-pt shot from 27 ft (assist by P. McCaw)
0:36.0,J. Wall makes 2-pt shot from 17 ft,2,95-82,,
0:29.0,,,95-85,3,S. Curry makes 3-pt shot from 25 ft
0:06.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,97-85,,
0:02.0,Personal foul by J. Wall (drawn by S. Curry),,97-85,,
0:02.0,,,97-86,1,S. Curry makes free throw 1 of 2
0:02.0,,,97-87,1,S. Curry makes free throw 2 of 2
0:00.0,T. Satoransky misses 3-pt shot from 37 ft,,97-87,,
0:00.0,Offensive rebound by Team,,97-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal foul by I. Mahinmi (drawn by D. West),,97-87,,
11:48.0,,,97-90,3,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant)
11:39.0,Offensive charge foul by I. Mahinmi (drawn by O. Casspi),,97-90,,
11:39.0,Turnover by I. Mahinmi (offensive foul),,97-90,,
