time,Philadelphia,pts.away,score,pts.home,Washington
4:29.0,,,60-78,,Defensive rebound by O. Porter
4:19.0,,,60-81,3,O. Porter makes 3-pt shot from 23 ft (assist by B. Beal)
4:00.0,M. Belinelli misses 3-pt shot from 26 ft,,60-81,,
3:53.0,Offensive rebound by M. Belinelli,,60-81,,
3:45.0,M. Belinelli misses 3-pt shot from 24 ft,,60-81,,
3:42.0,,,60-81,,Defensive rebound by M. Morris
3:39.0,,,60-83,2,B. Beal makes 2-pt shot from 2 ft (assist by M. Morris)
3:39.0,Philadelphia full timeout,,60-83,,
3:39.0,,,60-83,,K. Oubre enters the game for M. Morris
3:39.0,J. Redick enters the game for A. Johnson,,60-83,,
3:39.0,R. Holmes enters the game for T. McConnell,,60-83,,
3:39.0,J. Embiid enters the game for R. Covington,,60-83,,
3:25.0,J. Embiid misses 3-pt shot from 25 ft,,60-83,,
3:22.0,Offensive rebound by B. Simmons,,60-83,,
3:10.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Embiid),2,62-83,,
2:55.0,,,62-83,,O. Porter misses 2-pt shot from 20 ft
2:52.0,Defensive rebound by R. Holmes,,62-83,,
2:50.0,,,62-83,,Personal foul by O. Porter (drawn by B. Simmons)
2:50.0,B. Simmons makes free throw 1 of 2,1,63-83,,
2:50.0,,,63-83,,M. Scott enters the game for O. Porter
2:50.0,B. Simmons makes free throw 2 of 2,1,64-83,,
2:33.0,,,64-85,2,T. Satoransky makes 2-pt shot from 9 ft (assist by M. Gortat)
2:25.0,J. Redick misses 3-pt shot from 25 ft,,64-85,,
2:21.0,,,64-85,,Defensive rebound by B. Beal
2:14.0,,,64-85,,Turnover by B. Beal (bad pass; steal by J. Embiid)
2:08.0,R. Holmes makes 2-pt shot at rim (assist by B. Simmons),2,66-85,,
1:49.0,,,66-85,,Turnover by B. Beal (bad pass; steal by J. Embiid)
1:44.0,,,66-85,,Personal block foul by K. Oubre (drawn by B. Simmons)
1:44.0,B. Simmons makes free throw 1 of 2,1,67-85,,
1:44.0,,,67-85,,J. Meeks enters the game for B. Beal
1:44.0,B. Simmons makes free throw 2 of 2,1,68-85,,
1:30.0,,,68-85,,M. Scott misses 2-pt shot from 13 ft (block by R. Holmes)
1:26.0,Defensive rebound by J. Embiid,,68-85,,
1:11.0,J. Embiid makes 2-pt shot at rim,2,70-85,,
0:49.0,,,70-87,2,M. Gortat makes 2-pt shot from 10 ft (assist by T. Satoransky)
0:33.0,B. Simmons misses 2-pt shot from 14 ft,,70-87,,
0:29.0,,,70-87,,Defensive rebound by J. Meeks
0:10.0,,,70-87,,K. Oubre misses 3-pt shot from 26 ft
0:06.0,Defensive rebound by J. Embiid,,70-87,,
0:02.0,J. Embiid makes 3-pt shot from 26 ft (assist by B. Simmons),3,73-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,J. Embiid misses 3-pt shot from 25 ft,,73-87,,
11:45.0,,,73-87,,Defensive rebound by I. Mahinmi
11:29.0,,,73-87,,T. Satoransky misses 2-pt shot from 15 ft
11:25.0,Defensive rebound by M. Belinelli,,73-87,,
11:13.0,J. Embiid misses 2-pt shot from 9 ft,,73-87,,
11:09.0,,,73-87,,Defensive rebound by T. Satoransky
11:02.0,,,73-87,,Shooting foul by R. Holmes (drawn by K. Oubre)
11:02.0,,,73-88,1,K. Oubre makes free throw 1 of 2
11:02.0,,,73-88,,K. Oubre misses free throw 2 of 2
11:00.0,Defensive rebound by T. McConnell,,73-88,,
10:52.0,Turnover by M. Belinelli (bad pass),,73-88,,
10:38.0,,,73-88,,J. Meeks misses 2-pt shot from 4 ft
10:36.0,Defensive rebound by R. Holmes,,73-88,,
10:23.0,Turnover by J. Embiid (lost ball; steal by J. Meeks),,73-88,,
10:19.0,,,73-91,3,J. Meeks makes 3-pt shot from 26 ft
10:17.0,Philadelphia full timeout,,73-91,,
10:16.0,,,73-91,,Personal foul by K. Oubre (drawn by M. Belinelli)
10:03.0,Turnover by J. Redick (lost ball; steal by T. Satoransky),,73-91,,
9:58.0,,,73-91,,Turnover by J. Meeks (bad pass; steal by T. McConnell)
9:52.0,M. Belinelli makes 3-pt shot from 24 ft (assist by J. Redick),3,76-91,,
9:31.0,,,76-91,,M. Scott misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by J. Embiid,,76-91,,
9:24.0,Shooting foul by K. Oubre (drawn by M. Belinelli),,76-91,,
9:24.0,M. Belinelli misses free throw 1 of 3,,76-91,,
9:24.0,Offensive rebound by Team,,76-91,,
9:24.0,M. Belinelli makes free throw 2 of 3,1,77-91,,
9:24.0,,,77-91,,M. Morris enters the game for J. Meeks
9:24.0,,,77-91,,B. Beal enters the game for M. Scott
9:24.0,B. Simmons enters the game for T. McConnell,,77-91,,
