time,Minnesota,pts.away,score,pts.home,Washington
6:10.0,Defensive rebound by N. Bjelica,,100-98,,
5:50.0,N. Bjelica makes 3-pt shot from 23 ft (assist by T. Jones),3,103-98,,
5:30.0,,,103-98,,Turnover by I. Mahinmi (lost ball; steal by A. Wiggins)
5:13.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns),2,105-98,,
5:13.0,,,105-98,,Washington full timeout
5:13.0,,,105-98,,M. Gortat enters the game for I. Mahinmi
4:58.0,,,105-100,2,B. Beal makes 2-pt shot from 1 ft
4:58.0,,,105-100,,Shooting foul by K. Towns (drawn by B. Beal)
4:58.0,,,105-101,1,B. Beal makes free throw 1 of 1
4:39.0,,,105-101,,Personal foul by M. Morris (drawn by N. Bjelica)
4:25.0,A. Wiggins makes 2-pt shot from 19 ft (assist by K. Towns),2,107-101,,
4:06.0,,,107-101,,B. Beal misses 2-pt shot from 1 ft
4:03.0,Defensive rebound by N. Bjelica,,107-101,,
3:46.0,Shooting foul by O. Porter (drawn by J. Crawford),,107-101,,
3:46.0,J. Crawford makes free throw 1 of 2,1,108-101,,
3:46.0,J. Crawford makes free throw 2 of 2,1,109-101,,
3:34.0,,,109-104,3,B. Beal makes 3-pt shot from 24 ft (assist by O. Porter)
3:10.0,T. Jones misses 3-pt shot from 26 ft,,109-104,,
3:07.0,,,109-104,,Defensive rebound by O. Porter
2:58.0,,,109-104,,B. Beal misses 3-pt shot from 27 ft
2:54.0,Defensive rebound by J. Crawford,,109-104,,
2:36.0,J. Crawford misses 2-pt shot at rim,,109-104,,
2:32.0,,,109-104,,Defensive rebound by M. Morris
2:28.0,,,109-104,,B. Beal misses 2-pt shot at rim (block by A. Wiggins)
2:23.0,,,109-104,,Offensive rebound by O. Porter
2:19.0,,,109-104,,O. Porter misses 2-pt shot from 14 ft
2:18.0,,,109-104,,Offensive rebound by T. Satoransky
2:18.0,,,109-104,,B. Beal misses 3-pt shot from 27 ft
2:18.0,Defensive rebound by Team,,109-104,,
1:56.0,Turnover by K. Towns (bad pass; steal by T. Satoransky),,109-104,,
1:52.0,,,109-106,2,O. Porter makes 2-pt shot at rim (assist by T. Satoransky)
1:52.0,Minnesota full timeout,,109-106,,
1:52.0,,,109-106,,K. Oubre enters the game for M. Gortat
