time,Boston,pts.away,score,pts.home,Toronto
1:41.0,X. Silas enters the game for S. Ojeleye,,46-63,,
1:26.0,,,46-66,3,F. VanVleet makes 3-pt shot from 25 ft (assist by D. DeRozan)
1:09.0,M. Morris makes 2-pt shot at rim,2,48-66,,
0:59.0,,,48-66,,Shooting foul by K. Allen (drawn by P. Siakam)
0:59.0,,,48-66,,P. Siakam misses free throw 1 of 2
0:59.0,,,48-66,,Offensive rebound by Team
0:59.0,,,48-67,1,P. Siakam makes free throw 2 of 2
0:52.0,X. Silas misses 3-pt shot from 26 ft,,48-67,,
0:51.0,Offensive rebound by Team,,48-67,,
0:51.0,,,48-67,,Loose ball foul by D. DeRozan (drawn by G. Monroe)
0:51.0,G. Monroe makes free throw 1 of 2,1,49-67,,
0:51.0,G. Monroe makes free throw 2 of 2,1,50-67,,
0:34.0,,,50-67,,D. DeRozan misses 2-pt shot from 13 ft
0:31.0,Defensive rebound by M. Morris,,50-67,,
0:23.0,M. Morris makes 3-pt shot from 25 ft,3,53-67,,
0:02.0,,,53-67,,D. Wright misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by G. Monroe,,53-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,53-67,,F. VanVleet misses 2-pt shot from 4 ft
11:36.0,,,53-67,,Offensive rebound by J. Poeltl
11:33.0,,,53-67,,Offensive foul by J. Poeltl (drawn by K. Allen)
11:33.0,,,53-67,,Turnover by J. Poeltl (offensive foul)
11:17.0,Shooting foul by J. Poeltl (drawn by G. Monroe),,53-67,,
11:17.0,G. Monroe makes free throw 1 of 2,1,54-67,,
11:17.0,G. Monroe makes free throw 2 of 2,1,55-67,,
10:58.0,,,55-69,2,D. Wright makes 2-pt shot from 2 ft
10:47.0,G. Monroe misses 2-pt shot from 1 ft,,55-69,,
10:47.0,Offensive rebound by Team,,55-69,,
10:37.0,Turnover by G. Monroe (bad pass; steal by P. Siakam),,55-69,,
10:22.0,,,55-71,2,J. Poeltl makes 2-pt shot at rim (assist by D. Wright)
10:12.0,J. Brown makes 2-pt shot from 2 ft,2,57-71,,
10:12.0,Shooting foul by D. Wright (drawn by J. Brown),,57-71,,
10:12.0,J. Brown misses free throw 1 of 1,,57-71,,
10:12.0,Offensive rebound by X. Silas,,57-71,,
10:07.0,J. Brown misses 2-pt shot from 16 ft,,57-71,,
10:06.0,Offensive rebound by G. Monroe,,57-71,,
10:06.0,Shooting foul by C. Miles (drawn by G. Monroe),,57-71,,
10:06.0,G. Monroe makes free throw 1 of 2,1,58-71,,
10:06.0,G. Monroe makes free throw 2 of 2,1,59-71,,
9:54.0,,,59-71,,C. Miles misses 3-pt shot from 25 ft
9:51.0,,,59-71,,Offensive rebound by J. Poeltl
9:50.0,,,59-73,2,J. Poeltl makes 2-pt shot from 1 ft
9:38.0,Shooting foul by P. Siakam (drawn by M. Morris),,59-73,,
9:38.0,M. Morris makes free throw 1 of 2,1,60-73,,
9:38.0,,,60-73,,L. Nogueira enters the game for J. Poeltl
9:38.0,M. Morris makes free throw 2 of 2,1,61-73,,
9:18.0,,,61-75,2,F. VanVleet makes 2-pt shot from 1 ft
8:58.0,K. Allen misses 3-pt shot from 24 ft,,61-75,,
8:56.0,,,61-75,,Defensive rebound by P. Siakam
8:47.0,Personal foul by X. Silas (drawn by F. VanVleet),,61-75,,
8:47.0,A. Horford enters the game for X. Silas,,61-75,,
8:38.0,,,61-78,3,F. VanVleet makes 3-pt shot from 23 ft (assist by D. Wright)
8:11.0,A. Horford makes 3-pt shot from 23 ft (assist by G. Monroe),3,64-78,,
7:53.0,,,64-78,,Turnover by D. Wright (bad pass)
7:42.0,G. Monroe makes 2-pt shot at rim,2,66-78,,
7:31.0,,,66-78,,Toronto full timeout
7:31.0,,,66-78,,S. Ibaka enters the game for P. Siakam
7:16.0,,,66-78,,C. Miles misses 2-pt shot from 12 ft
7:15.0,Defensive rebound by Team,,66-78,,
6:54.0,M. Morris misses 2-pt shot from 10 ft,,66-78,,
6:52.0,,,66-78,,Defensive rebound by L. Nogueira
6:33.0,,,66-81,3,F. VanVleet makes 3-pt shot from 27 ft
6:18.0,J. Brown makes 2-pt shot at rim (assist by G. Monroe),2,68-81,,
6:03.0,,,68-81,,F. VanVleet misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by J. Brown,,68-81,,
5:55.0,J. Brown misses 2-pt shot from 2 ft (block by D. Wright),,68-81,,
5:55.0,,,68-81,,Defensive rebound by Team
5:55.0,,,68-81,,K. Lowry enters the game for C. Miles
5:55.0,T. Rozier enters the game for K. Allen,,68-81,,
5:52.0,Jump ball: D. Wright vs. J. Brown (K. Lowry gains possession),,,,Jump ball: D. Wright vs. J. Brown (K. Lowry gains possession)
5:49.0,,,68-83,2,K. Lowry makes 2-pt shot at rim
5:31.0,A. Horford makes 2-pt shot from 10 ft,2,70-83,,
5:14.0,,,70-85,2,S. Ibaka makes 2-pt shot from 1 ft (assist by F. VanVleet)
4:55.0,M. Morris makes 2-pt shot from 1 ft (assist by G. Monroe),2,72-85,,
4:55.0,Shooting foul by K. Lowry (drawn by M. Morris),,72-85,,
4:55.0,M. Morris makes free throw 1 of 1,1,73-85,,
4:35.0,,,73-87,2,L. Nogueira makes 2-pt shot at rim (assist by S. Ibaka)
4:19.0,Offensive charge foul by M. Morris (drawn by K. Lowry),,73-87,,
4:19.0,Turnover by M. Morris (offensive foul),,73-87,,
