time,Toronto,pts.away,score,pts.home,Washington
9:22.0,Loose ball foul by K. Lowry (drawn by M. Scott),,88-80,,
9:22.0,,,88-80,,M. Gortat enters the game for T. Lawson
9:22.0,,,88-80,,O. Porter enters the game for M. Scott
9:15.0,,,88-82,2,B. Beal makes 2-pt shot from 3 ft (assist by M. Gortat)
8:49.0,D. Wright misses 2-pt shot from 2 ft,,88-82,,
8:49.0,,,88-82,,Defensive rebound by Team
8:49.0,Loose ball foul by J. Poeltl (drawn by O. Porter),,88-82,,
8:33.0,,,88-82,,J. Wall misses 2-pt shot from 13 ft
8:29.0,Defensive rebound by D. Wright,,88-82,,
8:16.0,J. Poeltl misses 2-pt shot from 1 ft,,88-82,,
8:13.0,,,88-82,,Defensive rebound by O. Porter
7:59.0,,,88-82,,Offensive charge foul by B. Beal (drawn by K. Lowry)
7:59.0,,,88-82,,Turnover by B. Beal (offensive foul)
7:44.0,D. Wright makes 2-pt shot from 1 ft (assist by J. Poeltl),2,90-82,,
7:37.0,,,90-82,,Shooting foul by J. Poeltl (drawn by B. Beal)
7:37.0,,,90-83,1,B. Beal makes free throw 1 of 2
7:37.0,,,90-83,,M. Morris enters the game for K. Oubre
7:37.0,,,90-83,,B. Beal misses free throw 2 of 2
7:35.0,Defensive rebound by J. Poeltl,,90-83,,
7:21.0,P. Siakam misses 2-pt shot from 11 ft,,90-83,,
7:19.0,,,90-83,,Defensive rebound by B. Beal
7:15.0,,,90-86,3,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall)
7:01.0,Offensive foul by K. Lowry (drawn by B. Beal),,90-86,,
7:01.0,Turnover by K. Lowry (offensive foul),,90-86,,
