time,Atlanta,pts.away,score,pts.home,Denver
7:14.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by D. Schroder),2,89-81,,
6:56.0,,,89-81,,G. Harris misses 2-pt shot from 16 ft
6:54.0,Defensive rebound by E. Ilyasova,,89-81,,
6:37.0,M. Delaney makes 2-pt shot from 3 ft,2,91-81,,
6:37.0,,,91-81,,Denver full timeout
6:37.0,,,91-81,,N. Jokic enters the game for T. Lyles
6:19.0,,,91-81,,Turnover by N. Jokic (lost ball; steal by T. Waller-Prince)
6:15.0,,,91-81,,Personal foul by G. Harris (drawn by D. Schroder)
6:06.0,M. Delaney makes 2-pt shot from 16 ft,2,93-81,,
5:52.0,,,93-83,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
5:39.0,Turnover by D. Schroder (bad pass; steal by M. Plumlee),,93-83,,
5:36.0,,,93-85,2,M. Plumlee makes 2-pt shot from 1 ft
5:18.0,,,93-85,,Personal foul by M. Plumlee (drawn by D. Schroder)
5:18.0,M. Muscala enters the game for E. Ilyasova,,93-85,,
5:10.0,M. Delaney misses 3-pt shot from 22 ft,,93-85,,
5:08.0,,,93-85,,Defensive rebound by G. Harris
5:07.0,,,93-85,,Turnover by G. Harris (bad pass)
