time,LA Lakers,pts.away,score,pts.home,Washington
2:37.0,LA Lakers full timeout,,69-89,,
2:37.0,,,69-89,,T. Frazier enters the game for J. Wall
2:37.0,T. Ennis enters the game for B. Ingram,,69-89,,
2:23.0,J. Clarkson misses 3-pt shot from 27 ft,,69-89,,
2:21.0,Offensive rebound by J. Randle,,69-89,,
2:21.0,Shooting foul by I. Mahinmi (drawn by J. Randle),,69-89,,
2:21.0,J. Randle misses free throw 1 of 2,,69-89,,
2:21.0,Offensive rebound by Team,,69-89,,
2:21.0,J. Randle makes free throw 2 of 2,1,70-89,,
2:08.0,,,70-89,,Offensive foul by I. Mahinmi (drawn by T. Ennis)
2:08.0,,,70-89,,Turnover by I. Mahinmi (offensive foul)
2:00.0,Turnover by T. Ennis (bad pass),,70-89,,
1:42.0,,,70-89,,K. Oubre misses 3-pt shot from 26 ft
1:39.0,Defensive rebound by K. Kuzma,,70-89,,
1:29.0,Turnover by J. Randle (bad pass; steal by B. Beal),,70-89,,
1:14.0,,,70-91,2,O. Porter makes 2-pt shot from 8 ft
0:59.0,K. Kuzma misses 3-pt shot from 24 ft,,70-91,,
0:57.0,Offensive rebound by Team,,70-91,,
0:53.0,J. Randle makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,72-91,,
0:53.0,Shooting foul by T. Frazier (drawn by J. Randle),,72-91,,
0:53.0,J. Randle makes free throw 1 of 1,1,73-91,,
0:36.0,,,73-91,,Turnover by B. Beal (lost ball; steal by K. Caldwell-Pope)
0:36.0,,,73-91,,Personal foul by B. Beal (drawn by J. Randle)
0:36.0,J. Randle makes free throw 1 of 2,1,74-91,,
0:36.0,J. Randle makes free throw 2 of 2,1,75-91,,
0:31.0,,,75-91,,B. Beal misses 3-pt shot from 26 ft
0:26.0,Defensive rebound by J. Randle,,75-91,,
0:24.0,Shooting foul by T. Frazier (drawn by K. Kuzma),,75-91,,
0:24.0,K. Kuzma makes free throw 1 of 2,1,76-91,,
0:24.0,K. Kuzma makes free throw 2 of 2,1,77-91,,
0:00.0,,,77-91,,Turnover by Team (shot clock)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,77-91,,I. Mahinmi misses 2-pt shot from 4 ft (block by T. Ennis)
11:43.0,,,77-91,,Offensive rebound by Team
11:41.0,,,77-91,,J. Meeks misses 2-pt shot from 17 ft
11:41.0,Defensive rebound by J. Randle,,77-91,,
11:27.0,J. Clarkson makes 2-pt shot from 3 ft,2,79-91,,
10:57.0,,,79-93,2,T. Frazier makes 2-pt shot from 21 ft
10:42.0,J. Clarkson misses 2-pt shot from 20 ft,,79-93,,
10:36.0,,,79-93,,Defensive rebound by O. Porter
10:28.0,,,79-93,,Turnover by T. Frazier (bad pass; steal by J. Randle)
10:24.0,Shooting foul by I. Mahinmi (drawn by J. Randle),,79-93,,
10:24.0,,,79-93,,M. Gortat enters the game for I. Mahinmi
10:24.0,J. Randle makes free throw 1 of 2,1,80-93,,
10:24.0,J. Randle misses free throw 2 of 2,,80-93,,
10:21.0,,,80-93,,Defensive rebound by M. Gortat
10:06.0,,,80-93,,J. Meeks misses 2-pt shot at rim
10:03.0,Defensive rebound by J. Randle,,80-93,,
9:49.0,J. Randle misses 2-pt shot from 16 ft,,80-93,,
9:45.0,,,80-93,,Defensive rebound by O. Porter
9:25.0,,,80-93,,J. Meeks misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by J. Randle,,80-93,,
9:17.0,J. Clarkson misses 2-pt shot from 4 ft (block by T. Frazier),,80-93,,
9:17.0,,,80-93,,Defensive rebound by O. Porter
9:09.0,,,80-93,,K. Oubre misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by J. Clarkson,,80-93,,
9:01.0,J. Clarkson misses 2-pt shot from 1 ft,,80-93,,
9:01.0,,,80-93,,Defensive rebound by M. Gortat
8:39.0,,,80-93,,J. Meeks misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by J. Hart,,80-93,,
8:28.0,T. Ennis makes 2-pt shot from 17 ft,2,82-93,,
8:27.0,,,82-93,,Washington full timeout
8:27.0,,,82-93,,J. Wall enters the game for T. Frazier
8:10.0,,,82-93,,Turnover by O. Porter (lost ball; steal by T. Ennis)
8:05.0,J. Hart misses 2-pt shot at rim,,82-93,,
8:03.0,Offensive rebound by J. Randle,,82-93,,
7:57.0,J. Randle makes 2-pt shot from 1 ft (assist by T. Ennis),2,84-93,,
7:40.0,,,84-95,2,J. Wall makes 2-pt shot at rim
7:27.0,Offensive foul by J. Randle (drawn by J. Meeks),,84-95,,
7:27.0,Turnover by J. Randle (offensive foul),,84-95,,
7:27.0,,,84-95,,B. Beal enters the game for J. Meeks
7:12.0,,,84-98,3,B. Beal makes 3-pt shot from 23 ft (assist by M. Gortat)
6:49.0,,,84-98,,Personal foul by J. Wall (drawn by T. Ennis)
6:38.0,Turnover by J. Clarkson (lost ball; steal by K. Oubre),,84-98,,
6:32.0,,,84-98,,Shooting foul by J. Hart (drawn by J. Wall)
6:32.0,,,84-99,1,J. Wall makes free throw 1 of 2
