time,New York,pts.away,score,pts.home,Orlando
6:20.0,T. Williams makes 2-pt shot from 2 ft,2,107-100,,
6:14.0,,,107-100,,M. Hezonja misses 2-pt shot from 3 ft (block by F. Ntilikina)
6:09.0,Defensive rebound by T. Burke,,107-100,,
6:06.0,F. Ntilikina misses 3-pt shot from 25 ft,,107-100,,
6:03.0,Offensive rebound by T. Burke,,107-100,,
5:54.0,Offensive charge foul by K. O'Quinn (drawn by J. Simmons),,107-100,,
5:54.0,Turnover by K. O'Quinn (offensive foul),,107-100,,
5:54.0,,,107-100,,N. Vucevic enters the game for B. Biyombo
5:54.0,T. Hardaway enters the game for T. Williams,,107-100,,
5:54.0,E. Kanter enters the game for K. O'Quinn,,107-100,,
5:54.0,,,107-100,,D. Augustin enters the game for S. Mack
5:40.0,,,107-100,,E. Fournier misses 2-pt shot from 2 ft
5:37.0,Defensive rebound by E. Kanter,,107-100,,
5:22.0,E. Kanter misses 2-pt shot from 1 ft (block by N. Vucevic),,107-100,,
5:19.0,,,107-100,,Defensive rebound by N. Vucevic
5:13.0,,,107-102,2,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic)
4:57.0,T. Burke makes 2-pt shot from 16 ft,2,109-102,,
4:37.0,,,109-102,,Turnover by J. Simmons (bad pass)
4:26.0,T. Burke misses 3-pt shot from 26 ft,,109-102,,
4:23.0,Offensive rebound by F. Ntilikina,,109-102,,
4:20.0,T. Hardaway makes 2-pt shot from 12 ft (assist by F. Ntilikina),2,111-102,,
4:00.0,,,111-102,,J. Simmons misses 3-pt shot from 23 ft
3:57.0,Defensive rebound by E. Kanter,,111-102,,
3:39.0,T. Burke makes 2-pt shot from 22 ft,2,113-102,,
3:24.0,,,113-102,,D. Augustin misses 2-pt shot from 5 ft (block by T. Burke)
