time,LA Lakers,pts.away,score,pts.home,Dallas
0:14.0,A. Caruso enters the game for I. Zubac,,94-97,,
0:14.0,I. Thomas makes free throw 2 of 2,1,95-97,,
0:03.0,,,95-99,2,D. Powell makes 2-pt shot from 2 ft (assist by D. McDermott)
0:03.0,,,95-99,,Shooting foul by C. Brewer (drawn by D. Powell)
0:03.0,,,95-99,,M. Kleber enters the game for D. Nowitzki
0:03.0,,,95-100,1,D. Powell makes free throw 1 of 1
0:00.0,J. Hart misses 3-pt shot from 37 ft,,95-100,,
0:00.0,Offensive rebound by Team,,95-100,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,B. Lopez makes 2-pt shot from 4 ft (assist by I. Thomas),2,97-100,,
11:47.0,Shooting foul by J. Barea (drawn by B. Lopez),,97-100,,
11:47.0,B. Lopez makes free throw 1 of 1,1,98-100,,
11:39.0,Personal foul by I. Thomas (drawn by Y. Ferrell),,98-100,,
11:28.0,,,98-100,,D. Nowitzki misses 2-pt shot from 13 ft
11:24.0,,,98-100,,Offensive rebound by Y. Ferrell
11:20.0,,,98-103,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Powell)
10:59.0,B. Lopez makes 2-pt shot from 9 ft (assist by K. Kuzma),2,100-103,,
10:41.0,,,100-103,,Y. Ferrell misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by K. Kuzma,,100-103,,
10:34.0,K. Kuzma makes 3-pt shot from 25 ft,3,103-103,,
10:13.0,,,103-105,2,J. Barea makes 2-pt shot from 6 ft
10:05.0,,,103-105,,Personal block foul by Y. Ferrell (drawn by I. Thomas)
10:05.0,,,103-105,,K. Collinsworth enters the game for Y. Ferrell
9:58.0,I. Thomas makes 2-pt shot at rim,2,105-105,,
9:40.0,,,105-107,2,D. Powell makes 2-pt shot from 18 ft (assist by D. Nowitzki)
9:31.0,Turnover by I. Thomas (bad pass),,105-107,,
9:20.0,,,105-110,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by K. Collinsworth)
9:08.0,Turnover by I. Thomas (out of bounds lost ball),,105-110,,
8:57.0,Technical foul by I. Thomas (drawn by K. Collinsworth),,105-110,,
8:57.0,,,105-111,1,K. Collinsworth makes flagrant free throw 1 of 2
8:57.0,,,105-111,,K. Collinsworth misses flagrant free throw 2 of 2
8:57.0,,,105-111,,Offensive rebound by Team
8:33.0,,,105-111,,J. Barea misses 2-pt shot from 3 ft
8:30.0,Defensive rebound by K. Caldwell-Pope,,105-111,,
8:25.0,K. Kuzma misses 2-pt shot from 6 ft,,105-111,,
8:25.0,Offensive rebound by Team,,105-111,,
8:18.0,Turnover by C. Brewer (lost ball; steal by J. Barea),,105-111,,
8:06.0,,,105-113,2,D. Powell makes 2-pt shot from 1 ft (assist by D. McDermott)
8:03.0,LA Lakers full timeout,,105-113,,
8:03.0,J. Randle enters the game for C. Brewer,,105-113,,
8:03.0,B. Ingram enters the game for B. Lopez,,105-113,,
7:45.0,B. Ingram makes 2-pt shot from 1 ft,2,107-113,,
7:30.0,,,107-113,,Turnover by J. Barea (bad pass; steal by K. Caldwell-Pope)
7:26.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,109-113,,
7:09.0,,,109-113,,Shooting foul by K. Kuzma (drawn by D. Powell)
7:09.0,,,109-113,,D. Powell misses free throw 1 of 2
7:09.0,,,109-113,,Offensive rebound by Team
7:09.0,,,109-113,,M. Kleber enters the game for J. Barea
7:09.0,,,109-113,,D. Smith enters the game for K. Collinsworth
7:09.0,,,109-113,,Y. Ferrell enters the game for D. Nowitzki
7:09.0,,,109-114,1,D. Powell makes free throw 2 of 2
7:00.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by I. Thomas),3,112-114,,
6:36.0,,,112-114,,Y. Ferrell misses 2-pt shot from 1 ft
6:34.0,Defensive rebound by K. Kuzma,,112-114,,
6:28.0,K. Kuzma makes 3-pt shot from 25 ft (assist by B. Ingram),3,115-114,,
6:27.0,,,115-114,,Dallas full timeout
6:07.0,,,115-114,,D. Smith misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by K. Kuzma,,115-114,,
5:51.0,Turnover by J. Randle (traveling),,115-114,,
5:34.0,,,115-117,3,Y. Ferrell makes 3-pt shot from 24 ft
5:19.0,Shooting foul by M. Kleber (drawn by K. Caldwell-Pope),,115-117,,
5:19.0,K. Caldwell-Pope makes free throw 1 of 2,1,116-117,,
5:19.0,,,116-117,,S. Mejri enters the game for D. Powell
5:19.0,K. Caldwell-Pope misses free throw 2 of 2,,116-117,,
5:17.0,,,116-117,,Defensive rebound by S. Mejri
5:06.0,Personal foul by I. Thomas (drawn by S. Mejri),,116-117,,
4:58.0,,,116-117,,Y. Ferrell misses 2-pt shot from 19 ft
4:56.0,Defensive rebound by K. Kuzma,,116-117,,
4:47.0,I. Thomas makes 2-pt shot from 2 ft,2,118-117,,
