time,Boston,pts.away,score,pts.home,Utah
8:42.0,,,72-78,,Turnover by R. Gobert (lost ball; steal by S. Ojeleye)
8:38.0,S. Larkin misses 2-pt shot from 2 ft (block by D. Exum),,72-78,,
8:34.0,,,72-78,,Defensive rebound by R. O'Neale
8:34.0,Personal foul by T. Rozier (drawn by D. Exum),,72-78,,
8:34.0,G. Yabusele enters the game for G. Monroe,,72-78,,
8:21.0,,,72-80,2,D. Exum makes 2-pt shot from 1 ft (assist by D. Mitchell)
8:09.0,T. Rozier misses 2-pt shot from 6 ft (block by R. O'Neale),,72-80,,
8:09.0,Offensive rebound by Team,,72-80,,
8:09.0,,,72-80,,J. Crowder enters the game for R. O'Neale
8:09.0,,,72-80,,R. Rubio enters the game for J. Ingles
8:07.0,T. Rozier makes 3-pt shot from 22 ft (assist by S. Larkin),3,75-80,,
7:41.0,,,75-82,2,D. Exum makes 2-pt shot from 3 ft (assist by R. Rubio)
7:32.0,Turnover by G. Yabusele (bad pass),,75-82,,
7:15.0,,,75-82,,Turnover by J. Crowder (bad pass)
6:58.0,T. Rozier makes 3-pt shot from 25 ft,3,78-82,,
6:57.0,,,78-82,,Utah full timeout
6:47.0,,,78-82,,Shooting foul by G. Yabusele (drawn by D. Mitchell)
6:47.0,,,78-82,,D. Mitchell misses free throw 1 of 2
6:47.0,,,78-82,,Offensive rebound by Team
6:47.0,,,78-83,1,D. Mitchell makes free throw 2 of 2
6:39.0,Turnover by S. Larkin (bad pass; steal by R. Rubio),,78-83,,
6:36.0,,,78-83,,Shooting foul by T. Rozier (drawn by D. Exum)
6:36.0,,,78-84,1,D. Exum makes free throw 1 of 2
6:36.0,,,78-85,1,D. Exum makes free throw 2 of 2
6:19.0,T. Rozier makes 3-pt shot from 24 ft,3,81-85,,
6:02.0,,,81-85,,D. Mitchell misses 2-pt shot from 17 ft
6:00.0,Defensive rebound by S. Larkin,,81-85,,
5:45.0,S. Larkin makes 3-pt shot from 25 ft (assist by G. Yabusele),3,84-85,,
5:22.0,,,84-87,2,J. Crowder makes 2-pt shot from 2 ft (assist by R. Rubio)
5:03.0,J. Brown misses 2-pt shot from 19 ft,,84-87,,
5:01.0,,,84-87,,Defensive rebound by J. Crowder
4:48.0,,,84-89,2,D. Mitchell makes 2-pt shot from 2 ft
4:48.0,Boston full timeout,,84-89,,
4:48.0,,,84-89,,J. Ingles enters the game for D. Exum
4:48.0,G. Monroe enters the game for G. Yabusele,,84-89,,
4:48.0,J. Tatum enters the game for S. Ojeleye,,84-89,,
4:35.0,T. Rozier misses 2-pt shot from 16 ft,,84-89,,
4:31.0,Offensive rebound by T. Rozier,,84-89,,
4:31.0,,,84-89,,Personal foul by J. Crowder (drawn by T. Rozier)
4:23.0,S. Larkin makes 2-pt shot from 1 ft (assist by G. Monroe),2,86-89,,
3:59.0,,,86-89,,J. Ingles misses 3-pt shot from 24 ft
3:57.0,Defensive rebound by J. Tatum,,86-89,,
3:41.0,T. Rozier misses 3-pt shot from 26 ft,,86-89,,
3:39.0,,,86-89,,Defensive rebound by J. Crowder
3:22.0,,,86-89,,D. Mitchell misses 2-pt shot from 21 ft
3:18.0,,,86-89,,Offensive rebound by R. Gobert
3:17.0,,,86-89,,Shooting foul by G. Monroe (drawn by R. Gobert)
3:17.0,,,86-89,,R. Gobert misses free throw 1 of 2
