time,New Orleans,pts.away,score,pts.home,New York
6:52.0,Defensive rebound by D. Cousins,,93-100,,
6:45.0,Shooting foul by E. Kanter (drawn by D. Cousins),,93-100,,
6:45.0,,,93-100,,T. Hardaway enters the game for L. Thomas
6:45.0,D. Cousins makes free throw 1 of 2,1,94-100,,
6:45.0,D. Cousins misses free throw 2 of 2,,94-100,,
6:45.0,,,94-100,,Defensive rebound by Team
6:44.0,Loose ball foul by D. Cousins (drawn by E. Kanter),,94-100,,
6:37.0,,,94-102,2,C. Lee makes 2-pt shot from 13 ft
6:31.0,New Orleans full timeout,,94-102,,
6:16.0,Shooting foul by J. Jack (drawn by D. Cousins),,94-102,,
6:16.0,D. Cousins misses free throw 1 of 2,,94-102,,
6:16.0,Offensive rebound by Team,,94-102,,
6:16.0,D. Cousins makes free throw 2 of 2,1,95-102,,
5:51.0,,,95-102,,J. Jack misses 2-pt shot from 2 ft
5:49.0,Defensive rebound by A. Davis,,95-102,,
5:45.0,Offensive charge foul by D. Cousins (drawn by K. Porzingis),,95-102,,
5:45.0,Turnover by D. Cousins (offensive foul),,95-102,,
5:30.0,,,95-102,,E. Kanter misses 2-pt shot from 18 ft
5:27.0,,,95-102,,Offensive rebound by J. Jack
