time,Portland,pts.away,score,pts.home,New York
9:09.0,C. McCollum misses 2-pt shot from 8 ft,,90-70,,
9:07.0,,,90-70,,Defensive rebound by W. Hernangomez
8:57.0,,,90-70,,W. Hernangomez misses 2-pt shot from 2 ft (block by M. Harkless)
8:54.0,,,90-70,,Offensive rebound by M. Beasley
8:52.0,,,90-70,,M. Beasley misses 2-pt shot from 17 ft
8:49.0,Defensive rebound by E. Davis,,90-70,,
8:39.0,E. Turner misses 2-pt shot from 1 ft,,90-70,,
8:37.0,,,90-70,,Defensive rebound by W. Hernangomez
8:32.0,,,90-70,,F. Ntilikina misses 2-pt shot from 21 ft
8:28.0,Defensive rebound by E. Davis,,90-70,,
8:11.0,Offensive foul by E. Davis (drawn by T. Hardaway),,90-70,,
8:11.0,Turnover by E. Davis (offensive foul),,90-70,,
8:01.0,,,90-72,2,M. Beasley makes 2-pt shot from 6 ft
7:59.0,Portland full timeout,,90-72,,
7:59.0,J. Nurkic enters the game for M. Harkless,,90-72,,
7:59.0,N. Vonleh enters the game for E. Davis,,90-72,,
7:51.0,,,90-72,,Personal foul by F. Ntilikina (drawn by S. Napier)
7:39.0,C. McCollum misses 2-pt shot from 18 ft,,90-72,,
7:36.0,,,90-72,,Defensive rebound by M. Beasley
7:33.0,,,90-72,,Shooting foul by N. Vonleh (drawn by M. Beasley)
7:33.0,,,90-73,1,M. Beasley makes free throw 1 of 2
7:33.0,D. Lillard enters the game for S. Napier,,90-73,,
7:33.0,,,90-73,,M. Beasley misses free throw 2 of 2
7:31.0,,,90-73,,Offensive rebound by W. Hernangomez
7:29.0,,,90-76,3,T. Hardaway makes 3-pt shot from 25 ft (assist by W. Hernangomez)
7:10.0,P. Connaughton enters the game for E. Turner,,90-76,,
7:02.0,Turnover by Team (shot clock),,90-76,,
6:53.0,,,90-76,,M. Beasley misses 2-pt shot from 20 ft
6:49.0,Defensive rebound by J. Nurkic,,90-76,,
6:40.0,J. Nurkic misses 2-pt shot from 7 ft,,90-76,,
6:38.0,,,90-76,,Defensive rebound by Team
6:25.0,,,90-78,2,F. Ntilikina makes 2-pt shot from 22 ft
6:04.0,C. McCollum misses 3-pt shot from 25 ft,,90-78,,
6:03.0,,,90-78,,Defensive rebound by D. McDermott
5:54.0,,,90-78,,F. Ntilikina misses 3-pt shot from 26 ft
5:51.0,Defensive rebound by P. Connaughton,,90-78,,
5:51.0,,,90-78,,Personal foul by D. McDermott (drawn by P. Connaughton)
5:31.0,Shooting foul by W. Hernangomez (drawn by N. Vonleh),,90-78,,
5:31.0,N. Vonleh misses free throw 1 of 2,,90-78,,
5:31.0,Offensive rebound by Team,,90-78,,
5:31.0,N. Vonleh makes free throw 2 of 2,1,91-78,,
5:21.0,,,91-78,,Shooting foul by C. McCollum (drawn by T. Hardaway)
5:21.0,,,91-78,,T. Hardaway misses free throw 1 of 2
5:21.0,,,91-78,,Offensive rebound by Team
5:21.0,,,91-78,,T. Hardaway misses free throw 2 of 2
5:18.0,,,91-78,,Offensive rebound by W. Hernangomez
5:17.0,,,91-78,,W. Hernangomez misses 2-pt shot at rim
5:14.0,Defensive rebound by C. McCollum,,91-78,,
5:02.0,,,91-78,,Personal foul by M. Beasley
5:02.0,,,91-78,,Technical foul by M. Beasley
5:02.0,D. Lillard makes technical free throw,1,92-78,,
5:02.0,,,92-78,,Technical foul by F. Ntilikina
5:02.0,D. Lillard makes technical free throw,1,93-78,,
5:02.0,J. Nurkic makes free throw 1 of 2,1,94-78,,
5:02.0,J. Nurkic misses free throw 2 of 2,,94-78,,
5:00.0,,,94-78,,Defensive rebound by W. Hernangomez
4:48.0,,,94-80,2,D. McDermott makes 2-pt shot at rim (assist by F. Ntilikina)
4:31.0,D. Lillard misses 3-pt shot from 25 ft,,94-80,,
4:29.0,,,94-80,,Defensive rebound by D. McDermott
4:22.0,,,94-80,,T. Hardaway misses 2-pt shot from 12 ft
4:20.0,,,94-80,,Offensive rebound by Team
